Respuesta,Frecuencia,Asociación
término,1,0.02857142857142857
1,1,0.02857142857142857
género,1,0.02857142857142857
cuerpo,1,0.02857142857142857
ejemplo,1,0.02857142857142857
producción,1,0.02857142857142857
sistema,1,0.02857142857142857
mano,1,0.02857142857142857
producir,1,0.02857142857142857
tradicional,1,0.02857142857142857
película,1,0.02857142857142857
sexuado,1,0.02857142857142857
política,1,0.02857142857142857
interés,1,0.02857142857142857
desplazar,1,0.02857142857142857
directo,1,0.02857142857142857
famoso,1,0.02857142857142857
confrontar,1,0.02857142857142857
ano,1,0.02857142857142857
acuñar,1,0.02857142857142857
usual,1,0.02857142857142857
porno,1,0.02857142857142857
actriz,1,0.02857142857142857
cinematográfico,1,0.02857142857142857
subgénero,1,0.02857142857142857
triers,1,0.02857142857142857
zentropa,1,0.02857142857142857
studios,1,0.02857142857142857
annie,1,0.02857142857142857
sprinkle,1,0.02857142857142857
talkshows,1,0.02857142857142857
performance,1,0.02857142857142857
masculinofemenino,1,0.02857142857142857
safía,1,0.02857142857142857
desterritorializa,1,0.02857142857142857
