Respuesta,Frecuencia,Asociación
sífilis,12,0.027906976744186046
eyaculación,6,0.013953488372093023
congénito,6,0.013953488372093023
2,4,0.009302325581395349
12,4,0.009302325581395349
méxico,3,0.0069767441860465115
secundario,3,0.0069767441860465115
3,3,0.0069767441860465115
experiencia,3,0.0069767441860465115
hijo,3,0.0069767441860465115
latente,3,0.0069767441860465115
social,2,0.004651162790697674
educación,2,0.004651162790697674
forma,2,0.004651162790697674
presentar,2,0.004651162790697674
niño,2,0.004651162790697674
llegar,2,0.004651162790697674
caso,2,0.004651162790697674
enfermedad,2,0.004651162790697674
clasificar,2,0.004651162790697674
relación,2,0.004651162790697674
primario,2,0.004651162790697674
do,2,0.004651162790697674
embarazo,2,0.004651162790697674
entender,2,0.004651162790697674
abril,2,0.004651162790697674
clínico,2,0.004651162790697674
infección,2,0.004651162790697674
padre,2,0.004651162790697674
matrimonio,2,0.004651162790697674
familiar,2,0.004651162790697674
diagnóstico,2,0.004651162790697674
6,2,0.004651162790697674
genitalidad,2,0.004651162790697674
falta,2,0.004651162790697674
maternidad,2,0.004651162790697674
económico,2,0.004651162790697674
zona,2,0.004651162790697674
tratamiento,2,0.004651162790697674
hiperemesis,2,0.004651162790697674
toxemia,2,0.004651162790697674
tardío,2,0.004651162790697674
en_cuatro,2,0.004651162790697674
ep,2,0.004651162790697674
eyaculatorio,2,0.004651162790697674
gonocócico,2,0.004651162790697674
a500,2,0.004651162790697674
sintomático,2,0.004651162790697674
a501,2,0.004651162790697674
especificación,2,0.004651162790697674
a503,2,0.004651162790697674
oculopatía,2,0.004651162790697674
sifilítico,2,0.004651162790697674
neurosífilis,2,0.004651162790697674
mucosa,2,0.004651162790697674
a514,2,0.004651162790697674
a515,2,0.004651162790697674
a52,2,0.004651162790697674
a520,2,0.004651162790697674
masculinidad,2,0.004651162790697674
sexualidad,1,0.002325581395348837
término,1,0.002325581395348837
proceso,1,0.002325581395348837
seguir,1,0.002325581395348837
método,1,0.002325581395348837
etcétera,1,0.002325581395348837
tratar,1,0.002325581395348837
problema,1,0.002325581395348837
específico,1,0.002325581395348837
perspectiva,1,0.002325581395348837
encontrar,1,0.002325581395348837
país,1,0.002325581395348837
facilitar,1,0.002325581395348837
concepto,1,0.002325581395348837
permitir,1,0.002325581395348837
común,1,0.002325581395348837
comunicación,1,0.002325581395348837
mayoría,1,0.002325581395348837
criterio,1,0.002325581395348837
información,1,0.002325581395348837
suponer,1,0.002325581395348837
ejercicio,1,0.002325581395348837
educación_sexual,1,0.002325581395348837
factor,1,0.002325581395348837
riesgo,1,0.002325581395348837
sexual,1,0.002325581395348837
alternativa,1,0.002325581395348837
grupo,1,0.002325581395348837
año,1,0.002325581395348837
desarrollo,1,0.002325581395348837
cabo,1,0.002325581395348837
finalidad,1,0.002325581395348837
estudio,1,0.002325581395348837
momento,1,0.002325581395348837
relevante,1,0.002325581395348837
objetivo,1,0.002325581395348837
fase,1,0.002325581395348837
importante,1,0.002325581395348837
dato,1,0.002325581395348837
contexto,1,0.002325581395348837
pertinente,1,0.002325581395348837
resultar,1,0.002325581395348837
tipo,1,0.002325581395348837
joven,1,0.002325581395348837
punto,1,0.002325581395348837
casa,1,0.002325581395348837
clasificación,1,0.002325581395348837
1,1,0.002325581395348837
implicar,1,0.002325581395348837
género,1,0.002325581395348837
conformar,1,0.002325581395348837
número,1,0.002325581395348837
establecer,1,0.002325581395348837
completo,1,0.002325581395348837
condicionar,1,0.002325581395348837
trabajar,1,0.002325581395348837
estructura,1,0.002325581395348837
influir,1,0.002325581395348837
control,1,0.002325581395348837
razón,1,0.002325581395348837
psicológico,1,0.002325581395348837
masturbación,1,0.002325581395348837
anal,1,0.002325581395348837
coito,1,0.002325581395348837
placer,1,0.002325581395348837
femenino,1,0.002325581395348837
identificación,1,0.002325581395348837
transmisión,1,0.002325581395348837
masoquismo,1,0.002325581395348837
pareja,1,0.002325581395348837
cultura,1,0.002325581395348837
edad,1,0.002325581395348837
reconocer,1,0.002325581395348837
referencia,1,0.002325581395348837
guardar,1,0.002325581395348837
medida,1,0.002325581395348837
fenómeno,1,0.002325581395348837
emplear,1,0.002325581395348837
porcentaje,1,0.002325581395348837
pleno,1,0.002325581395348837
índice,1,0.002325581395348837
arrojar,1,0.002325581395348837
valor,1,0.002325581395348837
especificar,1,0.002325581395348837
2005,1,0.002325581395348837
cambio,1,0.002325581395348837
éxito,1,0.002325581395348837
adolescente,1,0.002325581395348837
desear,1,0.002325581395348837
recibir,1,0.002325581395348837
cualitativo,1,0.002325581395348837
imagen,1,0.002325581395348837
salir,1,0.002325581395348837
iniciar,1,0.002325581395348837
mito,1,0.002325581395348837
método_anticonceptivo,1,0.002325581395348837
menor,1,0.002325581395348837
gestación,1,0.002325581395348837
8,1,0.002325581395348837
cifra,1,0.002325581395348837
aborto,1,0.002325581395348837
20,1,0.002325581395348837
14,1,0.002325581395348837
responsable,1,0.002325581395348837
sexo,1,0.002325581395348837
infantil,1,0.002325581395348837
deseo,1,0.002325581395348837
mujer,1,0.002325581395348837
mover,1,0.002325581395348837
