Respuesta,Frecuencia,Asociación
sexual,3,0.039473684210526314
masculino,2,0.02631578947368421
actitud,2,0.02631578947368421
experiencia,2,0.02631578947368421
deseo,2,0.02631578947368421
manifestar,2,0.02631578947368421
necesidad,1,0.013157894736842105
joven,1,0.013157894736842105
adulto,1,0.013157894736842105
género,1,0.013157894736842105
albergar,1,0.013157894736842105
indicar,1,0.013157894736842105
separar,1,0.013157894736842105
actividad_sexual,1,0.013157894736842105
aumento,1,0.013157894736842105
relación_sexual,1,0.013157894736842105
femenino,1,0.013157894736842105
desarrollar,1,0.013157894736842105
relación,1,0.013157894736842105
posibilidad,1,0.013157894736842105
ampliamente,1,0.013157894736842105
do,1,0.013157894736842105
contraste,1,0.013157894736842105
práctica,1,0.013157894736842105
adolescencia,1,0.013157894736842105
físico,1,0.013157894736842105
norma,1,0.013157894736842105
sexo,1,0.013157894736842105
mujer,1,0.013157894736842105
vida,1,0.013157894736842105
inseguridad,1,0.013157894736842105
hombre,1,0.013157894736842105
diferenciar,1,0.013157894736842105
natural,1,0.013157894736842105
aceptar,1,0.013157894736842105
esperar,1,0.013157894736842105
especial,1,0.013157894736842105
incorporación,1,0.013157894736842105
frente,1,0.013157894736842105
sentimiento,1,0.013157894736842105
varón,1,0.013157894736842105
concebir,1,0.013157894736842105
100,1,0.013157894736842105
moral,1,0.013157894736842105
comenzar,1,0.013157894736842105
responsabilidad,1,0.013157894736842105
decisión,1,0.013157894736842105
modificación,1,0.013157894736842105
39,1,0.013157894736842105
ciento,1,0.013157894736842105
incrementar,1,0.013157894736842105
fecundidad,1,0.013157894736842105
favorable,1,0.013157894736842105
encuestar,1,0.013157894736842105
preparación,1,0.013157894736842105
consecuente,1,0.013157894736842105
participación,1,0.013157894736842105
erotismo,1,0.013157894736842105
afecto,1,0.013157894736842105
procreación,1,0.013157894736842105
satisfacer,1,0.013157894736842105
virginidad,1,0.013157894736842105
divergencia,1,0.013157894736842105
233,1,0.013157894736842105
528,1,0.013157894736842105
desacuerdo,1,0.013157894736842105
debilitamiento,1,0.013157894736842105
divergente,1,0.013157894736842105
apetito,1,0.013157894736842105
