Respuesta,Frecuencia,Asociación
universidad,49,0.019750100765820233
vida,30,0.012091898428053204
público,29,0.011688835147118097
x,24,0.009673518742442563
laico,23,0.009270455461507456
derecho,21,0.008464328899637243
espacio,14,0.005642885933091495
sexualidad,13,0.005239822652156389
mujer,13,0.005239822652156389
social,12,0.0048367593712212815
mexicano,12,0.0048367593712212815
instituto,12,0.0048367593712212815
trabajador_sexual,12,0.0048367593712212815
doméstico,11,0.004433696090286175
opus,10,0.004030632809351068
dei,10,0.004030632809351068
misionero,10,0.004030632809351068
sexual,9,0.0036275695284159614
grupo,9,0.0036275695284159614
diferencia,9,0.0036275695284159614
trabajo,8,0.0032245062474808546
estudio,8,0.0032245062474808546
4,8,0.0032245062474808546
relación,8,0.0032245062474808546
práctica,8,0.0032245062474808546
significativo,8,0.0032245062474808546
particular,7,0.0028214429665457475
ámbito,7,0.0028214429665457475
carácter,7,0.0028214429665457475
niño,7,0.0028214429665457475
persona,7,0.0028214429665457475
decisión,7,0.0028214429665457475
hombre,7,0.0028214429665457475
concepto,6,0.0024183796856106408
población,6,0.0024183796856106408
programa,6,0.0024183796856106408
salud,6,0.0024183796856106408
ley,6,0.0024183796856106408
considerar,6,0.0024183796856106408
permisividad,6,0.0024183796856106408
universitario,6,0.0024183796856106408
jesuita,6,0.0024183796856106408
guadalupe,6,0.0024183796856106408
clasificatorio,6,0.0024183796856106408
méxico,5,0.002015316404675534
ejercicio,5,0.002015316404675534
relacionar,5,0.002015316404675534
análisis,5,0.002015316404675534
lugar,5,0.002015316404675534
actividad,5,0.002015316404675534
servicio,5,0.002015316404675534
condición,5,0.002015316404675534
íntimo,5,0.002015316404675534
adolescente,5,0.002015316404675534
profesional,5,0.002015316404675534
participar,5,0.002015316404675534
ciudad,5,0.002015316404675534
conducta,5,0.002015316404675534
22,5,0.002015316404675534
seguir,4,0.0016122531237404273
necesario,4,0.0016122531237404273
existir,4,0.0016122531237404273
información,4,0.0016122531237404273
educación,4,0.0016122531237404273
forma,4,0.0016122531237404273
organización,4,0.0016122531237404273
cualquiera,4,0.0016122531237404273
resultar,4,0.0016122531237404273
incluir,4,0.0016122531237404273
sujeto,4,0.0016122531237404273
pareja,4,0.0016122531237404273
tiempo,4,0.0016122531237404273
propiedad,4,0.0016122531237404273
médico,4,0.0016122531237404273
clínica,4,0.0016122531237404273
hospital,4,0.0016122531237404273
sistema,4,0.0016122531237404273
entender,4,0.0016122531237404273
referir,4,0.0016122531237404273
atención,4,0.0016122531237404273
12,4,0.0016122531237404273
resultado,4,0.0016122531237404273
menor,4,0.0016122531237404273
promover,4,0.0016122531237404273
esfera,4,0.0016122531237404273
cliente,4,0.0016122531237404273
condón,4,0.0016122531237404273
vivir,4,0.0016122531237404273
sexo,4,0.0016122531237404273
306,4,0.0016122531237404273
118,4,0.0016122531237404273
65,4,0.0016122531237404273
jesús,4,0.0016122531237404273
posthoc,4,0.0016122531237404273
tukey,4,0.0016122531237404273
particularmente,4,0.0016122531237404273
8478,4,0.0016122531237404273
8680,4,0.0016122531237404273
8679,4,0.0016122531237404273
gráfica,4,0.0016122531237404273
varianza,4,0.0016122531237404273
20829,4,0.0016122531237404273
religión,4,0.0016122531237404273
confidencialidad,4,0.0016122531237404273
básico,3,0.0012091898428053204
método,3,0.0012091898428053204
tratar,3,0.0012091898428053204
proyecto,3,0.0012091898428053204
intentar,3,0.0012091898428053204
problema,3,0.0012091898428053204
deber,3,0.0012091898428053204
investigación,3,0.0012091898428053204
etapa,3,0.0012091898428053204
ayuda,3,0.0012091898428053204
importante,3,0.0012091898428053204
definir,3,0.0012091898428053204
pensar,3,0.0012091898428053204
tipo,3,0.0012091898428053204
adulto,3,0.0012091898428053204
1,3,0.0012091898428053204
implicar,3,0.0012091898428053204
hallar,3,0.0012091898428053204
complejo,3,0.0012091898428053204
número,3,0.0012091898428053204
tomar,3,0.0012091898428053204
caso,3,0.0012091898428053204
nivel,3,0.0012091898428053204
visión,3,0.0012091898428053204
cuerpo,3,0.0012091898428053204
expresión,3,0.0012091898428053204
femenino,3,0.0012091898428053204
familia,3,0.0012091898428053204
sociedad,3,0.0012091898428053204
occidental,3,0.0012091898428053204
reconocer,3,0.0012091898428053204
reconocimiento,3,0.0012091898428053204
criatura,3,0.0012091898428053204
individual,3,0.0012091898428053204
estatal,3,0.0012091898428053204
hijo,3,0.0012091898428053204
recibir,3,0.0012091898428053204
_,3,0.0012091898428053204
millón,3,0.0012091898428053204
primario,3,0.0012091898428053204
político,3,0.0012091898428053204
situación,3,0.0012091898428053204
ético,3,0.0012091898428053204
aspecto,3,0.0012091898428053204
felicidad,3,0.0012091898428053204
acto,3,0.0012091898428053204
mantener,3,0.0012091898428053204
doble,3,0.0012091898428053204
trabajador,3,0.0012091898428053204
familiar,3,0.0012091898428053204
confiable,3,0.0012091898428053204
tratamiento,3,0.0012091898428053204
its,3,0.0012091898428053204
autonomía,3,0.0012091898428053204
científico,3,0.0012091898428053204
práctico,3,0.0012091898428053204
cuantitativo,3,0.0012091898428053204
vida_sexual,3,0.0012091898428053204
oponer,3,0.0012091898428053204
plazo,3,0.0012091898428053204
do,3,0.0012091898428053204
tocar,3,0.0012091898428053204
muestra,3,0.0012091898428053204
seleccionar,3,0.0012091898428053204
compartir,3,0.0012091898428053204
respeto,3,0.0012091898428053204
propiciar,3,0.0012091898428053204
esposo,3,0.0012091898428053204
excluir,3,0.0012091898428053204
acudir,3,0.0012091898428053204
proponer,2,0.0008061265618702137
área,2,0.0008061265618702137
proceso,2,0.0008061265618702137
tema,2,0.0008061265618702137
encontrar,2,0.0008061265618702137
aunar,2,0.0008061265618702137
construcción,2,0.0008061265618702137
conocimiento,2,0.0008061265618702137
contar,2,0.0008061265618702137
permitir,2,0.0008061265618702137
suponer,2,0.0008061265618702137
educación_sexual,2,0.0008061265618702137
especializar,2,0.0008061265618702137
factor,2,0.0008061265618702137
tender,2,0.0008061265618702137
mundial,2,0.0008061265618702137
buscar,2,0.0008061265618702137
alternativa,2,0.0008061265618702137
desarrollo,2,0.0008061265618702137
nacional,2,0.0008061265618702137
voluntario,2,0.0008061265618702137
aplicación,2,0.0008061265618702137
necesitar,2,0.0008061265618702137
2,2,0.0008061265618702137
componer,2,0.0008061265618702137
servir,2,0.0008061265618702137
contexto,2,0.0008061265618702137
acceso,2,0.0008061265618702137
ilustrar,2,0.0008061265618702137
obtener,2,0.0008061265618702137
libre,2,0.0008061265618702137
mostrar,2,0.0008061265618702137
histórico,2,0.0008061265618702137
estrategia,2,0.0008061265618702137
asociación,2,0.0008061265618702137
3,2,0.0008061265618702137
hablar,2,0.0008061265618702137
trabajar,2,0.0008061265618702137
cumplir,2,0.0008061265618702137
origen,2,0.0008061265618702137
contenido,2,0.0008061265618702137
querer,2,0.0008061265618702137
institución,2,0.0008061265618702137
distinto,2,0.0008061265618702137
anatomía,2,0.0008061265618702137
control,2,0.0008061265618702137
aumento,2,0.0008061265618702137
