Respuesta,Frecuencia,Asociación
mujer,4,0.023529411764705882
etapa,2,0.011764705882352941
relación,2,0.011764705882352941
sexo,2,0.011764705882352941
seguro,2,0.011764705882352941
promiscuo,2,0.011764705882352941
méxico,1,0.0058823529411764705
base,1,0.0058823529411764705
social,1,0.0058823529411764705
deber,1,0.0058823529411764705
general,1,0.0058823529411764705
necesario,1,0.0058823529411764705
existir,1,0.0058823529411764705
criterio,1,0.0058823529411764705
educación_sexual,1,0.0058823529411764705
informar,1,0.0058823529411764705
sexual,1,0.0058823529411764705
2000,1,0.0058823529411764705
relacionar,1,0.0058823529411764705
disponible,1,0.0058823529411764705
presentar,1,0.0058823529411764705
grupo,1,0.0058823529411764705
año,1,0.0058823529411764705
desarrollo,1,0.0058823529411764705
cuyo,1,0.0058823529411764705
requerir,1,0.0058823529411764705
depender,1,0.0058823529411764705
dato,1,0.0058823529411764705
tipo,1,0.0058823529411764705
niño,1,0.0058823529411764705
b,1,0.0058823529411764705
joven,1,0.0058823529411764705
mostrar,1,0.0058823529411764705
llegar,1,0.0058823529411764705
1,1,0.0058823529411764705
decidir,1,0.0058823529411764705
establecer,1,0.0058823529411764705
tomar,1,0.0058823529411764705
variación,1,0.0058823529411764705
nivel,1,0.0058823529411764705
diferenciación,1,0.0058823529411764705
querer,1,0.0058823529411764705
estable,1,0.0058823529411764705
cincar,1,0.0058823529411764705
expresión,1,0.0058823529411764705
actividad_sexual,1,0.0058823529411764705
enfermedad,1,0.0058823529411764705
diferencia,1,0.0058823529411764705
pareja,1,0.0058823529411764705
sociedad,1,0.0058823529411764705
edad,1,0.0058823529411764705
característica,1,0.0058823529411764705
apoyar,1,0.0058823529411764705
frecuente,1,0.0058823529411764705
condición,1,0.0058823529411764705
do,1,0.0058823529411764705
ayudar,1,0.0058823529411764705
mil,1,0.0058823529411764705
adolescente,1,0.0058823529411764705
aumentar,1,0.0058823529411764705
resultado,1,0.0058823529411764705
actitud,1,0.0058823529411764705
conducta,1,0.0058823529411764705
práctica,1,0.0058823529411764705
asociar,1,0.0058823529411764705
hipótesis,1,0.0058823529411764705
iniciar,1,0.0058823529411764705
escaso,1,0.0058823529411764705
menor,1,0.0058823529411764705
considerar,1,0.0058823529411764705
preservativo,1,0.0058823529411764705
clase,1,0.0058823529411764705
coital,1,0.0058823529411764705
época,1,0.0058823529411764705
urbano,1,0.0058823529411764705
norma,1,0.0058823529411764705
aspecto,1,0.0058823529411764705
costumbre,1,0.0058823529411764705
interpretar,1,0.0058823529411764705
serie,1,0.0058823529411764705
hombre,1,0.0058823529411764705
natural,1,0.0058823529411764705
aceptar,1,0.0058823529411764705
expresar,1,0.0058823529411764705
incidencia,1,0.0058823529411764705
unir,1,0.0058823529411764705
familiar,1,0.0058823529411764705
diagnóstico,1,0.0058823529411764705
quedar,1,0.0058823529411764705
intento,1,0.0058823529411764705
confesar,1,0.0058823529411764705
varón,1,0.0058823529411764705
pequeño,1,0.0058823529411764705
presencia,1,0.0058823529411764705
ocasional,1,0.0058823529411764705
abstinencia,1,0.0058823529411764705
similar,1,0.0058823529411764705
asumir,1,0.0058823529411764705
nacimiento,1,0.0058823529411764705
suicidio,1,0.0058823529411764705
anticonceptivo,1,0.0058823529411764705
ocurrir,1,0.0058823529411764705
cerrar,1,0.0058823529411764705
condón,1,0.0058823529411764705
europa,1,0.0058823529411764705
circunstancia,1,0.0058823529411764705
meter,1,0.0058823529411764705
entrega,1,0.0058823529411764705
voluntariamente,1,0.0058823529411764705
antropólogo,1,0.0058823529411764705
precaución,1,0.0058823529411764705
promover,1,0.0058823529411764705
sugerir,1,0.0058823529411764705
frecuencia,1,0.0058823529411764705
gustar,1,0.0058823529411764705
contagio,1,0.0058823529411764705
destacar,1,0.0058823529411764705
vihsida,1,0.0058823529411764705
latir,1,0.0058823529411764705
andar,1,0.0058823529411764705
placentero,1,0.0058823529411764705
agrupación,1,0.0058823529411764705
paternidad,1,0.0058823529411764705
universalizar,1,0.0058823529411764705
norte,1,0.0058823529411764705
solicitud,1,0.0058823529411764705
desconfianza,1,0.0058823529411764705
riesgoso,1,0.0058823529411764705
prostitución,1,0.0058823529411764705
fronterizo,1,0.0058823529411764705
92,1,0.0058823529411764705
yoaceptaba,1,0.0058823529411764705
comentar,1,0.0058823529411764705
espérate,1,0.0058823529411764705
autocastigo,1,0.0058823529411764705
treinta,1,0.0058823529411764705
divorcioseparación,1,0.0058823529411764705
depresión,1,0.0058823529411764705
angustiar,1,0.0058823529411764705
anómico,1,0.0058823529411764705
acentuar,1,0.0058823529411764705
hispano,1,0.0058823529411764705
relato,1,0.0058823529411764705
desbordar,1,0.0058823529411764705
borrachera,1,0.0058823529411764705
proclive,1,0.0058823529411764705
liberalidad,1,0.0058823529411764705
proscribir,1,0.0058823529411764705
recelo,1,0.0058823529411764705
posponer,1,0.0058823529411764705
sexuales21,1,0.0058823529411764705
limpieza,1,0.0058823529411764705
desconocido,1,0.0058823529411764705
hacendar,1,0.0058823529411764705
chancroide,1,0.0058823529411764705
ocasionalmente,1,0.0058823529411764705
brote,1,0.0058823529411764705
hacinamiento12,1,0.0058823529411764705
úlcera,1,0.0058823529411764705
prehistoria,1,0.0058823529411764705
primitivo,1,0.0058823529411764705
monogamia,1,0.0058823529411764705
