Respuesta,Frecuencia,Asociación
social,11,0.01020408163265306
mujer,11,0.01020408163265306
prostituta,10,0.00927643784786642
tratar,8,0.0074211502782931356
considerar,7,0.006493506493506494
sexual,6,0.0055658627087198514
caso,6,0.0055658627087198514
ley,6,0.0055658627087198514
medida,5,0.00463821892393321
persona,5,0.00463821892393321
laboral,5,0.00463821892393321
legal,5,0.00463821892393321
transexual,5,0.00463821892393321
presentar,4,0.0037105751391465678
carácter,4,0.0037105751391465678
pensar,4,0.0037105751391465678
práctica,4,0.0037105751391465678
entender,4,0.0037105751391465678
aparecer,4,0.0037105751391465678
ejercer,4,0.0037105751391465678
sexualidad,3,0.0027829313543599257
trabajo,3,0.0027829313543599257
seguir,3,0.0027829313543599257
problema,3,0.0027829313543599257
encontrar,3,0.0027829313543599257
forma,3,0.0027829313543599257
ámbito,3,0.0027829313543599257
salud,3,0.0027829313543599257
relacionar,3,0.0027829313543599257
público,3,0.0027829313543599257
niño,3,0.0027829313543599257
idea,3,0.0027829313543599257
masculino,3,0.0027829313543599257
relación,3,0.0027829313543599257
pareja,3,0.0027829313543599257
abuso,3,0.0027829313543599257
consecuencia,3,0.0027829313543599257
convertir,3,0.0027829313543599257
sexo,3,0.0027829313543599257
derecho,3,0.0027829313543599257
parecer,3,0.0027829313543599257
atención,3,0.0027829313543599257
violencia,3,0.0027829313543599257
venta,3,0.0027829313543599257
dimensión,3,0.0027829313543599257
morboso,3,0.0027829313543599257
bataille,3,0.0027829313543599257
explotación,3,0.0027829313543599257
cliente,3,0.0027829313543599257
artículo,2,0.0018552875695732839
etcétera,2,0.0018552875695732839
palabra,2,0.0018552875695732839
concepto,2,0.0018552875695732839
general,2,0.0018552875695732839
necesario,2,0.0018552875695732839
información,2,0.0018552875695732839
programa,2,0.0018552875695732839
constituir,2,0.0018552875695732839
grupo,2,0.0018552875695732839
2004,2,0.0018552875695732839
cabo,2,0.0018552875695732839
voluntario,2,0.0018552875695732839
tipo,2,0.0018552875695732839
implicar,2,0.0018552875695732839
cubrir,2,0.0018552875695732839
género,2,0.0018552875695732839
hallar,2,0.0018552875695732839
límite,2,0.0018552875695732839
escapar,2,0.0018552875695732839
pasar,2,0.0018552875695732839
realidad,2,0.0018552875695732839
tomar,2,0.0018552875695732839
querer,2,0.0018552875695732839
representar,2,0.0018552875695732839
femenino,2,0.0018552875695732839
enfermedad,2,0.0018552875695732839
actividad,2,0.0018552875695732839
tiempo,2,0.0018552875695732839
desprender,2,0.0018552875695732839
venir,2,0.0018552875695732839
fenómeno,2,0.0018552875695732839
prácticamente,2,0.0018552875695732839
producción,2,0.0018552875695732839
determinar,2,0.0018552875695732839
recordar,2,0.0018552875695732839
sistema,2,0.0018552875695732839
vivir,2,0.0018552875695732839
adolescente,2,0.0018552875695732839
actitud,2,0.0018552875695732839
imagen,2,0.0018552875695732839
menor,2,0.0018552875695732839
clase,2,0.0018552875695732839
regular,2,0.0018552875695732839
fantasía,2,0.0018552875695732839
fundamental,2,0.0018552875695732839
perseguir,2,0.0018552875695732839
mundo,2,0.0018552875695732839
historia,2,0.0018552875695732839
negativo,2,0.0018552875695732839
afirmar,2,0.0018552875695732839
socialmente,2,0.0018552875695732839
acompañar,2,0.0018552875695732839
colectivo,2,0.0018552875695732839
hora,2,0.0018552875695732839
moral,2,0.0018552875695732839
falta,2,0.0018552875695732839
anomalía,2,0.0018552875695732839
político,2,0.0018552875695732839
debate,2,0.0018552875695732839
económico,2,0.0018552875695732839
legalmente,2,0.0018552875695732839
legalizar,2,0.0018552875695732839
impulsar,2,0.0018552875695732839
equiparar,2,0.0018552875695732839
vincular,2,0.0018552875695732839
cataluña,2,0.0018552875695732839
ocurrir,2,0.0018552875695732839
sacar,2,0.0018552875695732839
cobertura,2,0.0018552875695732839
ilegal,2,0.0018552875695732839
empleado,2,0.0018552875695732839
administrativo,2,0.0018552875695732839
promoción,2,0.0018552875695732839
revelar,2,0.0018552875695732839
amenaza,2,0.0018552875695732839
frecuencia,2,0.0018552875695732839
sagrado,2,0.0018552875695732839
dignidad,2,0.0018552875695732839
jugar,2,0.0018552875695732839
ajeno,2,0.0018552875695732839
transparencia,2,0.0018552875695732839
fluir,2,0.0018552875695732839
ciudadanía,2,0.0018552875695732839
local,2,0.0018552875695732839
huir,2,0.0018552875695732839
avivar,2,0.0018552875695732839
antiguedad,2,0.0018552875695732839
colindante,2,0.0018552875695732839
ciberespacio,2,0.0018552875695732839
ambulante,2,0.0018552875695732839
dilucidar,2,0.0018552875695732839
reformulación,2,0.0018552875695732839
prostituir,2,0.0018552875695732839
manuscrito,2,0.0018552875695732839
plusvalía,2,0.0018552875695732839
reglamentarismo,2,0.0018552875695732839
abolicionista,2,0.0018552875695732839
tratado,2,0.0018552875695732839
alegal,2,0.0018552875695732839
porno,2,0.0018552875695732839
transexuales,2,0.0018552875695732839
transexualidad,2,0.0018552875695732839
marginación,2,0.0018552875695732839
delincuencia,2,0.0018552875695732839
proponer,1,0.0009276437847866419
metodología,1,0.0009276437847866419
terreno,1,0.0009276437847866419
estudiar,1,0.0009276437847866419
méxico,1,0.0009276437847866419
extraer,1,0.0009276437847866419
pretender,1,0.0009276437847866419
base,1,0.0009276437847866419
material,1,0.0009276437847866419
red,1,0.0009276437847866419
basar,1,0.0009276437847866419
específico,1,0.0009276437847866419
i,1,0.0009276437847866419
perspectiva,1,0.0009276437847866419
abordar,1,0.0009276437847866419
tema,1,0.0009276437847866419
humano,1,0.0009276437847866419
principio,1,0.0009276437847866419
elemento,1,0.0009276437847866419
cultural,1,0.0009276437847866419
construcción,1,0.0009276437847866419
acercar,1,0.0009276437847866419
contar,1,0.0009276437847866419
permitir,1,0.0009276437847866419
deber,1,0.0009276437847866419
comunicación,1,0.0009276437847866419
población,1,0.0009276437847866419
