Respuesta,Frecuencia,Asociación
actividad,11,0.010628019323671498
prostitución,10,0.00966183574879227
trabajo,7,0.00676328502415459
medida,6,0.005797101449275362
social,5,0.004830917874396135
sexual,5,0.004830917874396135
1,5,0.004830917874396135
tomar,5,0.004830917874396135
servicio,5,0.004830917874396135
deseo,5,0.004830917874396135
encontrar,4,0.003864734299516908
forma,4,0.003864734299516908
caso,4,0.003864734299516908
asunto,4,0.003864734299516908
persona,4,0.003864734299516908
derecho,4,0.003864734299516908
hombre,4,0.003864734299516908
colocar,4,0.003864734299516908
pornografía,4,0.003864734299516908
tratar,3,0.002898550724637681
deber,3,0.002898550724637681
programa,3,0.002898550724637681
análisis,3,0.002898550724637681
público,3,0.002898550724637681
destinar,3,0.002898550724637681
tipo,3,0.002898550724637681
realidad,3,0.002898550724637681
ejemplo,3,0.002898550724637681
práctica,3,0.002898550724637681
mujer,3,0.002898550724637681
parecer,3,0.002898550724637681
laboral,3,0.002898550724637681
seguro,3,0.002898550724637681
vincular,3,0.002898550724637681
privilegio,3,0.002898550724637681
fiesta,3,0.002898550724637681
degradación,3,0.002898550724637681
explotación,3,0.002898550724637681
inmoral,3,0.002898550724637681
dignidad,3,0.002898550724637681
hetaira,3,0.002898550724637681
contrario,3,0.002898550724637681
etimológico,3,0.002898550724637681
erotismo,3,0.002898550724637681
exclusivo,3,0.002898550724637681
término,2,0.001932367149758454
método,2,0.001932367149758454
problema,2,0.001932367149758454
palabra,2,0.001932367149758454
abordar,2,0.001932367149758454
facilitar,2,0.001932367149758454
integración,2,0.001932367149758454
general,2,0.001932367149758454
existir,2,0.001932367149758454
ejercicio,2,0.001932367149758454
necesidad,2,0.001932367149758454
presentar,2,0.001932367149758454
momento,2,0.001932367149758454
lugar,2,0.001932367149758454
carácter,2,0.001932367149758454
resultar,2,0.001932367149758454
pensar,2,0.001932367149758454
joven,2,0.001932367149758454
querer,2,0.001932367149758454
evitar,2,0.001932367149758454
cuerpo,2,0.001932367149758454
razón,2,0.001932367149758454
masculino,2,0.001932367149758454
vía,2,0.001932367149758454
alto,2,0.001932367149758454
importar,2,0.001932367149758454
ofrecer,2,0.001932367149758454
consecuencia,2,0.001932367149758454
analizar,2,0.001932367149758454
orden,2,0.001932367149758454
situación,2,0.001932367149758454
imagen,2,0.001932367149758454
producir,2,0.001932367149758454
único,2,0.001932367149758454
iniciar,2,0.001932367149758454
8,2,0.001932367149758454
chico,2,0.001932367149758454
sexo,2,0.001932367149758454
ley,2,0.001932367149758454
gobierno,2,0.001932367149758454
perseguir,2,0.001932367149758454
órgano,2,0.001932367149758454
velo,2,0.001932367149758454
quedar,2,0.001932367149758454
frente,2,0.001932367149758454
varón,2,0.001932367149758454
píldora,2,0.001932367149758454
embarazar,2,0.001932367149758454
realmente,2,0.001932367149758454
vender,2,0.001932367149758454
trabajador,2,0.001932367149758454
legal,2,0.001932367149758454
pagar,2,0.001932367149758454
justicia,2,0.001932367149758454
abandonar,2,0.001932367149758454
comparación,2,0.001932367149758454
moderno,2,0.001932367149758454
ocurrir,2,0.001932367149758454
provocar,2,0.001932367149758454
declarar,2,0.001932367149758454
someter,2,0.001932367149758454
patriarcal,2,0.001932367149758454
régimen,2,0.001932367149758454
cobertura,2,0.001932367149758454
protección,2,0.001932367149758454
ilegal,2,0.001932367149758454
867,2,0.001932367149758454
trasmisión,2,0.001932367149758454
coger,2,0.001932367149758454
857,2,0.001932367149758454
consagración,2,0.001932367149758454
intercambio,2,0.001932367149758454
pasión,2,0.001932367149758454
sacerdotisa,2,0.001932367149758454
florido,2,0.001932367149758454
verguenza,2,0.001932367149758454
miseria,2,0.001932367149758454
estigmatización,2,0.001932367149758454
transparencia,2,0.001932367149758454
plusvalía,2,0.001932367149758454
ajeno,2,0.001932367149758454
criminalizar,2,0.001932367149758454
laboralidad,2,0.001932367149758454
delito,2,0.001932367149758454
prostíbulo,2,0.001932367149758454
dramático,2,0.001932367149758454
porno,2,0.001932367149758454
