Respuesta,Frecuencia,Asociación
sexualidad,5,0.013812154696132596
adolescencia,5,0.013812154696132596
sexual,4,0.011049723756906077
etapa,4,0.011049723756906077
preparar,4,0.011049723756906077
humano,3,0.008287292817679558
forma,3,0.008287292817679558
importante,3,0.008287292817679558
relación,3,0.008287292817679558
entender,3,0.008287292817679558
niñez,3,0.008287292817679558
manifestar,3,0.008287292817679558
oportunamente,3,0.008287292817679558
confrontar,3,0.008287292817679558
encontrar,2,0.0055248618784530384
social,2,0.0055248618784530384
deber,2,0.0055248618784530384
principalmente,2,0.0055248618784530384
constituir,2,0.0055248618784530384
salud,2,0.0055248618784530384
interacción,2,0.0055248618784530384
1,2,0.0055248618784530384
establecer,2,0.0055248618784530384
aumento,2,0.0055248618784530384
relación_sexual,2,0.0055248618784530384
masculino,2,0.0055248618784530384
femenino,2,0.0055248618784530384
frecuente,2,0.0055248618784530384
sistema,2,0.0055248618784530384
resultado,2,0.0055248618784530384
freud,2,0.0055248618784530384
período,2,0.0055248618784530384
heterosexual,2,0.0055248618784530384
profesional,2,0.0055248618784530384
sinónimo,2,0.0055248618784530384
serie,2,0.0055248618784530384
menstruación,2,0.0055248618784530384
vagina,2,0.0055248618784530384
reproducción,2,0.0055248618784530384
comienzo,2,0.0055248618784530384
hormona,2,0.0055248618784530384
básico,1,0.0027624309392265192
lenguaje,1,0.0027624309392265192
texto,1,0.0027624309392265192
proceso,1,0.0027624309392265192
seguir,1,0.0027624309392265192
basar,1,0.0027624309392265192
intentar,1,0.0027624309392265192
específico,1,0.0027624309392265192
tema,1,0.0027624309392265192
construcción,1,0.0027624309392265192
conocimiento,1,0.0027624309392265192
necesario,1,0.0027624309392265192
faltar,1,0.0027624309392265192
actual,1,0.0027624309392265192
enseñanza,1,0.0027624309392265192
fuente,1,0.0027624309392265192
variedad,1,0.0027624309392265192
año,1,0.0027624309392265192
desarrollo,1,0.0027624309392265192
modelo,1,0.0027624309392265192
estudio,1,0.0027624309392265192
necesitar,1,0.0027624309392265192
dirigir,1,0.0027624309392265192
fase,1,0.0027624309392265192
presente,1,0.0027624309392265192
servir,1,0.0027624309392265192
definir,1,0.0027624309392265192
pensar,1,0.0027624309392265192
tipo,1,0.0027624309392265192
niño,1,0.0027624309392265192
b,1,0.0027624309392265192
joven,1,0.0027624309392265192
secundario,1,0.0027624309392265192
adulto,1,0.0027624309392265192
mostrar,1,0.0027624309392265192
camino,1,0.0027624309392265192
idea,1,0.0027624309392265192
búsqueda,1,0.0027624309392265192
género,1,0.0027624309392265192
variación,1,0.0027624309392265192
caso,1,0.0027624309392265192
visión,1,0.0027624309392265192
distinto,1,0.0027624309392265192
biológico,1,0.0027624309392265192
cuerpo,1,0.0027624309392265192
objeto,1,0.0027624309392265192
control,1,0.0027624309392265192
incluir,1,0.0027624309392265192
orgasmo,1,0.0027624309392265192
actividad_sexual,1,0.0027624309392265192
placer,1,0.0027624309392265192
rol,1,0.0027624309392265192
identificación,1,0.0027624309392265192
enfermedad,1,0.0027624309392265192
transmisión,1,0.0027624309392265192
prevención,1,0.0027624309392265192
psicosocial,1,0.0027624309392265192
actividad,1,0.0027624309392265192
ofensa,1,0.0027624309392265192
sociedad,1,0.0027624309392265192
edad,1,0.0027624309392265192
libro,1,0.0027624309392265192
educativo,1,0.0027624309392265192
centro,1,0.0027624309392265192
primario,1,0.0027624309392265192
persona,1,0.0027624309392265192
fenómeno,1,0.0027624309392265192
cosa,1,0.0027624309392265192
ejemplo,1,0.0027624309392265192
producción,1,0.0027624309392265192
pauta,1,0.0027624309392265192
do,1,0.0027624309392265192
consecuencia,1,0.0027624309392265192
ayudar,1,0.0027624309392265192
recordar,1,0.0027624309392265192
capacidad,1,0.0027624309392265192
secuencia,1,0.0027624309392265192
futuro,1,0.0027624309392265192
cambio,1,0.0027624309392265192
adolescente,1,0.0027624309392265192
embarazo,1,0.0027624309392265192
mensaje,1,0.0027624309392265192
conducta,1,0.0027624309392265192
creer,1,0.0027624309392265192
preocupación,1,0.0027624309392265192
crecimiento,1,0.0027624309392265192
herencia,1,0.0027624309392265192
concepción,1,0.0027624309392265192
iniciar,1,0.0027624309392265192
creencia,1,0.0027624309392265192
