Respuesta,Frecuencia,Asociación
año,3,0.013157894736842105
acto,3,0.013157894736842105
contrario,3,0.013157894736842105
perversión,3,0.013157894736842105
lenguaje,2,0.008771929824561403
pretender,2,0.008771929824561403
deber,2,0.008771929824561403
contemplar,2,0.008771929824561403
público,2,0.008771929824561403
mostrar,2,0.008771929824561403
1,2,0.008771929824561403
caso,2,0.008771929824561403
prueba,2,0.008771929824561403
instinto,2,0.008771929824561403
erotismo,2,0.008771929824561403
exhibicionismo,2,0.008771929824561403
sexualidad,1,0.0043859649122807015
artículo,1,0.0043859649122807015
trabajo,1,0.0043859649122807015
seguir,1,0.0043859649122807015
palabra,1,0.0043859649122807015
i,1,0.0043859649122807015
concepto,1,0.0043859649122807015
sexual,1,0.0043859649122807015
buscar,1,0.0043859649122807015
acción,1,0.0043859649122807015
nacional,1,0.0043859649122807015
necesitar,1,0.0043859649122807015
cualquiera,1,0.0043859649122807015
dirigir,1,0.0043859649122807015
requerir,1,0.0043859649122807015
importante,1,0.0043859649122807015
destinar,1,0.0043859649122807015
resultar,1,0.0043859649122807015
calificar,1,0.0043859649122807015
niño,1,0.0043859649122807015
maestro,1,0.0043859649122807015
adulto,1,0.0043859649122807015
manual,1,0.0043859649122807015
libre,1,0.0043859649122807015
autor,1,0.0043859649122807015
hallar,1,0.0043859649122807015
integrar,1,0.0043859649122807015
derivar,1,0.0043859649122807015
escapar,1,0.0043859649122807015
escribir,1,0.0043859649122807015
hablar,1,0.0043859649122807015
describir,1,0.0043859649122807015
apartado,1,0.0043859649122807015
cuerpo,1,0.0043859649122807015
objeto,1,0.0043859649122807015
oral,1,0.0043859649122807015
relación_sexual,1,0.0043859649122807015
sujeto,1,0.0043859649122807015
profundo,1,0.0043859649122807015
relación,1,0.0043859649122807015
pareja,1,0.0043859649122807015
abuso,1,0.0043859649122807015
servicio,1,0.0043859649122807015
hoja,1,0.0043859649122807015
ejemplo,1,0.0043859649122807015
constar,1,0.0043859649122807015
generalmente,1,0.0043859649122807015
importancia,1,0.0043859649122807015
discriminación,1,0.0043859649122807015
restricción,1,0.0043859649122807015
adolescente,1,0.0043859649122807015
práctica,1,0.0043859649122807015
iniciar,1,0.0043859649122807015
menor,1,0.0043859649122807015
considerar,1,0.0043859649122807015
físico,1,0.0043859649122807015
inicio,1,0.0043859649122807015
normal,1,0.0043859649122807015
médico,1,0.0043859649122807015
sexo,1,0.0043859649122807015
desviación,1,0.0043859649122807015
existencia,1,0.0043859649122807015
deseo,1,0.0043859649122807015
mujer,1,0.0043859649122807015
vida,1,0.0043859649122807015
oponer,1,0.0043859649122807015
únicamente,1,0.0043859649122807015
matrimonial,1,0.0043859649122807015
patológico,1,0.0043859649122807015
aspecto,1,0.0043859649122807015
europeo,1,0.0043859649122807015
costumbre,1,0.0043859649122807015
violación,1,0.0043859649122807015
consumir,1,0.0043859649122807015
representación,1,0.0043859649122807015
aceptar,1,0.0043859649122807015
movimiento,1,0.0043859649122807015
amoroso,1,0.0043859649122807015
alejar,1,0.0043859649122807015
lograr,1,0.0043859649122807015
sentimiento,1,0.0043859649122807015
