Respuesta,Frecuencia,Asociación
aborto,7,0.017114914425427872
mujer,7,0.017114914425427872
siglo,6,0.014669926650366748
condón,5,0.012224938875305624
método,4,0.009779951100244499
información,4,0.009779951100244499
xx,4,0.009779951100244499
médico,4,0.009779951100244499
anticonceptivo,4,0.009779951100244499
utilizar,3,0.007334963325183374
evitar,3,0.007334963325183374
embarazo,3,0.007334963325183374
xix,3,0.007334963325183374
quedar,3,0.007334963325183374
abortivo,3,0.007334963325183374
diafragma,3,0.007334963325183374
medicamento,3,0.007334963325183374
farmacológico,3,0.007334963325183374
experimento,3,0.007334963325183374
embarazar,3,0.007334963325183374
tema,2,0.004889975550122249
facilitar,2,0.004889975550122249
permitir,2,0.004889975550122249
principalmente,2,0.004889975550122249
riesgo,2,0.004889975550122249
sexual,2,0.004889975550122249
año,2,0.004889975550122249
ciencia,2,0.004889975550122249
proporcionar,2,0.004889975550122249
acceso,2,0.004889975550122249
placer,2,0.004889975550122249
relación_sexual,2,0.004889975550122249
función,2,0.004889975550122249
método_anticonceptivo,2,0.004889975550122249
chico,2,0.004889975550122249
gobierno,2,0.004889975550122249
causa,2,0.004889975550122249
reducir,2,0.004889975550122249
diu,2,0.004889975550122249
quirúrgico,2,0.004889975550122249
interrumpir,2,0.004889975550122249
semana,2,0.004889975550122249
xviii,2,0.004889975550122249
xxi,2,0.004889975550122249
vecino,2,0.004889975550122249
anticoncepción,2,0.004889975550122249
prostituta,2,0.004889975550122249
857,2,0.004889975550122249
bajar,2,0.004889975550122249
regla,2,0.004889975550122249
337,2,0.004889975550122249
ovario,2,0.004889975550122249
24,2,0.004889975550122249
fértil,2,0.004889975550122249
básico,1,0.0024449877750611247
sexualidad,1,0.0024449877750611247
artículo,1,0.0024449877750611247
estudiar,1,0.0024449877750611247
etcétera,1,0.0024449877750611247
proyecto,1,0.0024449877750611247
problema,1,0.0024449877750611247
conocimiento,1,0.0024449877750611247
deber,1,0.0024449877750611247
necesario,1,0.0024449877750611247
actual,1,0.0024449877750611247
suponer,1,0.0024449877750611247
educación_sexual,1,0.0024449877750611247
informar,1,0.0024449877750611247
constituir,1,0.0024449877750611247
organización,1,0.0024449877750611247
salud,1,0.0024449877750611247
plan,1,0.0024449877750611247
acción,1,0.0024449877750611247
investigación,1,0.0024449877750611247
presentar,1,0.0024449877750611247
grupo,1,0.0024449877750611247
cabo,1,0.0024449877750611247
voluntario,1,0.0024449877750611247
estudio,1,0.0024449877750611247
relevante,1,0.0024449877750611247
ayuda,1,0.0024449877750611247
solución,1,0.0024449877750611247
público,1,0.0024449877750611247
abrir,1,0.0024449877750611247
contener,1,0.0024449877750611247
pensar,1,0.0024449877750611247
niño,1,0.0024449877750611247
joven,1,0.0024449877750611247
secundario,1,0.0024449877750611247
punto,1,0.0024449877750611247
1,1,0.0024449877750611247
asociación,1,0.0024449877750611247
nombre,1,0.0024449877750611247
3,1,0.0024449877750611247
consulta,1,0.0024449877750611247
efectividad,1,0.0024449877750611247
posterior,1,0.0024449877750611247
decidir,1,0.0024449877750611247
exponer,1,0.0024449877750611247
íntimamente,1,0.0024449877750611247
tomar,1,0.0024449877750611247
caso,1,0.0024449877750611247
cincar,1,0.0024449877750611247
visión,1,0.0024449877750611247
razón,1,0.0024449877750611247
incluir,1,0.0024449877750611247
masculino,1,0.0024449877750611247
femenino,1,0.0024449877750611247
vía,1,0.0024449877750611247
profundo,1,0.0024449877750611247
relación,1,0.0024449877750611247
pareja,1,0.0024449877750611247
cultura,1,0.0024449877750611247
escuela,1,0.0024449877750611247
familia,1,0.0024449877750611247
edad,1,0.0024449877750611247
tiempo,1,0.0024449877750611247
alto,1,0.0024449877750611247
centro,1,0.0024449877750611247
persona,1,0.0024449877750611247
ejemplo,1,0.0024449877750611247
suficiente,1,0.0024449877750611247
índice,1,0.0024449877750611247
frecuente,1,0.0024449877750611247
determinar,1,0.0024449877750611247
llamar,1,0.0024449877750611247
elección,1,0.0024449877750611247
do,1,0.0024449877750611247
consecuencia,1,0.0024449877750611247
futuro,1,0.0024449877750611247
mil,1,0.0024449877750611247
manejo,1,0.0024449877750611247
anteriormente,1,0.0024449877750611247
costo,1,0.0024449877750611247
vivir,1,0.0024449877750611247
adolescente,1,0.0024449877750611247
tasa,1,0.0024449877750611247
actitud,1,0.0024449877750611247
asistir,1,0.0024449877750611247
fallar,1,0.0024449877750611247
hipótesis,1,0.0024449877750611247
ampliar,1,0.0024449877750611247
mito,1,0.0024449877750611247
escaso,1,0.0024449877750611247
considerar,1,0.0024449877750611247
cerca,1,0.0024449877750611247
gestación,1,0.0024449877750611247
abortar,1,0.0024449877750611247
entrevista,1,0.0024449877750611247
preservativo,1,0.0024449877750611247
20,1,0.0024449877750611247
bienestar,1,0.0024449877750611247
responsable,1,0.0024449877750611247
añadir,1,0.0024449877750611247
aparecer,1,0.0024449877750611247
norma,1,0.0024449877750611247
período,1,0.0024449877750611247
demostrar,1,0.0024449877750611247
tradicional,1,0.0024449877750611247
centrar,1,0.0024449877750611247
juvenil,1,0.0024449877750611247
aspecto,1,0.0024449877750611247
entrevistar,1,0.0024449877750611247
padre,1,0.0024449877750611247
hijo,1,0.0024449877750611247
hombre,1,0.0024449877750611247
comprobar,1,0.0024449877750611247
valer,1,0.0024449877750611247
movimiento,1,0.0024449877750611247
compartir,1,0.0024449877750611247
esperar,1,0.0024449877750611247
unir,1,0.0024449877750611247
familiar,1,0.0024449877750611247
mercado,1,0.0024449877750611247
negativo,1,0.0024449877750611247
implícito,1,0.0024449877750611247
evidente,1,0.0024449877750611247
100,1,0.0024449877750611247
planificación,1,0.0024449877750611247
ginecólogo,1,0.0024449877750611247
enterar,1,0.0024449877750611247
efecto,1,0.0024449877750611247
señalar,1,0.0024449877750611247
corroborar,1,0.0024449877750611247
