Respuesta,Frecuencia,Asociación
mujer,6,0.015463917525773196
cirugía,5,0.01288659793814433
chico,4,0.010309278350515464
caso,3,0.007731958762886598
relación_sexual,3,0.007731958762886598
cosa,3,0.007731958762886598
sexo,3,0.007731958762886598
deber,2,0.005154639175257732
momento,2,0.005154639175257732
utilizar,2,0.005154639175257732
hablar,2,0.005154639175257732
medicina,2,0.005154639175257732
relación,2,0.005154639175257732
centro,2,0.005154639175257732
ejemplo,2,0.005154639175257732
apoyo,2,0.005154639175257732
adolescente,2,0.005154639175257732
método_anticonceptivo,2,0.005154639175257732
correr,2,0.005154639175257732
considerar,2,0.005154639175257732
responsable,2,0.005154639175257732
vida,2,0.005154639175257732
hijo,2,0.005154639175257732
hombre,2,0.005154639175257732
planificación,2,0.005154639175257732
implante,2,0.005154639175257732
penetración,2,0.005154639175257732
706,2,0.005154639175257732
diu,2,0.005154639175257732
654,2,0.005154639175257732
diafragma,2,0.005154639175257732
253,2,0.005154639175257732
crema,2,0.005154639175257732
espermicida,2,0.005154639175257732
267,2,0.005154639175257732
orinar,2,0.005154639175257732
inmediatamente,2,0.005154639175257732
acto_sexual,2,0.005154639175257732
56,2,0.005154639175257732
563,2,0.005154639175257732
disfrutar,2,0.005154639175257732
149,2,0.005154639175257732
451,2,0.005154639175257732
40,2,0.005154639175257732
espontaneidad,2,0.005154639175257732
443,2,0.005154639175257732
408,2,0.005154639175257732
difícil,2,0.005154639175257732
733,2,0.005154639175257732
211,2,0.005154639175257732
ciudadanía,2,0.005154639175257732
ciudadano,2,0.005154639175257732
curar,2,0.005154639175257732
cliente,2,0.005154639175257732
patricio,2,0.005154639175257732
sexualidad,1,0.002577319587628866
trabajo,1,0.002577319587628866
área,1,0.002577319587628866
proceso,1,0.002577319587628866
etcétera,1,0.002577319587628866
tratar,1,0.002577319587628866
resolver,1,0.002577319587628866
problema,1,0.002577319587628866
palabra,1,0.002577319587628866
específico,1,0.002577319587628866
perspectiva,1,0.002577319587628866
humano,1,0.002577319587628866
encontrar,1,0.002577319587628866
construcción,1,0.002577319587628866
país,1,0.002577319587628866
permitir,1,0.002577319587628866
población,1,0.002577319587628866
necesario,1,0.002577319587628866
suponer,1,0.002577319587628866
conjunto,1,0.002577319587628866
educación_sexual,1,0.002577319587628866
informar,1,0.002577319587628866
riesgo,1,0.002577319587628866
sexual,1,0.002577319587628866
acción,1,0.002577319587628866
presentar,1,0.002577319587628866
año,1,0.002577319587628866
documento,1,0.002577319587628866
solución,1,0.002577319587628866
niño,1,0.002577319587628866
finalmente,1,0.002577319587628866
papel,1,0.002577319587628866
1,1,0.002577319587628866
4,1,0.002577319587628866
posterior,1,0.002577319587628866
escribir,1,0.002577319587628866
decidir,1,0.002577319587628866
pasar,1,0.002577319587628866
cumplir,1,0.002577319587628866
querer,1,0.002577319587628866
cincar,1,0.002577319587628866
visión,1,0.002577319587628866
cuerpo,1,0.002577319587628866
femenino,1,0.002577319587628866
