Respuesta,Frecuencia,Asociación
tipificar,5,0.049019607843137254
mujer,4,0.0392156862745098
méxico,2,0.0196078431372549
caso,2,0.0196078431372549
excepción,2,0.0196078431372549
virgen,2,0.0196078431372549
acto,2,0.0196078431372549
víctima,2,0.0196078431372549
seducción,2,0.0196078431372549
delito,2,0.0196078431372549
delito_sexual,2,0.0196078431372549
sancionar,2,0.0196078431372549
impúber,2,0.0196078431372549
proponer,1,0.00980392156862745
existir,1,0.00980392156862745
mayoría,1,0.00980392156862745
sexual,1,0.00980392156862745
presentar,1,0.00980392156862745
año,1,0.00980392156862745
crear,1,0.00980392156862745
presente,1,0.00980392156862745
carácter,1,0.00980392156862745
llegar,1,0.00980392156862745
búsqueda,1,0.00980392156862745
rasgo,1,0.00980392156862745
hablar,1,0.00980392156862745
otorgar,1,0.00980392156862745
masculino,1,0.00980392156862745
frecuente,1,0.00980392156862745
1999,1,0.00980392156862745
asimismo,1,0.00980392156862745
adolescente,1,0.00980392156862745
menor,1,0.00980392156862745
físico,1,0.00980392156862745
18,1,0.00980392156862745
disciplina,1,0.00980392156862745
deseo,1,0.00980392156862745
fuerte,1,0.00980392156862745
violación,1,0.00980392156862745
actualidad,1,0.00980392156862745
hombre,1,0.00980392156862745
varón,1,0.00980392156862745
engaño,1,0.00980392156862745
personal,1,0.00980392156862745
moral,1,0.00980392156862745
libertad,1,0.00980392156862745
dios,1,0.00980392156862745
evidenciar,1,0.00980392156862745
violencia,1,0.00980392156862745
seguridad,1,0.00980392156862745
premio,1,0.00980392156862745
distrito,1,0.00980392156862745
pena,1,0.00980392156862745
federal,1,0.00980392156862745
conjuntamente,1,0.00980392156862745
específicamente,1,0.00980392156862745
código,1,0.00980392156862745
dominio,1,0.00980392156862745
contraparte,1,0.00980392156862745
satisfacer,1,0.00980392156862745
distintivo,1,0.00980392156862745
excitación,1,0.00980392156862745
coleccionar,1,0.00980392156862745
donjuanesco,1,0.00980392156862745
donjuán,1,0.00980392156862745
donasjuanas,1,0.00980392156862745
figurilla,1,0.00980392156862745
venus,1,0.00980392156862745
asesinato,1,0.00980392156862745
véase,1,0.00980392156862745
dobres,1,0.00980392156862745
260,1,0.00980392156862745
competer,1,0.00980392156862745
fuero,1,0.00980392156862745
legislar,1,0.00980392156862745
atentado_contra_el_pudor,1,0.00980392156862745
estupro,1,0.00980392156862745
incesto,1,0.00980392156862745
corrupción_de_menor,1,0.00980392156862745
impropio,1,0.00980392156862745
agravar,1,0.00980392156862745
agresor,1,0.00980392156862745
penal,1,0.00980392156862745
apoderar,1,0.00980392156862745
