Respuesta,Frecuencia,Asociación
época,2,0.05128205128205128
trabajo,1,0.02564102564102564
sexual,1,0.02564102564102564
objetivo,1,0.02564102564102564
servir,1,0.02564102564102564
1,1,0.02564102564102564
registro,1,0.02564102564102564
realidad,1,0.02564102564102564
tomar,1,0.02564102564102564
representar,1,0.02564102564102564
cuerpo,1,0.02564102564102564
femenino,1,0.02564102564102564
aparición,1,0.02564102564102564
definitivo,1,0.02564102564102564
valor,1,0.02564102564102564
imagen,1,0.02564102564102564
inicio,1,0.02564102564102564
victoriano,1,0.02564102564102564
médico,1,0.02564102564102564
posteriormente,1,0.02564102564102564
freud,1,0.02564102564102564
18561939,1,0.02564102564102564
ley,1,0.02564102564102564
premisa,1,0.02564102564102564
prohibir,1,0.02564102564102564
aprobar,1,0.02564102564102564
fotografía,1,0.02564102564102564
virtud,1,0.02564102564102564
revolución_sexual,1,0.02564102564102564
sigmund,1,0.02564102564102564
virginidad,1,0.02564102564102564
fiel,1,0.02564102564102564
puritanismo,1,0.02564102564102564
pornografía,1,0.02564102564102564
burgués,1,0.02564102564102564
recato,1,0.02564102564102564
prostitución_infantil,1,0.02564102564102564
modernismo,1,0.02564102564102564
