Respuesta,Frecuencia,Asociación
mujer,71,0.017308629936616284
derecho,69,0.01682106289614822
salud,57,0.013895660653339834
salud_sexual,57,0.013895660653339834
población,33,0.008044856167723062
planificación,32,0.0078010726474890294
familiar,32,0.0078010726474890294
proceso,31,0.007557289127254997
programa,29,0.007069722086786933
adolescente,27,0.006582155046318869
humano,26,0.006338371526084837
sexualidad,25,0.006094588005850805
servicio,23,0.00560702096538274
hijo,23,0.00560702096538274
sexual,22,0.005363237445148708
social,21,0.005119453924914676
hombre,21,0.005119453924914676
información,20,0.0048756704046806435
deber,19,0.004631886884446611
edad,18,0.004388103364212579
educación,16,0.0039005363237445147
incluir,16,0.0039005363237445147
masculino,16,0.0039005363237445147
práctica,15,0.0036567528035104826
internacional,15,0.0036567528035104826
fecundidad,15,0.0036567528035104826
relación,14,0.0034129692832764505
embarazo,14,0.0034129692832764505
ley,14,0.0034129692832764505
reproducción,14,0.0034129692832764505
año,13,0.0031691857630424185
joven,13,0.0031691857630424185
género,13,0.0031691857630424185
caso,13,0.0031691857630424185
método_anticonceptivo,12,0.0029254022428083864
varón,12,0.0029254022428083864
política,12,0.0029254022428083864
nacional,11,0.002681618722574354
control,10,0.0024378352023403218
pareja,10,0.0024378352023403218
cultura,10,0.0024378352023403218
médico,10,0.0024378352023403218
integral,10,0.0024378352023403218
trabajo,9,0.0021940516821062897
conocimiento,9,0.0021940516821062897
educación_sexual,9,0.0021940516821062897
relacionar,9,0.0021940516821062897
público,9,0.0021940516821062897
acceso,9,0.0021940516821062897
implicar,9,0.0021940516821062897
decidir,9,0.0021940516821062897
enfermedad,9,0.0021940516821062897
función,9,0.0021940516821062897
valor,9,0.0021940516821062897
conducta,9,0.0021940516821062897
considerar,9,0.0021940516821062897
defensa,9,0.0021940516821062897
problema,8,0.0019502681618722574
encontrar,8,0.0019502681618722574
riesgo,8,0.0019502681618722574
desarrollo,8,0.0019502681618722574
análisis,8,0.0019502681618722574
identificar,8,0.0019502681618722574
derecho_sexual,8,0.0019502681618722574
conferencia,8,0.0019502681618722574
preferencia,8,0.0019502681618722574
tema,7,0.0017064846416382253
permitir,7,0.0017064846416382253
existir,7,0.0017064846416382253
investigación,7,0.0017064846416382253
estudio,7,0.0017064846416382253
construir,7,0.0017064846416382253
establecer,7,0.0017064846416382253
realidad,7,0.0017064846416382253
reconocer,7,0.0017064846416382253
referencia,7,0.0017064846416382253
condición,7,0.0017064846416382253
capacidad,7,0.0017064846416382253
enfoque,7,0.0017064846416382253
vida,7,0.0017064846416382253
gobierno,7,0.0017064846416382253
anticonceptivo,7,0.0017064846416382253
1995,7,0.0017064846416382253
atención,7,0.0017064846416382253
dimensión,7,0.0017064846416382253
demográfico,7,0.0017064846416382253
tribunal,7,0.0017064846416382253
método,6,0.0014627011214041932
definición,6,0.0014627011214041932
elemento,6,0.0014627011214041932
país,6,0.0014627011214041932
ejercicio,6,0.0014627011214041932
necesidad,6,0.0014627011214041932
forma,6,0.0014627011214041932
acción,6,0.0014627011214041932
momento,6,0.0014627011214041932
2,6,0.0014627011214041932
objetivo,6,0.0014627011214041932
1,6,0.0014627011214041932
integrar,6,0.0014627011214041932
desarrollar,6,0.0014627011214041932
comportamiento,6,0.0014627011214041932
persona,6,0.0014627011214041932
do,6,0.0014627011214041932
consecuencia,6,0.0014627011214041932
cambio,6,0.0014627011214041932
desear,6,0.0014627011214041932
parecer,6,0.0014627011214041932
igualdad,6,0.0014627011214041932
promover,6,0.0014627011214041932
paciente,6,0.0014627011214041932
vida_sexual,6,0.0014627011214041932
básico,5,0.0012189176011701609
méxico,5,0.0012189176011701609
contar,5,0.0012189176011701609
informar,5,0.0012189176011701609
presentar,5,0.0012189176011701609
cuyo,5,0.0012189176011701609
utilizar,5,0.0012189176011701609
cuerpo,5,0.0012189176011701609
sociedad,5,0.0012189176011701609
medida,5,0.0012189176011701609
ejemplo,5,0.0012189176011701609
determinar,5,0.0012189176011701609
resultado,5,0.0012189176011701609
experiencia,5,0.0012189176011701609
aborto,5,0.0012189176011701609
norma,5,0.0012189176011701609
infección,5,0.0012189176011701609
libertad,5,0.0012189176011701609
personal,5,0.0012189176011701609
aspecto,5,0.0012189176011701609
marco,5,0.0012189176011701609
empezar,5,0.0012189176011701609
latinoamericano,5,0.0012189176011701609
afectar,5,0.0012189176011701609
vihsida,5,0.0012189176011701609
anticoncepción,5,0.0012189176011701609
ubicar,5,0.0012189176011701609
santo,5,0.0012189176011701609
federal,5,0.0012189176011701609
sector,5,0.0012189176011701609
edepam,5,0.0012189176011701609
especial,5,0.0012189176011701609
componente,5,0.0012189176011701609
ausencia,5,0.0012189176011701609
asesoramiento,5,0.0012189176011701609
conceptual,4,0.0009751340809361287
específico,4,0.0009751340809361287
perspectiva,4,0.0009751340809361287
cultural,4,0.0009751340809361287
impacto,4,0.0009751340809361287
mexicano,4,0.0009751340809361287
ámbito,4,0.0009751340809361287
mencionar,4,0.0009751340809361287
grupo,4,0.0009751340809361287
cabo,4,0.0009751340809361287
crear,4,0.0009751340809361287
etapa,4,0.0009751340809361287
documentar,4,0.0009751340809361287
contribuir,4,0.0009751340809361287
importante,4,0.0009751340809361287
definir,4,0.0009751340809361287
contexto,4,0.0009751340809361287
usuario,4,0.0009751340809361287
tipo,4,0.0009751340809361287
niño,4,0.0009751340809361287
punto,4,0.0009751340809361287
búsqueda,4,0.0009751340809361287
4,4,0.0009751340809361287
nivel,4,0.0009751340809361287
influir,4,0.0009751340809361287
cuestión,4,0.0009751340809361287
transmisión,4,0.0009751340809361287
diferencia,4,0.0009751340809361287
posibilidad,4,0.0009751340809361287
característica,4,0.0009751340809361287
plano,4,0.0009751340809361287
discriminación,4,0.0009751340809361287
sistema,4,0.0009751340809361287
situación,4,0.0009751340809361287
interrupción,4,0.0009751340809361287
recibir,4,0.0009751340809361287
enfrentar,4,0.0009751340809361287
encuesta,4,0.0009751340809361287
regular,4,0.0009751340809361287
regulación,4,0.0009751340809361287
político,4,0.0009751340809361287
generar,4,0.0009751340809361287
historia,4,0.0009751340809361287
espacio,4,0.0009751340809361287
responsabilidad,4,0.0009751340809361287
señalar,4,0.0009751340809361287
valoración,4,0.0009751340809361287
causa,4,0.0009751340809361287
maternidad,4,0.0009751340809361287
expresar,4,0.0009751340809361287
1994,4,0.0009751340809361287
económico,4,0.0009751340809361287
impulsar,4,0.0009751340809361287
materia,4,0.0009751340809361287
respeto,4,0.0009751340809361287
terminar,4,0.0009751340809361287
calidad,4,0.0009751340809361287
decisión,4,0.0009751340809361287
transformación,4,0.0009751340809361287
enfes,4,0.0009751340809361287
demanda,4,0.0009751340809361287
generación,4,0.0009751340809361287
pobre,4,0.0009751340809361287
comprometer,4,0.0009751340809361287
conflicto,4,0.0009751340809361287
autoridad,4,0.0009751340809361287
fundamentar,4,0.0009751340809361287
normatividad,4,0.0009751340809361287
simbólico,4,0.0009751340809361287
unión,4,0.0009751340809361287
testimonio,4,0.0009751340809361287
proponer,3,0.0007313505607020966
seguir,3,0.0007313505607020966
tratar,3,0.0007313505607020966
diverso,3,0.0007313505607020966
general,3,0.0007313505607020966
suponer,3,0.0007313505607020966
conjunto,3,0.0007313505607020966
particular,3,0.0007313505607020966
mundial,3,0.0007313505607020966
avance,3,0.0007313505607020966
central,3,0.0007313505607020966
interacción,3,0.0007313505607020966
amplio,3,0.0007313505607020966
esquema,3,0.0007313505607020966
documento,3,0.0007313505607020966
principal,3,0.0007313505607020966
requerir,3,0.0007313505607020966
carácter,3,0.0007313505607020966
resultar,3,0.0007313505607020966
contener,3,0.0007313505607020966
b,3,0.0007313505607020966
obtener,3,0.0007313505607020966
papel,3,0.0007313505607020966
mostrar,3,0.0007313505607020966
estrategia,3,0.0007313505607020966
cubrir,3,0.0007313505607020966
tamaño,3,0.0007313505607020966
hablar,3,0.0007313505607020966
condicionar,3,0.0007313505607020966
tomar,3,0.0007313505607020966
instituto,3,0.0007313505607020966
contenido,3,0.0007313505607020966
sección,3,0.0007313505607020966
representar,3,0.0007313505607020966
actividad_sexual,3,0.0007313505607020966
placer,3,0.0007313505607020966
identidad,3,0.0007313505607020966
dedicar,3,0.0007313505607020966
individuo,3,0.0007313505607020966
incorporar,3,0.0007313505607020966
académico,3,0.0007313505607020966
centro,3,0.0007313505607020966
5,3,0.0007313505607020966
fenómeno,3,0.0007313505607020966
