Respuesta,Frecuencia,Asociación
mujer,11,0.01926444833625219
sexual,9,0.01576182136602452
2,7,0.012259194395796848
1,7,0.012259194395796848
producir,5,0.008756567425569177
hombre,5,0.008756567425569177
alteración,5,0.008756567425569177
humano,4,0.0070052539404553416
existir,4,0.0070052539404553416
estudio,4,0.0070052539404553416
anatomía,4,0.0070052539404553416
capacidad,4,0.0070052539404553416
deseo,4,0.0070052539404553416
período,4,0.0070052539404553416
master,4,0.0070052539404553416
johnson,4,0.0070052539404553416
447,4,0.0070052539404553416
excitación,4,0.0070052539404553416
sexualidad,3,0.005253940455341506
fase,3,0.005253940455341506
transmisión,3,0.005253940455341506
individuo,3,0.005253940455341506
edad,3,0.005253940455341506
persona,3,0.005253940455341506
embarazo,3,0.005253940455341506
iniciar,3,0.005253940455341506
fisiología,3,0.005253940455341506
erótico,3,0.005253940455341506
avanzar,3,0.005253940455341506
capaz,3,0.005253940455341506
estímulo,3,0.005253940455341506
trastorno,3,0.005253940455341506
fisiológico,3,0.005253940455341506
desaparecer,3,0.005253940455341506
refractario,3,0.005253940455341506
proceso,2,0.0035026269702276708
problema,2,0.0035026269702276708
acercar,2,0.0035026269702276708
acción,2,0.0035026269702276708
desarrollo,2,0.0035026269702276708
análisis,2,0.0035026269702276708
cualquiera,2,0.0035026269702276708
importante,2,0.0035026269702276708
niño,2,0.0035026269702276708
obtener,2,0.0035026269702276708
papel,2,0.0035026269702276708
histórico,2,0.0035026269702276708
efectivo,2,0.0035026269702276708
denominar,2,0.0035026269702276708
4,2,0.0035026269702276708
caso,2,0.0035026269702276708
comprender,2,0.0035026269702276708
biológico,2,0.0035026269702276708
objeto,2,0.0035026269702276708
orgasmo,2,0.0035026269702276708
comportamiento_sexual,2,0.0035026269702276708
masculino,2,0.0035026269702276708
femenino,2,0.0035026269702276708
enfermedad,2,0.0035026269702276708
terapia,2,0.0035026269702276708
tiempo,2,0.0035026269702276708
provenir,2,0.0035026269702276708
ejemplo,2,0.0035026269702276708
consecuencia,2,0.0035026269702276708
situación,2,0.0035026269702276708
cambio,2,0.0035026269702276708
sentir,2,0.0035026269702276708
vivir,2,0.0035026269702276708
menor,2,0.0035026269702276708
entender,2,0.0035026269702276708
aparecer,2,0.0035026269702276708
vida,2,0.0035026269702276708
demostrar,2,0.0035026269702276708
instrumento,2,0.0035026269702276708
aspecto,2,0.0035026269702276708
natural,2,0.0035026269702276708
experimentar,2,0.0035026269702276708
sensación,2,0.0035026269702276708
surgir,2,0.0035026269702276708
exterior,2,0.0035026269702276708
miedo,2,0.0035026269702276708
provocar,2,0.0035026269702276708
laboratorio,2,0.0035026269702276708
patología,2,0.0035026269702276708
estimular,2,0.0035026269702276708
tratamiento,2,0.0035026269702276708
emocional,2,0.0035026269702276708
organismo,2,0.0035026269702276708
evaluación,2,0.0035026269702276708
menstruación,2,0.0035026269702276708
30,2,0.0035026269702276708
28,2,0.0035026269702276708
erección,2,0.0035026269702276708
corporal,2,0.0035026269702276708
tocar,2,0.0035026269702276708
famoso,2,0.0035026269702276708
parafilia,2,0.0035026269702276708
478,2,0.0035026269702276708
463,2,0.0035026269702276708
soñar,2,0.0035026269702276708
meseta,2,0.0035026269702276708
reposo,2,0.0035026269702276708
efectivotambién,2,0.0035026269702276708
insatisfacción,2,0.0035026269702276708
envejecimiento,2,0.0035026269702276708
anotar,2,0.0035026269702276708
curva,2,0.0035026269702276708
artículo,1,0.0017513134851138354
estudiar,1,0.0017513134851138354
pretender,1,0.0017513134851138354
seguir,1,0.0017513134851138354
tema,1,0.0017513134851138354
elemento,1,0.0017513134851138354
cultural,1,0.0017513134851138354
contar,1,0.0017513134851138354
deber,1,0.0017513134851138354
comunicación,1,0.0017513134851138354
necesario,1,0.0017513134851138354
sistemático,1,0.0017513134851138354
responder,1,0.0017513134851138354
sexología,1,0.0017513134851138354
educación_sexual,1,0.0017513134851138354
factor,1,0.0017513134851138354
salud,1,0.0017513134851138354
alternativa,1,0.0017513134851138354
salud_sexual,1,0.0017513134851138354
presentar,1,0.0017513134851138354
año,1,0.0017513134851138354
central,1,0.0017513134851138354
etapa,1,0.0017513134851138354
necesitar,1,0.0017513134851138354
objetivo,1,0.0017513134851138354
principal,1,0.0017513134851138354
contribuir,1,0.0017513134851138354
componer,1,0.0017513134851138354
depender,1,0.0017513134851138354
mínimo,1,0.0017513134851138354
contexto,1,0.0017513134851138354
publicar,1,0.0017513134851138354
mostrar,1,0.0017513134851138354
mejorar,1,0.0017513134851138354
nombre,1,0.0017513134851138354
3,1,0.0017513134851138354
2006,1,0.0017513134851138354
hablar,1,0.0017513134851138354
completo,1,0.0017513134851138354
kinsey,1,0.0017513134851138354
describir,1,0.0017513134851138354
nivel,1,0.0017513134851138354
origen,1,0.0017513134851138354
contenido,1,0.0017513134851138354
querer,1,0.0017513134851138354
influir,1,0.0017513134851138354
representar,1,0.0017513134851138354
distinto,1,0.0017513134851138354
cuerpo,1,0.0017513134851138354
respuesta,1,0.0017513134851138354
psicológico,1,0.0017513134851138354
incluir,1,0.0017513134851138354
actividad_sexual,1,0.0017513134851138354
masturbación,1,0.0017513134851138354
coito,1,0.0017513134851138354
aumento,1,0.0017513134851138354
placer,1,0.0017513134851138354
relación_sexual,1,0.0017513134851138354
desarrollar,1,0.0017513134851138354
ets,1,0.0017513134851138354
prevención,1,0.0017513134851138354
diferencia,1,0.0017513134851138354
pareja,1,0.0017513134851138354
función,1,0.0017513134851138354
abuso,1,0.0017513134851138354
motor,1,0.0017513134851138354
reconocer,1,0.0017513134851138354
referencia,1,0.0017513134851138354
libro,1,0.0017513134851138354
campo,1,0.0017513134851138354
respaldar,1,0.0017513134851138354
5,1,0.0017513134851138354
referir,1,0.0017513134851138354
desencadenar,1,0.0017513134851138354
controlar,1,0.0017513134851138354
identificar,1,0.0017513134851138354
candidato,1,0.0017513134851138354
porcentaje,1,0.0017513134851138354
pleno,1,0.0017513134851138354
condición,1,0.0017513134851138354
generalmente,1,0.0017513134851138354
valor,1,0.0017513134851138354
recordar,1,0.0017513134851138354
sistema,1,0.0017513134851138354
activo,1,0.0017513134851138354
aumentar,1,0.0017513134851138354
recibir,1,0.0017513134851138354
resultado,1,0.0017513134851138354
actitud,1,0.0017513134851138354
experiencia,1,0.0017513134851138354
aprender,1,0.0017513134851138354
crecimiento,1,0.0017513134851138354
convertir,1,0.0017513134851138354
método_anticonceptivo,1,0.0017513134851138354
8,1,0.0017513134851138354
físico,1,0.0017513134851138354
afectivo,1,0.0017513134851138354
preguntar,1,0.0017513134851138354
garantizar,1,0.0017513134851138354
añadir,1,0.0017513134851138354
normal,1,0.0017513134851138354
médico,1,0.0017513134851138354
sexo,1,0.0017513134851138354
enfoque,1,0.0017513134851138354
freud,1,0.0017513134851138354
anímico,1,0.0017513134851138354
despertar,1,0.0017513134851138354
fantasía,1,0.0017513134851138354
excepción,1,0.0017513134851138354
patológico,1,0.0017513134851138354
centrar,1,0.0017513134851138354
infección,1,0.0017513134851138354
genital,1,0.0017513134851138354
observar,1,0.0017513134851138354
causa,1,0.0017513134851138354
serie,1,0.0017513134851138354
patrón,1,0.0017513134851138354
expectativa,1,0.0017513134851138354
formar,1,0.0017513134851138354
diferenciar,1,0.0017513134851138354
p,1,0.0017513134851138354
parecer,1,0.0017513134851138354
historia,1,0.0017513134851138354
órgano,1,0.0017513134851138354
interesante,1,0.0017513134851138354
generar,1,0.0017513134851138354
físicamente,1,0.0017513134851138354
