Respuesta,Frecuencia,Asociación
crecimiento,6,0.0273972602739726
población,3,0.0136986301369863
nivel,2,0.0091324200913242
porcentaje,2,0.0091324200913242
llamar,2,0.0091324200913242
hombre,2,0.0091324200913242
sostener,2,0.0091324200913242
exponencial,2,0.0091324200913242
mediar,2,0.0091324200913242
retiro,2,0.0091324200913242
básico,1,0.0045662100456621
proponer,1,0.0045662100456621
trabajo,1,0.0045662100456621
término,1,0.0045662100456621
proceso,1,0.0045662100456621
método,1,0.0045662100456621
palabra,1,0.0045662100456621
introducción,1,0.0045662100456621
social,1,0.0045662100456621
cultural,1,0.0045662100456621
comunicación,1,0.0045662100456621
programa,1,0.0045662100456621
alternativa,1,0.0045662100456621
creciente,1,0.0045662100456621
presentar,1,0.0045662100456621
año,1,0.0045662100456621
desarrollo,1,0.0045662100456621
central,1,0.0045662100456621
cabo,1,0.0045662100456621
modelo,1,0.0045662100456621
interacción,1,0.0045662100456621
anual,1,0.0045662100456621
2,1,0.0045662100456621
producto,1,0.0045662100456621
público,1,0.0045662100456621
presente,1,0.0045662100456621
lugar,1,0.0045662100456621
punto,1,0.0045662100456621
distribución,1,0.0045662100456621
mostrar,1,0.0045662100456621
3,1,0.0045662100456621
4,1,0.0045662100456621
efectividad,1,0.0045662100456621
escapar,1,0.0045662100456621
conformar,1,0.0045662100456621
duda,1,0.0045662100456621
lengua,1,0.0045662100456621
querer,1,0.0045662100456621
control,1,0.0045662100456621
aumento,1,0.0045662100456621
actividad,1,0.0045662100456621
relación,1,0.0045662100456621
sociedad,1,0.0045662100456621
edad,1,0.0045662100456621
alto,1,0.0045662100456621
privar,1,0.0045662100456621
voluntad,1,0.0045662100456621
cosa,1,0.0045662100456621
ejemplo,1,0.0045662100456621
valor,1,0.0045662100456621
posición,1,0.0045662100456621
consecuencia,1,0.0045662100456621
clásico,1,0.0045662100456621
tasa,1,0.0045662100456621
aumentar,1,0.0045662100456621
cualitativo,1,0.0045662100456621
creer,1,0.0045662100456621
cuestionar,1,0.0045662100456621
método_anticonceptivo,1,0.0045662100456621
menor,1,0.0045662100456621
estabilidad,1,0.0045662100456621
considerar,1,0.0045662100456621
15,1,0.0045662100456621
500,1,0.0045662100456621
comunidad,1,0.0045662100456621
siglo,1,0.0045662100456621
xx,1,0.0045662100456621
regular,1,0.0045662100456621
añadir,1,0.0045662100456621
urbano,1,0.0045662100456621
enfoque,1,0.0045662100456621
infantil,1,0.0045662100456621
mujer,1,0.0045662100456621
tradicional,1,0.0045662100456621
observar,1,0.0045662100456621
generación,1,0.0045662100456621
matrimonio,1,0.0045662100456621
perseguir,1,0.0045662100456621
serie,1,0.0045662100456621
