Respuesta,Frecuencia,Asociación
principio,1,0.02564102564102564
social,1,0.02564102564102564
cultural,1,0.02564102564102564
mexicano,1,0.02564102564102564
mundial,1,0.02564102564102564
2,1,0.02564102564102564
mínimo,1,0.02564102564102564
1,1,0.02564102564102564
técnica,1,0.02564102564102564
3,1,0.02564102564102564
consistir,1,0.02564102564102564
individuo,1,0.02564102564102564
tiempo,1,0.02564102564102564
esfuerzo,1,0.02564102564102564
resultado,1,0.02564102564102564
xx,1,0.02564102564102564
regular,1,0.02564102564102564
derecho,1,0.02564102564102564
generación,1,0.02564102564102564
inferior,1,0.02564102564102564
concebir,1,0.02564102564102564
surgir,1,0.02564102564102564
económico,1,0.02564102564102564
especialmente,1,0.02564102564102564
medicamento,1,0.02564102564102564
guerra,1,0.02564102564102564
millón,1,0.02564102564102564
esterilizar,1,0.02564102564102564
gasto,1,0.02564102564102564
revista,1,0.02564102564102564
inyectar,1,0.02564102564102564
útero,1,0.02564102564102564
raza,1,0.02564102564102564
jueves,1,0.02564102564102564
reich,1,0.02564102564102564
prisionero,1,0.02564102564102564
irritante,1,0.02564102564102564
revolución,1,0.02564102564102564
raíz,1,0.02564102564102564
