Respuesta,Frecuencia,Asociación
servicio,138,0.015166501813386087
mujer,114,0.01252884932410155
programa,75,0.008242664029014177
familiar,74,0.008132761841960654
población,70,0.0076931530937465655
planificación,65,0.0071436421584789534
derecho,59,0.006484229036157819
reproductivo,57,0.006264424662050775
sexual,53,0.005824815913836686
social,52,0.005714913726783163
ley,48,0.005275304978569074
hombre,47,0.005165402791515551
género,44,0.004835696230354984
sexualidad,41,0.004505989669194417
público,41,0.004505989669194417
estudio,40,0.004396087482140895
atención,39,0.004286185295087373
general,37,0.004066380920980327
adolescente,37,0.004066380920980327
deber,36,0.003956478733926805
información,34,0.0037366743598197605
educación,31,0.0034069677986591934
joven,30,0.003297065611605671
riesgo,29,0.0031871634245521484
aborto,29,0.0031871634245521484
incluir,29,0.0031871634245521484
problema,28,0.003077261237498626
1,28,0.003077261237498626
vida,28,0.003077261237498626
médico,28,0.003077261237498626
méxico,27,0.002967359050445104
tema,27,0.002967359050445104
condición,27,0.002967359050445104
masculino,27,0.002967359050445104
establecer,27,0.002967359050445104
acceso,27,0.002967359050445104
trabajo,25,0.002747554676338059
año,25,0.002747554676338059
resultado,24,0.002637652489284537
relación,24,0.002637652489284537
rol,24,0.002637652489284537
humano,23,0.0025277503022310146
país,23,0.0025277503022310146
institución,23,0.0025277503022310146
embarazo,23,0.0025277503022310146
gobierno,23,0.0025277503022310146
nacional,23,0.0025277503022310146
sector,23,0.0025277503022310146
perspectiva,22,0.002417848115177492
contar,22,0.002417848115177492
desarrollo,22,0.002417848115177492
considerar,22,0.002417848115177492
cuerpo,22,0.002417848115177492
varón,22,0.002417848115177492
proceso,21,0.0023079459281239697
caso,21,0.0023079459281239697
necesidad,20,0.0021980437410704474
bienestar,20,0.0021980437410704474
efecto,20,0.0021980437410704474
diferencia,20,0.0021980437410704474
violencia,20,0.0021980437410704474
política,20,0.0021980437410704474
método,19,0.0020881415540169247
existir,19,0.0020881415540169247
mexicano,19,0.0020881415540169247
relacionar,19,0.0020881415540169247
grupo,19,0.0020881415540169247
organización,18,0.0019782393669634025
causa,18,0.0019782393669634025
reproducción,18,0.0019782393669634025
mostrar,17,0.0018683371799098803
norma,17,0.0018683371799098803
tipo,16,0.0017584349928563578
investigación,16,0.0017584349928563578
persona,16,0.0017584349928563578
consecuencia,16,0.0017584349928563578
medida,16,0.0017584349928563578
materno,16,0.0017584349928563578
artículo,15,0.0016485328058028356
forma,15,0.0016485328058028356
educativo,15,0.0016485328058028356
edad,15,0.0016485328058028356
importante,15,0.0016485328058028356
objetivo,15,0.0016485328058028356
prevención,15,0.0016485328058028356
niño,15,0.0016485328058028356
señalar,15,0.0016485328058028356
federal,15,0.0016485328058028356
presentar,14,0.001538630618749313
hijo,14,0.001538630618749313
mejorar,14,0.001538630618749313
situación,14,0.001538630618749313
práctica,14,0.001538630618749313
materia,14,0.001538630618749313
encontrar,13,0.0014287284316957906
recurso,13,0.0014287284316957906
permitir,13,0.0014287284316957906
educación_sexual,13,0.0014287284316957906
factor,13,0.0014287284316957906
