Respuesta,Frecuencia,Asociación
pene,7,0.016166281755196306
peneano,5,0.011547344110854504
venoso,5,0.011547344110854504
indispensable,3,0.006928406466512702
deber,3,0.006928406466512702
sexual,3,0.006928406466512702
placer,3,0.006928406466512702
práctica,3,0.006928406466512702
sánchez,3,0.006928406466512702
quedar,3,0.006928406466512702
señalar,3,0.006928406466512702
vena,3,0.006928406466512702
erección,3,0.006928406466512702
erotismo,3,0.006928406466512702
necesario,2,0.004618937644341801
riesgo,2,0.004618937644341801
adecuar,2,0.004618937644341801
entrar,2,0.004618937644341801
entrada,2,0.004618937644341801
seleccionar,2,0.004618937644341801
asociar,2,0.004618937644341801
volumen,2,0.004618937644341801
derecho,2,0.004618937644341801
deseo,2,0.004618937644341801
genital,2,0.004618937644341801
erótico,2,0.004618937644341801
provocar,2,0.004618937644341801
materno,2,0.004618937644341801
tejido,2,0.004618937644341801
relativamente,2,0.004618937644341801
test,2,0.004618937644341801
flor,2,0.004618937644341801
acumulación,2,0.004618937644341801
secreción,2,0.004618937644341801
óxido,2,0.004618937644341801
nítrico,2,0.004618937644341801
sintasa,2,0.004618937644341801
regulador,2,0.004618937644341801
atrapar,2,0.004618937644341801
arterial,2,0.004618937644341801
adn,2,0.004618937644341801
fetal,2,0.004618937644341801
inadecuar,2,0.004618937644341801
sanguíneo,2,0.004618937644341801
rígido,2,0.004618937644341801
globo,2,0.004618937644341801
terreno,1,0.0023094688221709007
méxico,1,0.0023094688221709007
texto,1,0.0023094688221709007
seguir,1,0.0023094688221709007
método,1,0.0023094688221709007
tratar,1,0.0023094688221709007
específico,1,0.0023094688221709007
tema,1,0.0023094688221709007
humano,1,0.0023094688221709007
principio,1,0.0023094688221709007
cantidad,1,0.0023094688221709007
permitir,1,0.0023094688221709007
común,1,0.0023094688221709007
barrera,1,0.0023094688221709007
sistemático,1,0.0023094688221709007
existir,1,0.0023094688221709007
mexicano,1,0.0023094688221709007
forma,1,0.0023094688221709007
informar,1,0.0023094688221709007
mencionar,1,0.0023094688221709007
presentar,1,0.0023094688221709007
crear,1,0.0023094688221709007
proporcionar,1,0.0023094688221709007
documento,1,0.0023094688221709007
2,1,0.0023094688221709007
cuyo,1,0.0023094688221709007
fase,1,0.0023094688221709007
depender,1,0.0023094688221709007
servir,1,0.0023094688221709007
resultar,1,0.0023094688221709007
tipo,1,0.0023094688221709007
b,1,0.0023094688221709007
libre,1,0.0023094688221709007
llegar,1,0.0023094688221709007
4,1,0.0023094688221709007
consistir,1,0.0023094688221709007
utilizar,1,0.0023094688221709007
exponer,1,0.0023094688221709007
realidad,1,0.0023094688221709007
caso,1,0.0023094688221709007
requisito,1,0.0023094688221709007
querer,1,0.0023094688221709007
cincar,1,0.0023094688221709007
evitar,1,0.0023094688221709007
representar,1,0.0023094688221709007
cuerpo,1,0.0023094688221709007
objeto,1,0.0023094688221709007
orgasmo,1,0.0023094688221709007
comportamiento_sexual,1,0.0023094688221709007
aumento,1,0.0023094688221709007
relación_sexual,1,0.0023094688221709007
masculino,1,0.0023094688221709007
femenino,1,0.0023094688221709007
desarrollar,1,0.0023094688221709007
enfermedad,1,0.0023094688221709007
mecanismo,1,0.0023094688221709007
actividad,1,0.0023094688221709007
familia,1,0.0023094688221709007
tiempo,1,0.0023094688221709007
incorporar,1,0.0023094688221709007
alto,1,0.0023094688221709007
reconocer,1,0.0023094688221709007
ampliamente,1,0.0023094688221709007
coincidir,1,0.0023094688221709007
medida,1,0.0023094688221709007
generalizar,1,0.0023094688221709007
característica,1,0.0023094688221709007
llenar,1,0.0023094688221709007
desencadenar,1,0.0023094688221709007
marcar,1,0.0023094688221709007
identificar,1,0.0023094688221709007
correcto,1,0.0023094688221709007
cosa,1,0.0023094688221709007
apuntar,1,0.0023094688221709007
variable,1,0.0023094688221709007
capacidad,1,0.0023094688221709007
sistema,1,0.0023094688221709007
prueba,1,0.0023094688221709007
cambio,1,0.0023094688221709007
activo,1,0.0023094688221709007
aumentar,1,0.0023094688221709007
investigar,1,0.0023094688221709007
producir,1,0.0023094688221709007
patente,1,0.0023094688221709007
salir,1,0.0023094688221709007
aborto,1,0.0023094688221709007
muestra,1,0.0023094688221709007
33,1,0.0023094688221709007
practicar,1,0.0023094688221709007
norma,1,0.0023094688221709007
sexo,1,0.0023094688221709007
clínico,1,0.0023094688221709007
mujer,1,0.0023094688221709007
vida,1,0.0023094688221709007
