Respuesta,Frecuencia,Asociación
sexual,29,0.024701873935264053
necesidad,16,0.013628620102214651
deseo,11,0.009369676320272573
mujer,11,0.009369676320272573
pareja,10,0.008517887563884156
proponer,6,0.005110732538330494
social,6,0.005110732538330494
placer,6,0.005110732538330494
relación_sexual,6,0.005110732538330494
aceptar,6,0.005110732538330494
artículo,5,0.004258943781942078
forma,5,0.004258943781942078
3,5,0.004258943781942078
objeto,5,0.004258943781942078
relación,5,0.004258943781942078
práctica,5,0.004258943781942078
afectivo,5,0.004258943781942078
trabajo,4,0.0034071550255536627
diverso,4,0.0034071550255536627
permitir,4,0.0034071550255536627
estudio,4,0.0034071550255536627
presente,4,0.0034071550255536627
diversidad,4,0.0034071550255536627
persona,4,0.0034071550255536627
orden,4,0.0034071550255536627
conducta,4,0.0034071550255536627
vida,4,0.0034071550255536627
flexible,4,0.0034071550255536627
erótico,4,0.0034071550255536627
presencia,4,0.0034071550255536627
seguridad,4,0.0034071550255536627
ausencia,4,0.0034071550255536627
marital,4,0.0034071550255536627
vinculación,4,0.0034071550255536627
básico,3,0.002555366269165247
término,3,0.002555366269165247
elemento,3,0.002555366269165247
salud,3,0.002555366269165247
2004,3,0.002555366269165247
tipo,3,0.002555366269165247
niño,3,0.002555366269165247
obtener,3,0.002555366269165247
1,3,0.002555366269165247
rasgo,3,0.002555366269165247
actividad_sexual,3,0.002555366269165247
enfermedad,3,0.002555366269165247
comportamiento,3,0.002555366269165247
terapia,3,0.002555366269165247
servicio,3,0.002555366269165247
bienestar,3,0.002555366269165247
instinto,3,0.002555366269165247
derecho,3,0.002555366269165247
representación,3,0.002555366269165247
hombre,3,0.002555366269165247
natural,3,0.002555366269165247
atención,3,0.002555366269165247
unión,3,0.002555366269165247
favorecer,3,0.002555366269165247
demanda,3,0.002555366269165247
involucrar,3,0.002555366269165247
cuidadoso,3,0.002555366269165247
gusto,3,0.002555366269165247
meramente,3,0.002555366269165247
sexualidad,2,0.0017035775127768314
pretender,2,0.0017035775127768314
basar,2,0.0017035775127768314
problema,2,0.0017035775127768314
definición,2,0.0017035775127768314
específico,2,0.0017035775127768314
conocimiento,2,0.0017035775127768314
facilitar,2,0.0017035775127768314
necesario,2,0.0017035775127768314
existir,2,0.0017035775127768314
criterio,2,0.0017035775127768314
educación,2,0.0017035775127768314
ámbito,2,0.0017035775127768314
constituir,2,0.0017035775127768314
fuente,2,0.0017035775127768314
obtención,2,0.0017035775127768314
meta,2,0.0017035775127768314
corresponder,2,0.0017035775127768314
esencialmente,2,0.0017035775127768314
destinar,2,0.0017035775127768314
publicar,2,0.0017035775127768314
mostrar,2,0.0017035775127768314
clasificación,2,0.0017035775127768314
denominar,2,0.0017035775127768314
búsqueda,2,0.0017035775127768314
autor,2,0.0017035775127768314
indicar,2,0.0017035775127768314
realidad,2,0.0017035775127768314
cumplir,2,0.0017035775127768314
influir,2,0.0017035775127768314
control,2,0.0017035775127768314
respuesta,2,0.0017035775127768314
razón,2,0.0017035775127768314
incluir,2,0.0017035775127768314
orgasmo,2,0.0017035775127768314
estimulación,2,0.0017035775127768314
masculino,2,0.0017035775127768314
masoquismo,2,0.0017035775127768314
función,2,0.0017035775127768314
vacío,2,0.0017035775127768314
controlar,2,0.0017035775127768314
producción,2,0.0017035775127768314
cambio,2,0.0017035775127768314
sentir,2,0.0017035775127768314
menor,2,0.0017035775127768314
considerar,2,0.0017035775127768314
23,2,0.0017035775127768314
coital,2,0.0017035775127768314
regular,2,0.0017035775127768314
normal,2,0.0017035775127768314
época,2,0.0017035775127768314
teoría,2,0.0017035775127768314
impulso,2,0.0017035775127768314
fantasía,2,0.0017035775127768314
patológico,2,0.0017035775127768314
desmitificar,2,0.0017035775127768314
reproductivo,2,0.0017035775127768314
exigir,2,0.0017035775127768314
adaptar,2,0.0017035775127768314
costumbre,2,0.0017035775127768314
parecer,2,0.0017035775127768314
27,2,0.0017035775127768314
característico,2,0.0017035775127768314
dificultad,2,0.0017035775127768314
