Respuesta,Frecuencia,Asociación
mujer,15,0.018891687657430732
demanda,9,0.011335012594458438
necesidad,6,0.007556675062972292
deseo,6,0.007556675062972292
anticonceptivo,6,0.007556675062972292
ciento,6,0.007556675062972292
paridad,6,0.007556675062972292
pareja,5,0.006297229219143577
sexual,4,0.005037783375314861
importante,4,0.005037783375314861
cambio,4,0.005037783375314861
sentir,4,0.005037783375314861
desear,4,0.005037783375314861
sexo,4,0.005037783375314861
sexualidad,3,0.003778337531486146
humano,3,0.003778337531486146
caso,3,0.003778337531486146
actividad,3,0.003778337531486146
servicio,3,0.003778337531486146
condición,3,0.003778337531486146
do,3,0.003778337531486146
hijo,3,0.003778337531486146
expresar,3,0.003778337531486146
varón,3,0.003778337531486146
señalar,3,0.003778337531486146
alcanzar,3,0.003778337531486146
rural,3,0.003778337531486146
pobreza,3,0.003778337531486146
ausencia,3,0.003778337531486146
contrario,3,0.003778337531486146
país,2,0.0025188916876574307
deber,2,0.0025188916876574307
población,2,0.0025188916876574307
información,2,0.0025188916876574307
educación,2,0.0025188916876574307
forma,2,0.0025188916876574307
factor,2,0.0025188916876574307
salud,2,0.0025188916876574307
investigación,2,0.0025188916876574307
año,2,0.0025188916876574307
análisis,2,0.0025188916876574307
dirigir,2,0.0025188916876574307
principal,2,0.0025188916876574307
corresponder,2,0.0025188916876574307
definir,2,0.0025188916876574307
niño,2,0.0025188916876574307
joven,2,0.0025188916876574307
casa,2,0.0025188916876574307
mostrar,2,0.0025188916876574307
llegar,2,0.0025188916876574307
género,2,0.0025188916876574307
rasgo,2,0.0025188916876574307
completo,2,0.0025188916876574307
distinto,2,0.0025188916876574307
razón,2,0.0025188916876574307
relación,2,0.0025188916876574307
sociedad,2,0.0025188916876574307
prácticamente,2,0.0025188916876574307
emplear,2,0.0025188916876574307
llamar,2,0.0025188916876574307
analizar,2,0.0025188916876574307
capacidad,2,0.0025188916876574307
futuro,2,0.0025188916876574307
embarazo,2,0.0025188916876574307
considerar,2,0.0025188916876574307
bienestar,2,0.0025188916876574307
regular,2,0.0025188916876574307
urbano,2,0.0025188916876574307
fuerza,2,0.0025188916876574307
vida,2,0.0025188916876574307
centrar,2,0.0025188916876574307
serie,2,0.0025188916876574307
hombre,2,0.0025188916876574307
mantener,2,0.0025188916876574307
especial,2,0.0025188916876574307
unir,2,0.0025188916876574307
familiar,2,0.0025188916876574307
contradictorio,2,0.0025188916876574307
limitar,2,0.0025188916876574307
extremo,2,0.0025188916876574307
acabar,2,0.0025188916876574307
mirada,2,0.0025188916876574307
madre,2,0.0025188916876574307
similar,2,0.0025188916876574307
responsabilidad,2,0.0025188916876574307
suficientemente,2,0.0025188916876574307
pobre,2,0.0025188916876574307
fecundidad,2,0.0025188916876574307
aceptación,2,0.0025188916876574307
anticoncepción,2,0.0025188916876574307
perder,2,0.0025188916876574307
fértil,2,0.0025188916876574307
paciente,2,0.0025188916876574307
elevar,2,0.0025188916876574307
ideal,2,0.0025188916876574307
erotismo,2,0.0025188916876574307
insatisfecho,2,0.0025188916876574307
espaciar,2,0.0025188916876574307
declinar,2,0.0025188916876574307
pornografía,2,0.0025188916876574307
anorgasmia,2,0.0025188916876574307
nino,2,0.0025188916876574307
sádico,2,0.0025188916876574307
básico,1,0.0012594458438287153
trabajo,1,0.0012594458438287153
término,1,0.0012594458438287153
área,1,0.0012594458438287153
estudiar,1,0.0012594458438287153
seguir,1,0.0012594458438287153
sentar,1,0.0012594458438287153
método,1,0.0012594458438287153
