Respuesta,Frecuencia,Asociación
joven,2,0.02197802197802198
práctica,2,0.02197802197802198
cuello,2,0.02197802197802198
basar,1,0.01098901098901099
encontrar,1,0.01098901098901099
cantidad,1,0.01098901098901099
común,1,0.01098901098901099
deber,1,0.01098901098901099
existir,1,0.01098901098901099
forma,1,0.01098901098901099
riesgo,1,0.01098901098901099
sexual,1,0.01098901098901099
tender,1,0.01098901098901099
análisis,1,0.01098901098901099
momento,1,0.01098901098901099
solución,1,0.01098901098901099
fase,1,0.01098901098901099
presente,1,0.01098901098901099
llegar,1,0.01098901098901099
comprender,1,0.01098901098901099
coito,1,0.01098901098901099
identificación,1,0.01098901098901099
actividad,1,0.01098901098901099
edad,1,0.01098901098901099
medida,1,0.01098901098901099
mezclar,1,0.01098901098901099
positivo,1,0.01098901098901099
aparecer,1,0.01098901098901099
mujer,1,0.01098901098901099
aspecto,1,0.01098901098901099
judicial,1,0.01098901098901099
movimiento,1,0.01098901098901099
cambiar,1,0.01098901098901099
percibir,1,0.01098901098901099
diagnóstico,1,0.01098901098901099
resto,1,0.01098901098901099
penetración,1,0.01098901098901099
resistencia,1,0.01098901098901099
legal,1,0.01098901098901099
seguro,1,0.01098901098901099
examen,1,0.01098901098901099
sumar,1,0.01098901098901099
uterino,1,0.01098901098901099
tejido,1,0.01098901098901099
obstáculo,1,0.01098901098901099
directo,1,0.01098901098901099
alteración,1,0.01098901098901099
contacto,1,0.01098901098901099
sangre,1,0.01098901098901099
útero,1,0.01098901098901099
peneano,1,0.01098901098901099
excitación,1,0.01098901098901099
verificar,1,0.01098901098901099
observación,1,0.01098901098901099
lento,1,0.01098901098901099
rapidez,1,0.01098901098901099
abundante,1,0.01098901098901099
consistencia,1,0.01098901098901099
voluptuoso,1,0.01098901098901099
semen,1,0.01098901098901099
líquido,1,0.01098901098901099
nervioso,1,0.01098901098901099
descenso,1,0.01098901098901099
himen,1,0.01098901098901099
leve,1,0.01098901098901099
secreción,1,0.01098901098901099
traspaso,1,0.01098901098901099
preeyaculatorio,1,0.01098901098901099
3113,1,0.01098901098901099
leucorrea,1,0.01098901098901099
excitable,1,0.01098901098901099
flojo,1,0.01098901098901099
abertura,1,0.01098901098901099
cicatriz,1,0.01098901098901099
carúncula,1,0.01098901098901099
desvirgar,1,0.01098901098901099
ácido,1,0.01098901098901099
alcalino,1,0.01098901098901099
acidez,1,0.01098901098901099
flora,1,0.01098901098901099
bacteriano,1,0.01098901098901099
hemorrágico,1,0.01098901098901099
puntiforme,1,0.01098901098901099
frambuesa,1,0.01098901098901099
microscópico,1,0.01098901098901099
salino,1,0.01098901098901099
protozoario,1,0.01098901098901099
pera,1,0.01098901098901099
