Respuesta,Frecuencia,Asociación
sistema,2,0.02666666666666667
recibir,2,0.02666666666666667
mujer,2,0.02666666666666667
distribuidor,2,0.02666666666666667
mercado,2,0.02666666666666667
precio,2,0.02666666666666667
básico,1,0.013333333333333334
sexualidad,1,0.013333333333333334
méxico,1,0.013333333333333334
diccionario,1,0.013333333333333334
etcétera,1,0.013333333333333334
permitir,1,0.013333333333333334
vocabulario,1,0.013333333333333334
principalmente,1,0.013333333333333334
conjunto,1,0.013333333333333334
crear,1,0.013333333333333334
producto,1,0.013333333333333334
usuario,1,0.013333333333333334
punto,1,0.013333333333333334
utilizar,1,0.013333333333333334
número,1,0.013333333333333334
caso,1,0.013333333333333334
describir,1,0.013333333333333334
medicina,1,0.013333333333333334
pareja,1,0.013333333333333334
cosa,1,0.013333333333333334
dejar,1,0.013333333333333334
partida,1,0.013333333333333334
determinar,1,0.013333333333333334
condición,1,0.013333333333333334
do,1,0.013333333333333334
_,1,0.013333333333333334
desear,1,0.013333333333333334
método_anticonceptivo,1,0.013333333333333334
depósito,1,0.013333333333333334
agua,1,0.013333333333333334
contingente,1,0.013333333333333334
fertilizante,1,0.013333333333333334
indio,1,0.013333333333333334
esterilizar,1,0.013333333333333334
pagar,1,0.013333333333333334
100,1,0.013333333333333334
inr300,1,0.013333333333333334
equivalente,1,0.013333333333333334
12,1,0.013333333333333334
justo,1,0.013333333333333334
pequeño,1,0.013333333333333334
granjero,1,0.013333333333333334
campesino,1,0.013333333333333334
practicar,1,0.013333333333333334
planificación,1,0.013333333333333334
familiar,1,0.013333333333333334
crédito,1,0.013333333333333334
alimento,1,0.013333333333333334
producir,1,0.013333333333333334
posteriormente,1,0.013333333333333334
comprar,1,0.013333333333333334
pda,1,0.013333333333333334
relativamente,1,0.013333333333333334
favorable,1,0.013333333333333334
perecedero,1,0.013333333333333334
artesanía,1,0.013333333333333334
traer,1,0.013333333333333334
abono,1,0.013333333333333334
vender,1,0.013333333333333334
rebajar,1,0.013333333333333334
anticonceptivo,1,0.013333333333333334
modista,1,0.013333333333333334
peluquero,1,0.013333333333333334
