Respuesta,Frecuencia,Asociación
desarrollo,3,0.014150943396226415
elemento,2,0.009433962264150943
permitir,2,0.009433962264150943
propuesta,2,0.009433962264150943
importante,2,0.009433962264150943
1,2,0.009433962264150943
caso,2,0.009433962264150943
estereotipo,2,0.009433962264150943
sexo,2,0.009433962264150943
mujer,2,0.009433962264150943
varón,2,0.009433962264150943
presencia,2,0.009433962264150943
obstante,2,0.009433962264150943
normatividad,2,0.009433962264150943
selección,2,0.009433962264150943
interpretación,2,0.009433962264150943
término,1,0.0047169811320754715
proceso,1,0.0047169811320754715
seguir,1,0.0047169811320754715
base,1,0.0047169811320754715
perspectiva,1,0.0047169811320754715
encontrar,1,0.0047169811320754715
conocimiento,1,0.0047169811320754715
contar,1,0.0047169811320754715
deber,1,0.0047169811320754715
existir,1,0.0047169811320754715
información,1,0.0047169811320754715
impacto,1,0.0047169811320754715
programa,1,0.0047169811320754715
educación,1,0.0047169811320754715
educación_sexual,1,0.0047169811320754715
forma,1,0.0047169811320754715
riesgo,1,0.0047169811320754715
sexual,1,0.0047169811320754715
constituir,1,0.0047169811320754715
salud,1,0.0047169811320754715
herramienta,1,0.0047169811320754715
presentar,1,0.0047169811320754715
estudio,1,0.0047169811320754715
análisis,1,0.0047169811320754715
cualquiera,1,0.0047169811320754715
2,1,0.0047169811320754715
producto,1,0.0047169811320754715
fase,1,0.0047169811320754715
joven,1,0.0047169811320754715
libre,1,0.0047169811320754715
idea,1,0.0047169811320754715
búsqueda,1,0.0047169811320754715
3,1,0.0047169811320754715
4,1,0.0047169811320754715
derivar,1,0.0047169811320754715
hablar,1,0.0047169811320754715
exponer,1,0.0047169811320754715
tomar,1,0.0047169811320754715
cumplir,1,0.0047169811320754715
institución,1,0.0047169811320754715
expresión,1,0.0047169811320754715
razón,1,0.0047169811320754715
relación_sexual,1,0.0047169811320754715
vía,1,0.0047169811320754715
diferencia,1,0.0047169811320754715
comportamiento,1,0.0047169811320754715
habilidad,1,0.0047169811320754715
cultura,1,0.0047169811320754715
posibilidad,1,0.0047169811320754715
institucional,1,0.0047169811320754715
medida,1,0.0047169811320754715
ejemplo,1,0.0047169811320754715
apoyar,1,0.0047169811320754715
elegir,1,0.0047169811320754715
reflejar,1,0.0047169811320754715
apuntar,1,0.0047169811320754715
