Respuesta,Frecuencia,Asociación
mujer,71,0.008283747520709369
sexual,67,0.007817057519542644
sexualidad,65,0.007583712518959281
hombre,64,0.0074670400186676
relación,51,0.005950297514875744
social,48,0.0056002800140007
femenino,45,0.005250262513125656
persona,43,0.005016917512542293
1,40,0.00466690001166725
deber,36,0.004200210010500525
forma,36,0.004200210010500525
factor,36,0.004200210010500525
género,34,0.0039668650099171626
diferencia,34,0.0039668650099171626
pareja,34,0.0039668650099171626
masculino,33,0.0038501925096254812
humano,28,0.003266830008167075
caso,28,0.003266830008167075
relación_sexual,28,0.003266830008167075
edad,28,0.003266830008167075
año,27,0.003150157507875394
existir,24,0.00280014000700035
estudio,24,0.00280014000700035
oponer,24,0.00280014000700035
niño,23,0.0026834675067086687
4,23,0.0026834675067086687
5,23,0.0026834675067086687
lugar,22,0.0025667950064169874
adolescente,22,0.0025667950064169874
3,21,0.002450122506125306
cuerpo,21,0.002450122506125306
práctica,21,0.002450122506125306
tipo,20,0.002333450005833625
grupo,19,0.002216777505541944
considerar,19,0.002216777505541944
vida,19,0.002216777505541944
trabajo,18,0.0021001050052502626
2,18,0.0021001050052502626
identidad,18,0.0021001050052502626
ejemplo,18,0.0021001050052502626
utilizar,17,0.0019834325049585813
enfermedad,17,0.0019834325049585813
sociedad,17,0.0019834325049585813
identificar,17,0.0019834325049585813
cambio,17,0.0019834325049585813
proceso,16,0.0018667600046669
encontrar,16,0.0018667600046669
suponer,16,0.0018667600046669
biológico,16,0.0018667600046669
sentir,16,0.0018667600046669
padre,16,0.0018667600046669
deseo,16,0.0018667600046669
promedio,16,0.0018667600046669
x,16,0.0018667600046669
problema,15,0.0017500875043752187
relacionar,15,0.0017500875043752187
joven,15,0.0017500875043752187
individuo,15,0.0017500875043752187
físico,15,0.0017500875043752187
embrión,15,0.0017500875043752187
pornografía,15,0.0017500875043752187
basar,14,0.0016334150040835376
acercar,14,0.0016334150040835376
implicar,14,0.0016334150040835376
conducta,14,0.0016334150040835376
parecer,14,0.0016334150040835376
seguro,14,0.0016334150040835376
transexuales,14,0.0016334150040835376
selección,14,0.0016334150040835376
población,13,0.0015167425037918563
general,13,0.0015167425037918563
importante,13,0.0015167425037918563
hablar,13,0.0015167425037918563
incluir,13,0.0015167425037918563
determinar,13,0.0015167425037918563
imagen,13,0.0015167425037918563
participante,13,0.0015167425037918563
disfrutar,13,0.0015167425037918563
identidad_de_género,13,0.0015167425037918563
cliente,13,0.0015167425037918563
méxico,12,0.001400070003500175
tema,12,0.001400070003500175
permitir,12,0.001400070003500175
información,12,0.001400070003500175
universidad,12,0.001400070003500175
nivel,12,0.001400070003500175
razón,12,0.001400070003500175
orgasmo,12,0.001400070003500175
característica,12,0.001400070003500175
referir,12,0.001400070003500175
_,12,0.001400070003500175
valor,12,0.001400070003500175
explícito,12,0.001400070003500175
tratar,11,0.0012833975032084937
salud,11,0.0012833975032084937
público,11,0.0012833975032084937
definir,11,0.0012833975032084937
resultar,11,0.0012833975032084937
obtener,11,0.0012833975032084937
evitar,11,0.0012833975032084937
cultura,11,0.0012833975032084937
do,11,0.0012833975032084937
hijo,11,0.0012833975032084937
varón,11,0.0012833975032084937
personal,11,0.0012833975032084937
observar,11,0.0012833975032084937
trabajador_sexual,11,0.0012833975032084937
sexo_oral,11,0.0012833975032084937
vaginal,11,0.0012833975032084937
análisis,10,0.0011667250029168126
mostrar,10,0.0011667250029168126
visión,10,0.0011667250029168126
expresión,10,0.0011667250029168126
masturbación,10,0.0011667250029168126
placer,10,0.0011667250029168126
posibilidad,10,0.0011667250029168126
pertenecer,10,0.0011667250029168126
experiencia,10,0.0011667250029168126
médico,10,0.0011667250029168126
heterosexual,10,0.0011667250029168126
amor,10,0.0011667250029168126
condón,10,0.0011667250029168126
expresar,10,0.0011667250029168126
trastorno,10,0.0011667250029168126
conjunto,9,0.0010500525026251313
educación,9,0.0010500525026251313
presentar,9,0.0010500525026251313
idea,9,0.0010500525026251313
significativo,9,0.0010500525026251313
situación,9,0.0010500525026251313
vivir,9,0.0010500525026251313
menor,9,0.0010500525026251313
penetración,9,0.0010500525026251313
aspecto,9,0.0010500525026251313
historia,9,0.0010500525026251313
causa,9,0.0010500525026251313
erotismo,9,0.0010500525026251313
7,9,0.0010500525026251313
presencia,9,0.0010500525026251313
genital,9,0.0010500525026251313
seguir,8,0.00093338000233345
diverso,8,0.00093338000233345
cultural,8,0.00093338000233345
conocimiento,8,0.00093338000233345
país,8,0.00093338000233345
momento,8,0.00093338000233345
querer,8,0.00093338000233345
orientación_sexual,8,0.00093338000233345
desarrollar,8,0.00093338000233345
transmisión,8,0.00093338000233345
familia,8,0.00093338000233345
tiempo,8,0.00093338000233345
emplear,8,0.00093338000233345
sistema,8,0.00093338000233345
resultado,8,0.00093338000233345
convertir,8,0.00093338000233345
15,8,0.00093338000233345
entender,8,0.00093338000233345
socialmente,8,0.00093338000233345
económico,8,0.00093338000233345
derecho,8,0.00093338000233345
protección,8,0.00093338000233345
diferenciar,8,0.00093338000233345
beneficio,8,0.00093338000233345
matrimonio,8,0.00093338000233345
vestir,8,0.00093338000233345
rechazo,8,0.00093338000233345
0,8,0.00093338000233345
genético,8,0.00093338000233345
permisividad,8,0.00093338000233345
espermatofagia,8,0.00093338000233345
hereditario,8,0.00093338000233345
etcétera,7,0.0008167075020417688
palabra,7,0.0008167075020417688
2004,7,0.0008167075020417688
cualquiera,7,0.0008167075020417688
objetivo,7,0.0008167075020417688
abrir,7,0.0008167075020417688
papel,7,0.0008167075020417688
técnica,7,0.0008167075020417688
separar,7,0.0008167075020417688
construir,7,0.0008167075020417688
