Respuesta,Frecuencia,Asociación
mujer,168,0.010013112409107164
sexualidad,133,0.007927047323876505
transmisión,132,0.007867445464298486
pareja,127,0.007569436166408392
estudio,102,0.006079389676957921
hombre,99,0.005900584098223864
relación,94,0.0056025748003337705
práctica,91,0.0054237692215997136
enfermedad,85,0.0050661580641316005
factor,84,0.005006556204553582
deber,75,0.004470139468351413
1,69,0.0041125283108833
conducta,68,0.004052926451305281
sexo,67,0.003993324591727262
rol,65,0.003874120872571224
persona,65,0.003874120872571224
social,63,0.0037549171534151863
femenino,61,0.003635713434259149
adolescente,58,0.0034569078555250926
joven,57,0.0033973059959470737
violencia,56,0.003337704136369055
considerar,54,0.003218500417213017
salud,53,0.0031588985576349983
edad,53,0.0031588985576349983
trabajo,52,0.0030992966980569795
experiencia,52,0.0030992966980569795
encontrar,51,0.0030396948384789606
excitación,49,0.002920491119322923
existir,48,0.002860889259744904
relación_sexual,48,0.002860889259744904
2,48,0.002860889259744904
año,47,0.0028012874001668853
forma,46,0.0027416855405888664
físico,45,0.0026820836810108476
prevención,44,0.0026224818214328287
embarazo,44,0.0026224818214328287
vida,42,0.002503278102276791
general,41,0.002443676242698772
humano,40,0.0023840743831207534
permisividad,40,0.0023840743831207534
género,39,0.0023244725235427345
masculino,38,0.0022648706639647157
riesgo,36,0.002145666944808678
3,36,0.002145666944808678
deseo,35,0.002086065085230659
tipo,35,0.002086065085230659
cuerpo,35,0.002086065085230659
placer,33,0.0019668613660746214
investigación,33,0.0019668613660746214
grupo,33,0.0019668613660746214
caso,32,0.0019072595064966026
diverso,31,0.0018476576469185838
información,31,0.0018476576469185838
presentar,31,0.0018476576469185838
erótico,31,0.0018476576469185838
interés,31,0.0018476576469185838
cultura,30,0.0017880557873405651
problema,29,0.0017284539277625463
individuo,29,0.0017284539277625463
satisfacción,29,0.0017284539277625463
objeto,28,0.0016688520681845274
cambio,28,0.0016688520681845274
mostrar,28,0.0016688520681845274
varón,28,0.0016688520681845274
personal,28,0.0016688520681845274
conocimiento,27,0.0016092502086065086
necesidad,27,0.0016092502086065086
desarrollo,27,0.0016092502086065086
4,27,0.0016092502086065086
infección,27,0.0016092502086065086
derecho,27,0.0016092502086065086
diferencia,27,0.0016092502086065086
orgasmo,27,0.0016092502086065086
trabajador_sexual,27,0.0016092502086065086
méxico,26,0.0015496483490284897
análisis,26,0.0015496483490284897
actitud,26,0.0015496483490284897
sociedad,26,0.0015496483490284897
tratar,25,0.001490046489450471
respuesta,25,0.001490046489450471
resultado,25,0.001490046489450471
impulso,25,0.001490046489450471
nivel,25,0.001490046489450471
contexto,25,0.001490046489450471
cultural,24,0.001430444629872452
relacionar,24,0.001430444629872452
do,24,0.001430444629872452
tiempo,24,0.001430444629872452
niño,24,0.001430444629872452
abuso,23,0.0013708427702944332
niñez,23,0.0013708427702944332
incluir,23,0.0013708427702944332
norma,23,0.0013708427702944332
violación,23,0.0013708427702944332
trastorno,23,0.0013708427702944332
parecer,23,0.0013708427702944332
ciudad,23,0.0013708427702944332
tema,22,0.0013112409107164144
menor,22,0.0013112409107164144
aspecto,22,0.0013112409107164144
ejemplo,22,0.0013112409107164144
obtener,22,0.0013112409107164144
indicar,22,0.0013112409107164144
reproductivo,22,0.0013112409107164144
significativo,22,0.0013112409107164144
frecuencia,22,0.0013112409107164144
reproducción,22,0.0013112409107164144
importante,22,0.0013112409107164144
población,21,0.0012516390511383955
suponer,21,0.0012516390511383955
control,21,0.0012516390511383955
lugar,21,0.0012516390511383955
actividad_sexual,21,0.0012516390511383955
condón,21,0.0012516390511383955
objetivo,21,0.0012516390511383955
identidad,20,0.0011920371915603767
llegar,20,0.0011920371915603767
dato,20,0.0011920371915603767
vivir,20,0.0011920371915603767
constituir,20,0.0011920371915603767
fantasía,20,0.0011920371915603767
normal,20,0.0011920371915603767
médico,20,0.0011920371915603767
consecuencia,20,0.0011920371915603767
hablar,20,0.0011920371915603767
adulto,20,0.0011920371915603767
variable,20,0.0011920371915603767
educación,19,0.0011324353319823578
educación_sexual,19,0.0011324353319823578
sujeto,19,0.0011324353319823578
comportamiento,19,0.0011324353319823578
presente,19,0.0011324353319823578
punto,19,0.0011324353319823578
número,19,0.0011324353319823578
asociar,19,0.0011324353319823578
valor,19,0.0011324353319823578
tratamiento,19,0.0011324353319823578
desear,19,0.0011324353319823578
cuyo,19,0.0011324353319823578
proceso,18,0.001072833472404339
específico,18,0.001072833472404339
permitir,18,0.001072833472404339
necesario,18,0.001072833472404339
aumento,18,0.001072833472404339
adolescencia,18,0.001072833472404339
aceptar,18,0.001072833472404339
familiar,18,0.001072833472404339
efecto,18,0.001072833472404339
vida_sexual,18,0.001072833472404339
presencia,18,0.001072833472404339
promedio,18,0.001072833472404339
psicológico,17,0.0010132316128263201
definir,17,0.0010132316128263201
construir,17,0.0010132316128263201
determinar,17,0.0010132316128263201
historia,17,0.0010132316128263201
vih,17,0.0010132316128263201
referir,17,0.0010132316128263201
grado,17,0.0010132316128263201
posibilidad,17,0.0010132316128263201
múltiple,17,0.0010132316128263201
manifestación,17,0.0010132316128263201
analizar,17,0.0010132316128263201
señalar,17,0.0010132316128263201
cuestionario,17,0.0010132316128263201
público,17,0.0010132316128263201
pornografía,17,0.0010132316128263201
servicio,17,0.0010132316128263201
programa,16,0.0009536297532483013
instinto,16,0.0009536297532483013
existencia,16,0.0009536297532483013
condición,16,0.0009536297532483013
frecuente,16,0.0009536297532483013
cualquiera,16,0.0009536297532483013
falta,16,0.0009536297532483013
5,16,0.0009536297532483013
0,16,0.0009536297532483013
víctima,16,0.0009536297532483013
órgano,16,0.0009536297532483013
cliente,16,0.0009536297532483013
término,15,0.0008940278936702826
explicar,15,0.0008940278936702826
freud,15,0.0008940278936702826
idea,15,0.0008940278936702826
matrimonio,15,0.0008940278936702826
método_anticonceptivo,15,0.0008940278936702826
integrar,15,0.0008940278936702826
sida,15,0.0008940278936702826
ocurrir,15,0.0008940278936702826
característica,15,0.0008940278936702826
mental,15,0.0008940278936702826
participante,15,0.0008940278936702826
pornográfico,15,0.0008940278936702826
rechazo,15,0.0008940278936702826
cualitativo,15,0.0008940278936702826
seguir,14,0.0008344260340922637
acercar,14,0.0008344260340922637
contar,14,0.0008344260340922637
concepto,14,0.0008344260340922637
teoría,14,0.0008344260340922637
entender,14,0.0008344260340922637
sistema,14,0.0008344260340922637
instrumento,14,0.0008344260340922637
contagio,14,0.0008344260340922637
vihsida,14,0.0008344260340922637
asimismo,14,0.0008344260340922637
moral,14,0.0008344260340922637
homosexual,14,0.0008344260340922637
genital,14,0.0008344260340922637
experimentar,14,0.0008344260340922637
expresar,14,0.0008344260340922637
corporal,14,0.0008344260340922637
mencionar,14,0.0008344260340922637
significado,14,0.0008344260340922637
mayoría,13,0.0007748241745142449
propuesta,13,0.0007748241745142449
mexicano,13,0.0007748241745142449
vía,13,0.0007748241745142449
encuesta,13,0.0007748241745142449
afectivo,13,0.0007748241745142449
infancia,13,0.0007748241745142449
distinto,13,0.0007748241745142449
realidad,13,0.0007748241745142449
actualidad,13,0.0007748241745142449
papel,13,0.0007748241745142449
atención,13,0.0007748241745142449
profesional,13,0.0007748241745142449
amor,13,0.0007748241745142449
observar,13,0.0007748241745142449
situación,13,0.0007748241745142449
alto,13,0.0007748241745142449
ligar,13,0.0007748241745142449
provocar,13,0.0007748241745142449
parafilia,13,0.0007748241745142449
medida,13,0.0007748241745142449
reportar,13,0.0007748241745142449
asociación,13,0.0007748241745142449
establecer,13,0.0007748241745142449
compañero,13,0.0007748241745142449
diagnóstico,13,0.0007748241745142449
estudiar,12,0.000715222314936226
común,12,0.000715222314936226
expresión,12,0.000715222314936226
diversidad,12,0.000715222314936226
función,12,0.000715222314936226
familia,12,0.000715222314936226
momento,12,0.000715222314936226
modelo,12,0.000715222314936226
sufrir,12,0.000715222314936226
oponer,12,0.000715222314936226
capacidad,12,0.000715222314936226
penetración,12,0.000715222314936226
tomar,12,0.000715222314936226
6,12,0.000715222314936226
producir,12,0.000715222314936226
comportamiento_sexual,12,0.000715222314936226
protección,12,0.000715222314936226
p,12,0.000715222314936226
10,12,0.000715222314936226
contacto,12,0.000715222314936226
antecedente,12,0.000715222314936226
