Respuesta,Frecuencia,Asociación
sexual,133,0.009319599187162778
mujer,125,0.00875902179244622
estudio,113,0.007918155700371382
1,96,0.006726928736598697
femenino,96,0.006726928736598697
social,92,0.006446640039240417
hombre,76,0.005325485249807301
forma,72,0.005045196552449022
información,72,0.005045196552449022
deber,69,0.004834980029430313
sexo,65,0.004554691332072034
educación,64,0.004484619157732465
cuerpo,63,0.004414546983392895
relacionar,62,0.004344474809053325
relación,60,0.004204330460374185
considerar,58,0.004064186111695046
actitud,58,0.004064186111695046
humano,57,0.003994113937355476
sociedad,51,0.0035736808913180576
factor,50,0.003503608716978488
tema,48,0.0033634643682993485
género,47,0.0032933921939597784
cultura,47,0.0032933921939597784
vida,47,0.0032933921939597784
práctica,46,0.0032233200196202087
joven,43,0.0030131034966014996
masculino,43,0.0030131034966014996
2,42,0.00294303132226193
ejercicio,41,0.00287295914792236
salud,41,0.00287295914792236
cultural,41,0.00287295914792236
desarrollo,39,0.0027328147992432207
derecho,38,0.0026627426249036506
significado,38,0.0026627426249036506
diverso,37,0.002592670450564081
investigación,37,0.002592670450564081
aspecto,37,0.002592670450564081
general,36,0.002522598276224511
adolescente,36,0.002522598276224511
persona,36,0.002522598276224511
reproducción,36,0.002522598276224511
educación_sexual,35,0.0024525261018849415
hablar,35,0.0024525261018849415
perspectiva,34,0.0023824539275453718
existir,34,0.0023824539275453718
control,34,0.0023824539275453718
concepción,33,0.002312381753205802
individuo,33,0.002312381753205802
conocimiento,32,0.0022423095788662323
proceso,32,0.0022423095788662323
3,32,0.0022423095788662323
conducta,32,0.0022423095788662323
dimensión,32,0.0022423095788662323
abordar,31,0.0021722374045266626
vivir,31,0.0021722374045266626
grupo,31,0.0021722374045266626
construcción,30,0.0021021652301870925
visión,30,0.0021021652301870925
determinar,29,0.002032093055847523
etapa,28,0.001962020881507953
permitir,28,0.001962020881507953
deseo,28,0.001962020881507953
pareja,27,0.0018919487071683834
concepto,26,0.0018218765328288137
familiar,26,0.0018218765328288137
básico,25,0.001751804358489244
término,25,0.001751804358489244
méxico,25,0.001751804358489244
encontrar,25,0.001751804358489244
placer,25,0.001751804358489244
reproductivo,25,0.001751804358489244
valor,25,0.001751804358489244
identidad,24,0.0016817321841496743
varón,24,0.0016817321841496743
personalidad,24,0.0016817321841496743
trabajo,23,0.0016116600098101043
necesidad,23,0.0016116600098101043
tratar,23,0.0016116600098101043
construir,23,0.0016116600098101043
entender,23,0.0016116600098101043
idea,23,0.0016116600098101043
comportamiento,23,0.0016116600098101043
presentar,22,0.0015415878354705346
edad,22,0.0015415878354705346
importante,22,0.0015415878354705346
torno,22,0.0015415878354705346
modelo,22,0.0015415878354705346
experiencia,22,0.0015415878354705346
hijo,22,0.0015415878354705346
expresión,22,0.0015415878354705346
natural,22,0.0015415878354705346
presente,21,0.001471515661130965
contexto,21,0.001471515661130965
relación_sexual,21,0.001471515661130965
reconocer,21,0.001471515661130965
educativo,21,0.001471515661130965
creencia,21,0.001471515661130965
erótico,21,0.001471515661130965
formación,21,0.001471515661130965
