Respuesta,Frecuencia,Asociación
sexualidad,51,0.010823429541595925
mujer,48,0.010186757215619695
social,45,0.009550084889643463
hombre,32,0.006791171477079796
sexual,26,0.0055178268251273345
persona,26,0.0055178268251273345
forma,23,0.004881154499151104
relación,22,0.00466893039049236
deber,21,0.004456706281833617
humano,19,0.004032258064516129
derecho,19,0.004032258064516129
género,18,0.0038200339558573855
grupo,17,0.0036078098471986416
norma,17,0.0036078098471986416
sexo,17,0.0036078098471986416
cultura,16,0.003395585738539898
proceso,14,0.0029711375212224107
cultural,14,0.0029711375212224107
distinto,14,0.0029711375212224107
acción,13,0.0027589134125636672
momento,13,0.0027589134125636672
comportamiento,13,0.0027589134125636672
vida,13,0.0027589134125636672
mexicano,12,0.0025466893039049238
cuerpo,12,0.0025466893039049238
tiempo,12,0.0025466893039049238
existir,11,0.00233446519524618
nivel,11,0.00233446519524618
familia,11,0.00233446519524618
valor,11,0.00233446519524618
político,11,0.00233446519524618
occidental,10,0.0021222410865874364
reproducción,10,0.0021222410865874364
trabajo,9,0.0019100169779286927
organización,9,0.0019100169779286927
investigación,9,0.0019100169779286927
construir,9,0.0019100169779286927
caso,9,0.0019100169779286927
actividad,9,0.0019100169779286927
conducta,9,0.0019100169779286927
ley,9,0.0019100169779286927
considerar,9,0.0019100169779286927
práctica,9,0.0019100169779286927
tratar,8,0.001697792869269949
encontrar,8,0.001697792869269949
permitir,8,0.001697792869269949
necesidad,8,0.001697792869269949
estudio,8,0.001697792869269949
público,8,0.001697792869269949
femenino,8,0.001697792869269949
diferencia,8,0.001697792869269949
pareja,8,0.001697792869269949
importancia,8,0.001697792869269949
hijo,8,0.001697792869269949
plantear,8,0.001697792869269949
cambio,8,0.001697792869269949
tradicional,8,0.001697792869269949
expresar,8,0.001697792869269949
diverso,7,0.0014855687606112054
suponer,7,0.0014855687606112054
cualquiera,7,0.0014855687606112054
importante,7,0.0014855687606112054
punto,7,0.0014855687606112054
pasar,7,0.0014855687606112054
rol,7,0.0014855687606112054
individuo,7,0.0014855687606112054
reconocer,7,0.0014855687606112054
deseo,7,0.0014855687606112054
actitud,7,0.0014855687606112054
aspecto,7,0.0014855687606112054
experiencia,7,0.0014855687606112054
familiar,7,0.0014855687606112054
espacio,7,0.0014855687606112054
contemporáneo,7,0.0014855687606112054
indígena,7,0.0014855687606112054
ocupar,7,0.0014855687606112054
sector,7,0.0014855687606112054
ejercer,7,0.0014855687606112054
imponer,7,0.0014855687606112054
igualdad,7,0.0014855687606112054
limitar,7,0.0014855687606112054
problema,6,0.0012733446519524619
constituir,6,0.0012733446519524619
salud,6,0.0012733446519524619
lugar,6,0.0012733446519524619
contexto,6,0.0012733446519524619
adulto,6,0.0012733446519524619
papel,6,0.0012733446519524619
1,6,0.0012733446519524619
institución,6,0.0012733446519524619
expresión,6,0.0012733446519524619
asunto,6,0.0012733446519524619
incluir,6,0.0012733446519524619
único,6,0.0012733446519524619
cosa,6,0.0012733446519524619
procreación,6,0.0012733446519524619
discriminación,6,0.0012733446519524619
mercado,6,0.0012733446519524619
oportunidad,6,0.0012733446519524619
analizar,6,0.0012733446519524619
responsabilidad,6,0.0012733446519524619
práctico,6,0.0012733446519524619
menor,6,0.0012733446519524619
condición,6,0.0012733446519524619
promover,6,0.0012733446519524619
concepción,6,0.0012733446519524619
antropología,6,0.0012733446519524619
ejercicio,5,0.0010611205432937182
propuesta,5,0.0010611205432937182
conjunto,5,0.0010611205432937182
educación,5,0.0010611205432937182
educación_sexual,5,0.0010611205432937182
crear,5,0.0010611205432937182
amplio,5,0.0010611205432937182
definir,5,0.0010611205432937182
tipo,5,0.0010611205432937182
niño,5,0.0010611205432937182
joven,5,0.0010611205432937182
hablar,5,0.0010611205432937182
decidir,5,0.0010611205432937182
representar,5,0.0010611205432937182
control,5,0.0010611205432937182
razón,5,0.0010611205432937182
sujeto,5,0.0010611205432937182
masculino,5,0.0010611205432937182
función,5,0.0010611205432937182
determinar,5,0.0010611205432937182
reproductivo,5,0.0010611205432937182
entender,5,0.0010611205432937182
do,5,0.0010611205432937182
sentir,5,0.0010611205432937182
generar,5,0.0010611205432937182
aceptar,5,0.0010611205432937182
crecimiento,5,0.0010611205432937182
transformación,5,0.0010611205432937182
aborto,5,0.0010611205432937182
personal,5,0.0010611205432937182
nacimiento,5,0.0010611205432937182
política,5,0.0010611205432937182
ciudadano,5,0.0010611205432937182
homosexual,5,0.0010611205432937182
vivir,5,0.0010611205432937182
