Respuesta,Frecuencia,Asociación
tardío,20,0.023391812865497075
congénito,16,0.01871345029239766
deber,12,0.014035087719298246
latente,12,0.014035087719298246
precoz,12,0.014035087719298246
infección,10,0.011695906432748537
penicilina,9,0.010526315789473684
primario,8,0.00935672514619883
especificar,8,0.00935672514619883
sintomático,8,0.00935672514619883
especificación,8,0.00935672514619883
neurosífilis,8,0.00935672514619883
niño,7,0.008187134502923977
secundario,7,0.008187134502923977
genital,7,0.008187134502923977
lesión,7,0.008187134502923977
enfermedad,6,0.007017543859649123
clínico,6,0.007017543859649123
paciente,6,0.007017543859649123
caso,5,0.005847953216374269
prueba,5,0.005847953216374269
mujer,5,0.005847953216374269
dosis,5,0.005847953216374269
líquido,5,0.005847953216374269
uretritis,5,0.005847953216374269
vdrl,5,0.005847953216374269
sitio,4,0.004678362573099415
diagnóstico,4,0.004678362573099415
millón,4,0.004678362573099415
antecedente,4,0.004678362573099415
24,4,0.004678362573099415
manifestación,4,0.004678362573099415
membrana,4,0.004678362573099415
mucosa,4,0.004678362573099415
im,4,0.004678362573099415
gonocócico,4,0.004678362573099415
serológico,4,0.004678362573099415
etapa,3,0.0035087719298245615
tipo,3,0.0035087719298245615
posterior,3,0.0035087719298245615
oral,3,0.0035087719298245615
anal,3,0.0035087719298245615
identificar,3,0.0035087719298245615
embarazo,3,0.0035087719298245615
práctica,3,0.0035087719298245615
considerar,3,0.0035087719298245615
nacer,3,0.0035087719298245615
presencia,3,0.0035087719298245615
t,3,0.0035087719298245615
madre,3,0.0035087719298245615
mes,3,0.0035087719298245615
parto,3,0.0035087719298245615
piel,3,0.0035087719298245615
cardiovascular,3,0.0035087719298245615
asintomático,3,0.0035087719298245615
virus,3,0.0035087719298245615
72,3,0.0035087719298245615
g,3,0.0035087719298245615
ui,3,0.0035087719298245615
n341,3,0.0035087719298245615
a50,3,0.0035087719298245615
sifilítico,3,0.0035087719298245615
a507,3,0.0035087719298245615
a509,3,0.0035087719298245615
a51,3,0.0035087719298245615
a510,3,0.0035087719298245615
a511,3,0.0035087719298245615
a513,3,0.0035087719298245615
a514,3,0.0035087719298245615
a515,3,0.0035087719298245615
a519,3,0.0035087719298245615
a527,3,0.0035087719298245615
a528,3,0.0035087719298245615
a529,3,0.0035087719298245615
a53,3,0.0035087719298245615
úlcera,3,0.0035087719298245615
benzatínica,3,0.0035087719298245615
cefalorraquídeo,3,0.0035087719298245615
base,2,0.0023391812865497076
tratar,2,0.0023391812865497076
forma,2,0.0023391812865497076
presentar,2,0.0023391812865497076
año,2,0.0023391812865497076
esquema,2,0.0023391812865497076
producto,2,0.0023391812865497076
establecer,2,0.0023391812865497076
dividir,2,0.0023391812865497076
transmisión,2,0.0023391812865497076
actividad,2,0.0023391812865497076
reconocer,2,0.0023391812865497076
campo,2,0.0023391812865497076
ejemplo,2,0.0023391812865497076
manejo,2,0.0023391812865497076
único,2,0.0023391812865497076
recién,2,0.0023391812865497076
latencia,2,0.0023391812865497076
juvenil,2,0.0023391812865497076
prolongar,2,0.0023391812865497076
afirmar,2,0.0023391812865497076
vih,2,0.0023391812865497076
reacción,2,0.0023391812865497076
semana,2,0.0023391812865497076
materno,2,0.0023391812865497076
tratamiento,2,0.0023391812865497076
administrar,2,0.0023391812865497076
duración,2,0.0023391812865497076
trastorno,2,0.0023391812865497076
causar,2,0.0023391812865497076
promedio,2,0.0023391812865497076
signo,2,0.0023391812865497076
clínicamente,2,0.0023391812865497076
vigilar,2,0.0023391812865497076
periodo,2,0.0023391812865497076
desaparecer,2,0.0023391812865497076
seguimiento,2,0.0023391812865497076
regional,2,0.0023391812865497076
inmunodeficiencia,2,0.0023391812865497076
biopsia,2,0.0023391812865497076
cervicitis,2,0.0023391812865497076
pallidum,2,0.0023391812865497076
b20b24,2,0.0023391812865497076
a500,2,0.0023391812865497076
a501,2,0.0023391812865497076
a503,2,0.0023391812865497076
oculopatía,2,0.0023391812865497076
a505,2,0.0023391812865497076
a506,2,0.0023391812865497076
a512,2,0.0023391812865497076
a52,2,0.0023391812865497076
a523,2,0.0023391812865497076
a530,2,0.0023391812865497076
a54,2,0.0023391812865497076
545,2,0.0023391812865497076
5451,2,0.0023391812865497076
chancro,2,0.0023391812865497076
inoculación,2,0.0023391812865497076
goma,2,0.0023391812865497076
5452,2,0.0023391812865497076
microscopio,2,0.0023391812865497076
5453,2,0.0023391812865497076
alergia,2,0.0023391812865497076
cristalino,2,0.0023391812865497076
chancroide,2,0.0023391812865497076
obstetra,2,0.0023391812865497076
gomoso,2,0.0023391812865497076
pallidum518,2,0.0023391812865497076
tratable,2,0.0023391812865497076
explicar,1,0.0011695906432748538
específico,1,0.0011695906432748538
humano,1,0.0011695906432748538
encontrar,1,0.0011695906432748538
cantidad,1,0.0011695906432748538
contar,1,0.0011695906432748538
población,1,0.0011695906432748538
necesario,1,0.0011695906432748538
información,1,0.0011695906432748538
especializar,1,0.0011695906432748538
informar,1,0.0011695906432748538
riesgo,1,0.0011695906432748538
sexual,1,0.0011695906432748538
relacionar,1,0.0011695906432748538
grupo,1,0.0011695906432748538
consejo,1,0.0011695906432748538
modelo,1,0.0011695906432748538
estudio,1,0.0011695906432748538
aplicación,1,0.0011695906432748538
cualquiera,1,0.0011695906432748538
momento,1,0.0011695906432748538
fase,1,0.0011695906432748538
depender,1,0.0011695906432748538
servir,1,0.0011695906432748538
definir,1,0.0011695906432748538
resultar,1,0.0011695906432748538
contener,1,0.0011695906432748538
b,1,0.0011695906432748538
joven,1,0.0011695906432748538
adulto,1,0.0011695906432748538
descartar,1,0.0011695906432748538
llegar,1,0.0011695906432748538
cubrir,1,0.0011695906432748538
3,1,0.0011695906432748538
indicar,1,0.0011695906432748538
evaluar,1,0.0011695906432748538
utilizar,1,0.0011695906432748538
exponer,1,0.0011695906432748538
complicar,1,0.0011695906432748538
propósito,1,0.0011695906432748538
región,1,0.0011695906432748538
evitar,1,0.0011695906432748538
control,1,0.0011695906432748538
respuesta,1,0.0011695906432748538
incluir,1,0.0011695906432748538
actividad_sexual,1,0.0011695906432748538
masculino,1,0.0011695906432748538
identificación,1,0.0011695906432748538
vía,1,0.0011695906432748538
pareja,1,0.0011695906432748538
alto,1,0.0011695906432748538
servicio,1,0.0011695906432748538
altamente,1,0.0011695906432748538
persona,1,0.0011695906432748538
plano,1,0.0011695906432748538
ofrecer,1,0.0011695906432748538
prácticamente,1,0.0011695906432748538
frecuente,1,0.0011695906432748538
llamar,1,0.0011695906432748538
elección,1,0.0011695906432748538
do,1,0.0011695906432748538
sistema,1,0.0011695906432748538
éxito,1,0.0011695906432748538
aumentar,1,0.0011695906432748538
recibir,1,0.0011695906432748538
curso,1,0.0011695906432748538
asociar,1,0.0011695906432748538
llamativo,1,0.0011695906432748538
plantear,1,0.0011695906432748538
iniciar,1,0.0011695906432748538
15,1,0.0011695906432748538
10,1,0.0011695906432748538
físico,1,0.0011695906432748538
clínica,1,0.0011695906432748538
muestra,1,0.0011695906432748538
23,1,0.0011695906432748538
positivo,1,0.0011695906432748538
médico,1,0.0011695906432748538
vida,1,0.0011695906432748538
demostrar,1,0.0011695906432748538
manifestar,1,0.0011695906432748538
homosexual,1,0.0011695906432748538
hábito,1,0.0011695906432748538
agente,1,0.0011695906432748538
observar,1,0.0011695906432748538
mitad,1,0.0011695906432748538
sida,1,0.0011695906432748538
hijo,1,0.0011695906432748538
hombre,1,0.0011695906432748538
discriminar,1,0.0011695906432748538
órgano,1,0.0011695906432748538
inferior,1,0.0011695906432748538
duro,1,0.0011695906432748538
sexualmente,1,0.0011695906432748538
cambiar,1,0.0011695906432748538
negativo,1,0.0011695906432748538
6,1,0.0011695906432748538
participante,1,0.0011695906432748538
compromiso,1,0.0011695906432748538
atención,1,0.0011695906432748538
profesional,1,0.0011695906432748538
acudir,1,0.0011695906432748538
formación,1,0.0011695906432748538
señalar,1,0.0011695906432748538
adquirir,1,0.0011695906432748538
evidencia,1,0.0011695906432748538
embarazar,1,0.0011695906432748538
puesto,1,0.0011695906432748538
obstante,1,0.0011695906432748538
cuantitativo,1,0.0011695906432748538
caracterizar,1,0.0011695906432748538
falta,1,0.0011695906432748538
prenatal,1,0.0011695906432748538
doloroso,1,0.0011695906432748538
panorama,1,0.0011695906432748538
97,1,0.0011695906432748538
reciente,1,0.0011695906432748538
consentimiento,1,0.0011695906432748538
especialmente,1,0.0011695906432748538
demanda,1,0.0011695906432748538
provocar,1,0.0011695906432748538
examen,1,0.0011695906432748538
laboratorio,1,0.0011695906432748538
ejercer,1,0.0011695906432748538
previo,1,0.0011695906432748538
detección,1,0.0011695906432748538
placenta,1,0.0011695906432748538
tejido,1,0.0011695906432748538
someter,1,0.0011695906432748538
fármaco,1,0.0011695906432748538
organismo,1,0.0011695906432748538
directo,1,0.0011695906432748538
planta,1,0.0011695906432748538
independiente,1,0.0011695906432748538
confirmar,1,0.0011695906432748538
efectuar,1,0.0011695906432748538
experimental,1,0.0011695906432748538
cáncer,1,0.0011695906432748538
ausencia,1,0.0011695906432748538
contacto,1,0.0011695906432748538
tm_d90,1,0.0011695906432748538
complicación,1,0.0011695906432748538
25,1,0.0011695906432748538
síntoma,1,0.0011695906432748538
intramuscular,1,0.0011695906432748538
hallazgo,1,0.0011695906432748538
83,1,0.0011695906432748538
infrecuente,1,0.0011695906432748538
frecuencia,1,0.0011695906432748538
perinatal,1,0.0011695906432748538
elevar,1,0.0011695906432748538
exploración,1,0.0011695906432748538
emergencia,1,0.0011695906432748538
intervalo,1,0.0011695906432748538
0,1,0.0011695906432748538
vo,1,0.0011695906432748538
trimestre,1,0.0011695906432748538
infectar,1,0.0011695906432748538
inmunidad,1,0.0011695906432748538
igualmente,1,0.0011695906432748538
unidad,1,0.0011695906432748538
reactivo,1,0.0011695906432748538
sobresalir,1,0.0011695906432748538
obviamente,1,0.0011695906432748538
escrito,1,0.0011695906432748538
semejante,1,0.0011695906432748538
promiscuo,1,0.0011695906432748538
aparente,1,0.0011695906432748538
fracaso,1,0.0011695906432748538
identidad_de_género,1,0.0011695906432748538
sistémico,1,0.0011695906432748538
tradicionalmente,1,0.0011695906432748538
cura,1,0.0011695906432748538
oscuro,1,0.0011695906432748538
borde,1,0.0011695906432748538
preventivo,1,0.0011695906432748538
crónico,1,0.0011695906432748538
visualizar,1,0.0011695906432748538
551,1,0.0011695906432748538
diferencial,1,0.0011695906432748538
circunscribir,1,0.0011695906432748538
gravedad,1,0.0011695906432748538
florido,1,0.0011695906432748538
obscuro,1,0.0011695906432748538
propagar,1,0.0011695906432748538
padecimiento,1,0.0011695906432748538
cervical,1,0.0011695906432748538
papiloma,1,0.0011695906432748538
kilo,1,0.0011695906432748538
neurológico,1,0.0011695906432748538
55,1,0.0011695906432748538
genitourinario,1,0.0011695906432748538
afección,1,0.0011695906432748538
cardiaco,1,0.0011695906432748538
parcialmente,1,0.0011695906432748538
evadir,1,0.0011695906432748538
etiología,1,0.0011695906432748538
in,1,0.0011695906432748538
tracto,1,0.0011695906432748538
localizar,1,0.0011695906432748538
neonatal,1,0.0011695906432748538
inmune,1,0.0011695906432748538
mixto,1,0.0011695906432748538
sospechoso,1,0.0011695906432748538
secreción,1,0.0011695906432748538
ftaabs,1,0.0011695906432748538
treponema,1,0.0011695906432748538
inmunofluorescencia,1,0.0011695906432748538
linfogranuloma_venéreo,1,0.0011695906432748538
mhatp,1,0.0011695906432748538
rpr,1,0.0011695906432748538
venéreo,1,0.0011695906432748538
hepatitis,1,0.0011695906432748538
herpes,1,0.0011695906432748538
simplex,1,0.0011695906432748538
gramo,1,0.0011695906432748538
a502,1,0.0011695906432748538
a504,1,0.0011695906432748538
a520,1,0.0011695906432748538
a521,1,0.0011695906432748538
a522,1,0.0011695906432748538
a531,1,0.0011695906432748538
a540,1,0.0011695906432748538
4213,1,0.0011695906432748538
granuloma_inguinal,1,0.0011695906432748538
4214,1,0.0011695906432748538
4215,1,0.0011695906432748538
422,1,0.0011695906432748538
4221,1,0.0011695906432748538
4222,1,0.0011695906432748538
54433,1,0.0011695906432748538
54511,1,0.0011695906432748538
indoloro,1,0.0011695906432748538
54512,1,0.0011695906432748538
exantema,1,0.0011695906432748538
cutáneo,1,0.0011695906432748538
condilomas,1,0.0011695906432748538
anogenital,1,0.0011695906432748538
pápula,1,0.0011695906432748538
palma,1,0.0011695906432748538
54513,1,0.0011695906432748538
fta,1,0.0011695906432748538
54514,1,0.0011695906432748538
terciario,1,0.0011695906432748538
54521,1,0.0011695906432748538
54522,1,0.0011695906432748538
confirmación,1,0.0011695906432748538
54531,1,0.0011695906432748538
54532,1,0.0011695906432748538
54533,1,0.0011695906432748538
54534,1,0.0011695906432748538
wg_mg500,1,0.0011695906432748538
