Respuesta,Frecuencia,Asociación
unir,2,0.10526315789473684
seducción,2,0.10526315789473684
momento,1,0.05263157894736842
servir,1,0.05263157894736842
juego,1,0.05263157894736842
producción,1,0.05263157894736842
regla,1,0.05263157894736842
especie,1,0.05263157894736842
pasión,1,0.05263157894736842
desenlace,1,0.05263157894736842
fiel,1,0.05263157894736842
sirviente,1,0.05263157894736842
baudrillard,1,0.05263157894736842
jugador,1,0.05263157894736842
2000125,1,0.05263157894736842
coquetería,1,0.05263157894736842
esfumar,1,0.05263157894736842
