Respuesta,Frecuencia,Asociación
hombre,3,0.04054054054054054
carne,3,0.04054054054054054
parecer,2,0.02702702702702703
humano,1,0.013513513513513514
conocimiento,1,0.013513513513513514
acercar,1,0.013513513513513514
suponer,1,0.013513513513513514
desarrollo,1,0.013513513513513514
cabo,1,0.013513513513513514
2,1,0.013513513513513514
fase,1,0.013513513513513514
resultar,1,0.013513513513513514
pensar,1,0.013513513513513514
punto,1,0.013513513513513514
manual,1,0.013513513513513514
autor,1,0.013513513513513514
caso,1,0.013513513513513514
pareja,1,0.013513513513513514
pregunta,1,0.013513513513513514
marcar,1,0.013513513513513514
ejemplo,1,0.013513513513513514
frecuente,1,0.013513513513513514
valor,1,0.013513513513513514
naturaleza,1,0.013513513513513514
desear,1,0.013513513513513514
práctica,1,0.013513513513513514
considerar,1,0.013513513513513514
aborto,1,0.013513513513513514
siglo,1,0.013513513513513514
rechazar,1,0.013513513513513514
sexo,1,0.013513513513513514
mover,1,0.013513513513513514
despertar,1,0.013513513513513514
aspecto,1,0.013513513513513514
mitad,1,0.013513513513513514
hijo,1,0.013513513513513514
aceptar,1,0.013513513513513514
mantener,1,0.013513513513513514
unir,1,0.013513513513513514
fiabilidad,1,0.013513513513513514
puesto,1,0.013513513513513514
capaz,1,0.013513513513513514
carencia,1,0.013513513513513514
feto,1,0.013513513513513514
xviii,1,0.013513513513513514
difícil,1,0.013513513513513514
margen,1,0.013513513513513514
religioso,1,0.013513513513513514
test,1,0.013513513513513514
revelar,1,0.013513513513513514
aparentemente,1,0.013513513513513514
indígena,1,0.013513513513513514
precoz,1,0.013513513513513514
espacio,1,0.013513513513513514
contrario,1,0.013513513513513514
andar,1,0.013513513513513514
antonio,1,0.013513513513513514
empírico,1,0.013513513513513514
curiosidad,1,0.013513513513513514
pecado,1,0.013513513513513514
chiriguanos,1,0.013513513513513514
comajuncosa,1,0.013513513513513514
bocanegra,1,0.013513513513513514
especíﬁcamente,1,0.013513513513513514
inscripta,1,0.013513513513513514
juntáronse,1,0.013513513513513514
pilipili,1,0.013513513513513514
paciencia,1,0.013513513513513514
caridad,1,0.013513513513513514
