Respuesta,Frecuencia,Asociación
sexual,4,0.01818181818181818
sexualidad,3,0.013636363636363636
capacidad,3,0.013636363636363636
erotismo,3,0.013636363636363636
humano,2,0.00909090909090909
existir,2,0.00909090909090909
cuidar,2,0.00909090909090909
persona,2,0.00909090909090909
considerar,2,0.00909090909090909
mujer,2,0.00909090909090909
reproductivo,2,0.00909090909090909
hijo,2,0.00909090909090909
erótico,2,0.00909090909090909
unir,2,0.00909090909090909
personal,2,0.00909090909090909
trascender,2,0.00909090909090909
revolución,2,0.00909090909090909
emoción,2,0.00909090909090909
sensualidad,2,0.00909090909090909
creación,1,0.004545454545454545
proyecto,1,0.004545454545454545
encontrar,1,0.004545454545454545
construcción,1,0.004545454545454545
integración,1,0.004545454545454545
permitir,1,0.004545454545454545
deber,1,0.004545454545454545
comunicación,1,0.004545454545454545
impacto,1,0.004545454545454545
educación,1,0.004545454545454545
forma,1,0.004545454545454545
ámbito,1,0.004545454545454545
acción,1,0.004545454545454545
fuente,1,0.004545454545454545
variedad,1,0.004545454545454545
desarrollo,1,0.004545454545454545
consejo,1,0.004545454545454545
crear,1,0.004545454545454545
etapa,1,0.004545454545454545
necesitar,1,0.004545454545454545
dirigir,1,0.004545454545454545
producto,1,0.004545454545454545
público,1,0.004545454545454545
requerir,1,0.004545454545454545
carácter,1,0.004545454545454545
tipo,1,0.004545454545454545
niño,1,0.004545454545454545
par,1,0.004545454545454545
3,1,0.004545454545454545
construir,1,0.004545454545454545
límite,1,0.004545454545454545
hablar,1,0.004545454545454545
caso,1,0.004545454545454545
querer,1,0.004545454545454545
distinto,1,0.004545454545454545
biológico,1,0.004545454545454545
cuerpo,1,0.004545454545454545
objeto,1,0.004545454545454545
incluir,1,0.004545454545454545
actividad_sexual,1,0.004545454545454545
masculino,1,0.004545454545454545
femenino,1,0.004545454545454545
gama,1,0.004545454545454545
actividad,1,0.004545454545454545
relación,1,0.004545454545454545
individuo,1,0.004545454545454545
familia,1,0.004545454545454545
sociedad,1,0.004545454545454545
edad,1,0.004545454545454545
privar,1,0.004545454545454545
medida,1,0.004545454545454545
ofrecer,1,0.004545454545454545
ejemplo,1,0.004545454545454545
dejar,1,0.004545454545454545
cualidad,1,0.004545454545454545
determinar,1,0.004545454545454545
condición,1,0.004545454545454545
llamar,1,0.004545454545454545
elección,1,0.004545454545454545
valor,1,0.004545454545454545
relativo,1,0.004545454545454545
ende,1,0.004545454545454545
apoyo,1,0.004545454545454545
sentir,1,0.004545454545454545
activo,1,0.004545454545454545
desear,1,0.004545454545454545
mensaje,1,0.004545454545454545
práctica,1,0.004545454545454545
menor,1,0.004545454545454545
muestra,1,0.004545454545454545
entender,1,0.004545454545454545
mental,1,0.004545454545454545
aparecer,1,0.004545454545454545
deseo,1,0.004545454545454545
vida,1,0.004545454545454545
patológico,1,0.004545454545454545
película,1,0.004545454545454545
serie,1,0.004545454545454545
hombre,1,0.004545454545454545
parecer,1,0.004545454545454545
sexuado,1,0.004545454545454545
mundo,1,0.004545454545454545
mantener,1,0.004545454545454545
experimentar,1,0.004545454545454545
expresar,1,0.004545454545454545
familiar,1,0.004545454545454545
amor,1,0.004545454545454545
transformar,1,0.004545454545454545
lograr,1,0.004545454545454545
parejo,1,0.004545454545454545
pequeño,1,0.004545454545454545
evidente,1,0.004545454545454545
trasfondo,1,0.004545454545454545
disfrutar,1,0.004545454545454545
miedo,1,0.004545454545454545
falta,1,0.004545454545454545
intervención,1,0.004545454545454545
nutrir,1,0.004545454545454545
responsabilidad,1,0.004545454545454545
cuidado,1,0.004545454545454545
asumir,1,0.004545454545454545
reproducir,1,0.004545454545454545
consideración,1,0.004545454545454545
legitimidad,1,0.004545454545454545
vecino,1,0.004545454545454545
respeto,1,0.004545454545454545
postura,1,0.004545454545454545
vulnerabilidad,1,0.004545454545454545
difícil,1,0.004545454545454545
violencia,1,0.004545454545454545
emocional,1,0.004545454545454545
energía,1,0.004545454545454545
presión,1,0.004545454545454545
frecuentemente,1,0.004545454545454545
conducir,1,0.004545454545454545
trastorno,1,0.004545454545454545
severo,1,0.004545454545454545
global,1,0.004545454545454545
aprobación,1,0.004545454545454545
manifestación,1,0.004545454545454545
adicción,1,0.004545454545454545
dimensión,1,0.004545454545454545
consecuente,1,0.004545454545454545
creativo,1,0.004545454545454545
afecto,1,0.004545454545454545
necesariamente,1,0.004545454545454545
pudor,1,0.004545454545454545
radical,1,0.004545454545454545
pornográfico,1,0.004545454545454545
terminar,1,0.004545454545454545
inteligencia,1,0.004545454545454545
jugar,1,0.004545454545454545
pasividad,1,0.004545454545454545
indecente,1,0.004545454545454545
autoestima,1,0.004545454545454545
excitación,1,0.004545454545454545
local,1,0.004545454545454545
devenir,1,0.004545454545454545
logro,1,0.004545454545454545
excluir,1,0.004545454545454545
macro,1,0.004545454545454545
micro,1,0.004545454545454545
tradicionalmente,1,0.004545454545454545
certeza,1,0.004545454545454545
emotividad,1,0.004545454545454545
tristeza,1,0.004545454545454545
inagotable,1,0.004545454545454545
proyectar,1,0.004545454545454545
pasivamente,1,0.004545454545454545
confluir,1,0.004545454545454545
atributo,1,0.004545454545454545
anhedonia,1,0.004545454545454545
aversión,1,0.004545454545454545
borderline,1,0.004545454545454545
gira,1,0.004545454545454545
duradero,1,0.004545454545454545
coexistir,1,0.004545454545454545
