Respuesta,Frecuencia,Asociación
mujer,5,0.018726591760299626
varón,5,0.018726591760299626
nivel,4,0.0149812734082397
masculino,3,0.011235955056179775
hombre,3,0.011235955056179775
hormonal,3,0.011235955056179775
conducto,3,0.011235955056179775
secreción,3,0.011235955056179775
sexual,2,0.00749063670411985
niño,2,0.00749063670411985
papel,2,0.00749063670411985
atractivo,2,0.00749063670411985
decidir,2,0.00749063670411985
origen,2,0.00749063670411985
disminución,2,0.00749063670411985
producción,2,0.00749063670411985
cambio,2,0.00749063670411985
producir,2,0.00749063670411985
sexo,2,0.00749063670411985
deseo,2,0.00749063670411985
progresivo,2,0.00749063670411985
genital,2,0.00749063670411985
ciclo,2,0.00749063670411985
sentimiento,2,0.00749063670411985
interno,2,0.00749063670411985
crecer,2,0.00749063670411985
jugar,2,0.00749063670411985
envejecimiento,2,0.00749063670411985
envejecer,2,0.00749063670411985
sexualidad,1,0.003745318352059925
área,1,0.003745318352059925
creación,1,0.003745318352059925
encontrar,1,0.003745318352059925
contar,1,0.003745318352059925
deber,1,0.003745318352059925
general,1,0.003745318352059925
existir,1,0.003745318352059925
mayoría,1,0.003745318352059925
necesidad,1,0.003745318352059925
salud,1,0.003745318352059925
buscar,1,0.003745318352059925
año,1,0.003745318352059925
desarrollo,1,0.003745318352059925
central,1,0.003745318352059925
interacción,1,0.003745318352059925
estudio,1,0.003745318352059925
momento,1,0.003745318352059925
requerir,1,0.003745318352059925
importante,1,0.003745318352059925
obtener,1,0.003745318352059925
utilización,1,0.003745318352059925
mostrar,1,0.003745318352059925
posterior,1,0.003745318352059925
derivar,1,0.003745318352059925
tomar,1,0.003745318352059925
caso,1,0.003745318352059925
cumplir,1,0.003745318352059925
requisito,1,0.003745318352059925
influir,1,0.003745318352059925
representar,1,0.003745318352059925
incluir,1,0.003745318352059925
aumento,1,0.003745318352059925
placer,1,0.003745318352059925
femenino,1,0.003745318352059925
enfermedad,1,0.003745318352059925
edad,1,0.003745318352059925
primario,1,0.003745318352059925
característica,1,0.003745318352059925
máximo,1,0.003745318352059925
persona,1,0.003745318352059925
volver,1,0.003745318352059925
dejar,1,0.003745318352059925
significar,1,0.003745318352059925
do,1,0.003745318352059925
importancia,1,0.003745318352059925
capacidad,1,0.003745318352059925
sistema,1,0.003745318352059925
situación,1,0.003745318352059925
vivir,1,0.003745318352059925
adolescente,1,0.003745318352059925
aumentar,1,0.003745318352059925
resultado,1,0.003745318352059925
conducta,1,0.003745318352059925
asociar,1,0.003745318352059925
8,1,0.003745318352059925
bienestar,1,0.003745318352059925
regular,1,0.003745318352059925
aparecer,1,0.003745318352059925
época,1,0.003745318352059925
volumen,1,0.003745318352059925
sufrir,1,0.003745318352059925
vida,1,0.003745318352059925
oponer,1,0.003745318352059925
pubertad,1,0.003745318352059925
heterosexual,1,0.003745318352059925
padre,1,0.003745318352059925
causa,1,0.003745318352059925
influencia,1,0.003745318352059925
expectativa,1,0.003745318352059925
falo,1,0.003745318352059925
órgano,1,0.003745318352059925
vagina,1,0.003745318352059925
comprobar,1,0.003745318352059925
experimentar,1,0.003745318352059925
cotidiano,1,0.003745318352059925
pene,1,0.003745318352059925
pequeño,1,0.003745318352059925
acompañar,1,0.003745318352059925
atención,1,0.003745318352059925
voz,1,0.003745318352059925
compañero,1,0.003745318352059925
intervenir,1,0.003745318352059925
obstante,1,0.003745318352059925
alcanzar,1,0.003745318352059925
permanente,1,0.003745318352059925
comenzar,1,0.003745318352059925
padecer,1,0.003745318352059925
similar,1,0.003745318352059925
cuidado,1,0.003745318352059925
transformación,1,0.003745318352059925
favorecer,1,0.003745318352059925
reproducir,1,0.003745318352059925
interés,1,0.003745318352059925
semana,1,0.003745318352059925
empezar,1,0.003745318352059925
especialmente,1,0.003745318352059925
provocar,1,0.003745318352059925
laboratorio,1,0.003745318352059925
feto,1,0.003745318352059925
progesterona,1,0.003745318352059925
dosis,1,0.003745318352059925
someter,1,0.003745318352059925
tratamiento,1,0.003745318352059925
grave,1,0.003745318352059925
esperanza,1,0.003745318352059925
fecundación,1,0.003745318352059925
directo,1,0.003745318352059925
estímulo,1,0.003745318352059925
dispositivo,1,0.003745318352059925
alteración,1,0.003745318352059925
menstruación,1,0.003745318352059925
disminuir,1,0.003745318352059925
hormona,1,0.003745318352059925
facial,1,0.003745318352059925
trastorno,1,0.003745318352059925
global,1,0.003745318352059925
externo,1,0.003745318352059925
miembro,1,0.003745318352059925
útero,1,0.003745318352059925
originar,1,0.003745318352059925
genitales,1,0.003745318352059925
24,1,0.003745318352059925
ovario,1,0.003745318352059925
moderar,1,0.003745318352059925
frecuencia,1,0.003745318352059925
paciente,1,0.003745318352059925
flujo,1,0.003745318352059925
soler,1,0.003745318352059925
inhibir,1,0.003745318352059925
notable,1,0.003745318352059925
multifactorial,1,0.003745318352059925
insuficiencia,1,0.003745318352059925
