Respuesta,Frecuencia,Asociación
varón,4,0.016129032258064516
sexo,3,0.012096774193548387
mujer,3,0.012096774193548387
sexual,2,0.008064516129032258
niño,2,0.008064516129032258
masculino,2,0.008064516129032258
femenino,2,0.008064516129032258
crecimiento,2,0.008064516129032258
menor,2,0.008064516129032258
físico,2,0.008064516129032258
hombre,2,0.008064516129032258
pene,2,0.008064516129032258
hormonal,2,0.008064516129032258
hormona,2,0.008064516129032258
ovario,2,0.008064516129032258
erección,2,0.008064516129032258
corporal,2,0.008064516129032258
tensión,2,0.008064516129032258
estrógeno,2,0.008064516129032258
gónada,2,0.008064516129032258
proceso,1,0.004032258064516129
problema,1,0.004032258064516129
encontrar,1,0.004032258064516129
concepto,1,0.004032258064516129
permitir,1,0.004032258064516129
deber,1,0.004032258064516129
general,1,0.004032258064516129
ejercicio,1,0.004032258064516129
salud,1,0.004032258064516129
relacionar,1,0.004032258064516129
crear,1,0.004032258064516129
interacción,1,0.004032258064516129
cualquiera,1,0.004032258064516129
requerir,1,0.004032258064516129
importante,1,0.004032258064516129
destinar,1,0.004032258064516129
pensar,1,0.004032258064516129
secundario,1,0.004032258064516129
papel,1,0.004032258064516129
implicar,1,0.004032258064516129
atractivo,1,0.004032258064516129
olvidar,1,0.004032258064516129
caso,1,0.004032258064516129
diferenciación,1,0.004032258064516129
influir,1,0.004032258064516129
biológico,1,0.004032258064516129
cuerpo,1,0.004032258064516129
respuesta,1,0.004032258064516129
razón,1,0.004032258064516129
orgasmo,1,0.004032258064516129
estimulación,1,0.004032258064516129
aumento,1,0.004032258064516129
disminución,1,0.004032258064516129
desarrollar,1,0.004032258064516129
enfermedad,1,0.004032258064516129
actividad,1,0.004032258064516129
edad,1,0.004032258064516129
tiempo,1,0.004032258064516129
alto,1,0.004032258064516129
medida,1,0.004032258064516129
primario,1,0.004032258064516129
característica,1,0.004032258064516129
peso,1,0.004032258064516129
aparición,1,0.004032258064516129
fenómeno,1,0.004032258064516129
cosa,1,0.004032258064516129
producción,1,0.004032258064516129
funcional,1,0.004032258064516129
frecuente,1,0.004032258064516129
determinar,1,0.004032258064516129
apuntar,1,0.004032258064516129
recuperación,1,0.004032258064516129
do,1,0.004032258064516129
sistema,1,0.004032258064516129
cambio,1,0.004032258064516129
conducta,1,0.004032258064516129
experiencia,1,0.004032258064516129
producir,1,0.004032258064516129
convertir,1,0.004032258064516129
único,1,0.004032258064516129
asociar,1,0.004032258064516129
clase,1,0.004032258064516129
xx,1,0.004032258064516129
volumen,1,0.004032258064516129
oponer,1,0.004032258064516129
pubertad,1,0.004032258064516129
heterosexual,1,0.004032258064516129
genital,1,0.004032258064516129
sánchez,1,0.004032258064516129
comportar,1,0.004032258064516129
aspecto,1,0.004032258064516129
serie,1,0.004032258064516129
diferenciar,1,0.004032258064516129
vagina,1,0.004032258064516129
laboral,1,0.004032258064516129
amor,1,0.004032258064516129
quedar,1,0.004032258064516129
lograr,1,0.004032258064516129
afirmar,1,0.004032258064516129
daño,1,0.004032258064516129
sano,1,0.004032258064516129
interno,1,0.004032258064516129
acorde,1,0.004032258064516129
tribunal,1,0.004032258064516129
responsabilidad,1,0.004032258064516129
embrión,1,0.004032258064516129
decisión,1,0.004032258064516129
transformación,1,0.004032258064516129
justificar,1,0.004032258064516129
alegar,1,0.004032258064516129
empezar,1,0.004032258064516129
civil,1,0.004032258064516129
provocar,1,0.004032258064516129
feto,1,0.004032258064516129
profesión,1,0.004032258064516129
