Respuesta,Frecuencia,Asociación
diverso,1,0.05555555555555555
desarrollo,1,0.05555555555555555
mostrar,1,0.05555555555555555
nivel,1,0.05555555555555555
asunto,1,0.05555555555555555
mecanismo,1,0.05555555555555555
persona,1,0.05555555555555555
norma,1,0.05555555555555555
derecho,1,0.05555555555555555
protección,1,0.05555555555555555
colombia,1,0.05555555555555555
precario,1,0.05555555555555555
gais,1,0.05555555555555555
lgtb,1,0.05555555555555555
lesbiano,1,0.05555555555555555
bisexual,1,0.05555555555555555
apropiación,1,0.05555555555555555
lgbt,1,0.05555555555555555
