Respuesta,Frecuencia,Asociación
sexual,2,0.020833333333333332
generalmente,2,0.020833333333333332
violencia,2,0.020833333333333332
artículo,1,0.010416666666666666
trabajo,1,0.010416666666666666
diverso,1,0.010416666666666666
humano,1,0.010416666666666666
encontrar,1,0.010416666666666666
social,1,0.010416666666666666
cultural,1,0.010416666666666666
recurso,1,0.010416666666666666
forma,1,0.010416666666666666
cabo,1,0.010416666666666666
interacción,1,0.010416666666666666
estudio,1,0.010416666666666666
documento,1,0.010416666666666666
ayuda,1,0.010416666666666666
2,1,0.010416666666666666
acceso,1,0.010416666666666666
carácter,1,0.010416666666666666
denominar,1,0.010416666666666666
cubrir,1,0.010416666666666666
exponer,1,0.010416666666666666
trabajar,1,0.010416666666666666
cumplir,1,0.010416666666666666
asunto,1,0.010416666666666666
función,1,0.010416666666666666
posibilidad,1,0.010416666666666666
cuidar,1,0.010416666666666666
máximo,1,0.010416666666666666
condición,1,0.010416666666666666
situación,1,0.010416666666666666
médico,1,0.010416666666666666
derecho,1,0.010416666666666666
mujer,1,0.010416666666666666
represión,1,0.010416666666666666
centrar,1,0.010416666666666666
adaptar,1,0.010416666666666666
migratorio,1,0.010416666666666666
violación,1,0.010416666666666666
especial,1,0.010416666666666666
unir,1,0.010416666666666666
frontera,1,0.010416666666666666
socialmente,1,0.010416666666666666
atención,1,0.010416666666666666
adquirir,1,0.010416666666666666
obstante,1,0.010416666666666666
legal,1,0.010416666666666666
pagar,1,0.010416666666666666
favorecer,1,0.010416666666666666
económico,1,0.010416666666666666
españa,1,0.010416666666666666
forzar,1,0.010416666666666666
modificación,1,0.010416666666666666
autorización,1,0.010416666666666666
carencia,1,0.010416666666666666
oficial,1,0.010416666666666666
cerrar,1,0.010416666666666666
incrementar,1,0.010416666666666666
clandestino,1,0.010416666666666666
criminal,1,0.010416666666666666
santo,1,0.010416666666666666
desigual,1,0.010416666666666666
seguridad,1,0.010416666666666666
internacional,1,0.010416666666666666
explotar,1,0.010416666666666666
salvador,1,0.010416666666666666
9,1,0.010416666666666666
colocar,1,0.010416666666666666
deuda,1,0.010416666666666666
protocolo,1,0.010416666666666666
sugerir,1,0.010416666666666666
código,1,0.010416666666666666
significativamente,1,0.010416666666666666
ajeno,1,0.010416666666666666
penal,1,0.010416666666666666
prostitución,1,0.010416666666666666
excluir,1,0.010416666666666666
migrante,1,0.010416666666666666
aislamiento,1,0.010416666666666666
cruzar,1,0.010416666666666666
estigmatizar,1,0.010416666666666666
capital,1,0.010416666666666666
sometimiento,1,0.010416666666666666
agravio,1,0.010416666666666666
propiciar,1,0.010416666666666666
tratado,1,0.010416666666666666
lake,1,0.010416666666666666
success,1,0.010416666666666666
abolicionista,1,0.010416666666666666
párrafo,1,0.010416666666666666
subsidio,1,0.010416666666666666
jubilación,1,0.010416666666666666
