Respuesta,Frecuencia,Asociación
establecer,2,0.02702702702702703
infección,2,0.02702702702702703
diagnóstico,2,0.02702702702702703
examen,2,0.02702702702702703
directo,2,0.02702702702702703
hallazgo,2,0.02702702702702703
fresco,2,0.02702702702702703
cultivo,2,0.02702702702702703
gardnerella,2,0.02702702702702703
vaginalis,2,0.02702702702702703
candida,2,0.02702702702702703
5622,2,0.02702702702702703
seguir,1,0.013513513513513514
deber,1,0.013513513513513514
c,1,0.013513513513513514
técnica,1,0.013513513513513514
evaluar,1,0.013513513513513514
caso,1,0.013513513513513514
identificación,1,0.013513513513513514
identificar,1,0.013513513513513514
investigar,1,0.013513513513513514
mujer,1,0.013513513513513514
centrar,1,0.013513513513513514
genital,1,0.013513513513513514
fundamentalmente,1,0.013513513513513514
agente,1,0.013513513513513514
causa,1,0.013513513513513514
553,1,0.013513513513513514
presencia,1,0.013513513513513514
sospecha,1,0.013513513513513514
causal,1,0.013513513513513514
organismo,1,0.013513513513513514
25,1,0.013513513513513514
aislar,1,0.013513513513513514
aislamiento,1,0.013513513513513514
olor,1,0.013513513513513514
virus,1,0.013513513513513514
55,1,0.013513513513513514
prurito,1,0.013513513513513514
sospechoso,1,0.013513513513513514
cervicitis,1,0.013513513513513514
mucopurulenta,1,0.013513513513513514
pcr,1,0.013513513513513514
herpes,1,0.013513513513513514
simplex,1,0.013513513513513514
trachomatis,1,0.013513513513513514
ureaplasma,1,0.013513513513513514
urealyticum,1,0.013513513513513514
mycoplasma,1,0.013513513513513514
hominis,1,0.013513513513513514
neisseria,1,0.013513513513513514
gonorrhoeae,1,0.013513513513513514
gonorrea,1,0.013513513513513514
5531,1,0.013513513513513514
albicans,1,0.013513513513513514
5621,1,0.013513513513513514
56214,1,0.013513513513513514
56221,1,0.013513513513513514
alba,1,0.013513513513513514
micoplasma,1,0.013513513513513514
vaginalis27,1,0.013513513513513514
clamidia,1,0.013513513513513514
