Respuesta,Frecuencia,Asociación
método,1,0.017543859649122806
social,1,0.017543859649122806
mexicano,1,0.017543859649122806
atender,1,0.017543859649122806
ventaja,1,0.017543859649122806
presentar,1,0.017543859649122806
proporcionar,1,0.017543859649122806
caso,1,0.017543859649122806
instituto,1,0.017543859649122806
identificación,1,0.017543859649122806
desarrollar,1,0.017543859649122806
relación,1,0.017543859649122806
edad,1,0.017543859649122806
proceder,1,0.017543859649122806
frecuente,1,0.017543859649122806
sistema,1,0.017543859649122806
embarazo,1,0.017543859649122806
imagen,1,0.017543859649122806
convertir,1,0.017543859649122806
10,1,0.017543859649122806
aparecer,1,0.017543859649122806
escuchar,1,0.017543859649122806
volumen,1,0.017543859649122806
posteriormente,1,0.017543859649122806
únicamente,1,0.017543859649122806
demostrar,1,0.017543859649122806
comunicar,1,0.017543859649122806
diagnóstico,1,0.017543859649122806
inducir,1,0.017543859649122806
seguro,1,0.017543859649122806
fallecer,1,0.017543859649122806
expulsión,1,0.017543859649122806
procedimiento,1,0.017543859649122806
relativamente,1,0.017543859649122806
tratamiento,1,0.017543859649122806
difundir,1,0.017543859649122806
complicación,1,0.017543859649122806
19,1,0.017543859649122806
25,1,0.017543859649122806
abdominal,1,0.017543859649122806
bebé,1,0.017543859649122806
gestacional,1,0.017543859649122806
ecografía,1,0.017543859649122806
ovario,1,0.017543859649122806
latido,1,0.017543859649122806
puntuación,1,0.017543859649122806
efectivamente,1,0.017543859649122806
desafío,1,0.017543859649122806
agudo,1,0.017543859649122806
cuadro,1,0.017543859649122806
masa,1,0.017543859649122806
doctor,1,0.017543859649122806
gemelo,1,0.017543859649122806
abdomen,1,0.017543859649122806
sassone,1,0.017543859649122806
anexial,1,0.017543859649122806
imss,1,0.017543859649122806
