Respuesta,Frecuencia,Asociación
mujer,19,0.022538552787663108
orgasmo,9,0.010676156583629894
sexual,7,0.00830367734282325
pene,7,0.00830367734282325
disminuir,7,0.00830367734282325
centro,5,0.005931198102016607
clítoris,5,0.005931198102016607
deber,4,0.004744958481613286
cambio,4,0.004744958481613286
menor,4,0.004744958481613286
vaginal,4,0.004744958481613286
externo,4,0.004744958481613286
pared,4,0.004744958481613286
superior,3,0.0035587188612099642
coito,3,0.0035587188612099642
masculino,3,0.0035587188612099642
hombre,3,0.0035587188612099642
espacio,3,0.0035587188612099642
útero,3,0.0035587188612099642
conducto,3,0.0035587188612099642
recto,3,0.0035587188612099642
labio_mayor,3,0.0035587188612099642
excitar,3,0.0035587188612099642
cirugía,3,0.0035587188612099642
sensible,3,0.0035587188612099642
interno,3,0.0035587188612099642
labio,3,0.0035587188612099642
problema,2,0.002372479240806643
permitir,2,0.002372479240806643
mayoría,2,0.002372479240806643
forma,2,0.002372479240806643
factor,2,0.002372479240806643
mencionar,2,0.002372479240806643
desarrollo,2,0.002372479240806643
amplio,2,0.002372479240806643
fase,2,0.002372479240806643
elaboración,2,0.002372479240806643
lugar,2,0.002372479240806643
punto,2,0.002372479240806643
1,2,0.002372479240806643
mejorar,2,0.002372479240806643
4,2,0.002372479240806643
número,2,0.002372479240806643
exponer,2,0.002372479240806643
trabajar,2,0.002372479240806643
biológico,2,0.002372479240806643
anatomía,2,0.002372479240806643
cuerpo,2,0.002372479240806643
masturbación,2,0.002372479240806643
aumento,2,0.002372479240806643
disminución,2,0.002372479240806643
placer,2,0.002372479240806643
identidad,2,0.002372479240806643
enfermedad,2,0.002372479240806643
función,2,0.002372479240806643
altamente,2,0.002372479240806643
persona,2,0.002372479240806643
llamar,2,0.002372479240806643
do,2,0.002372479240806643
variable,2,0.002372479240806643
posición,2,0.002372479240806643
capacidad,2,0.002372479240806643
considerar,2,0.002372479240806643
preservativo,2,0.002372479240806643
practicar,2,0.002372479240806643
homosexualidad,2,0.002372479240806643
freud,2,0.002372479240806643
teoría,2,0.002372479240806643
pubertad,2,0.002372479240806643
reproductivo,2,0.002372479240806643
aspecto,2,0.002372479240806643
patrón,2,0.002372479240806643
formar,2,0.002372479240806643
inferior,2,0.002372479240806643
excitante,2,0.002372479240806643
694,2,0.002372479240806643
inmaduro,2,0.002372479240806643
689,2,0.002372479240806643
lavar,2,0.002372479240806643
amor,2,0.002372479240806643
embarazar,2,0.002372479240806643
752,2,0.002372479240806643
trastorno,2,0.002372479240806643
66,2,0.002372479240806643
tercio,2,0.002372479240806643
bulbo,2,0.002372479240806643
seno,2,0.002372479240806643
didelfo,2,0.002372479240806643
doble,2,0.002372479240806643
causar,2,0.002372479240806643
sospechar,2,0.002372479240806643
similar,2,0.002372479240806643
interior,2,0.002372479240806643
dolor,2,0.002372479240806643
grado,2,0.002372479240806643
penetración,2,0.002372479240806643
pezón,2,0.002372479240806643
efecto,2,0.002372479240806643
hormonal,2,0.002372479240806643
ocasionar,2,0.002372479240806643
elasticidad,2,0.002372479240806643
directo,2,0.002372479240806643
sensibilidad,2,0.002372479240806643
fricción,2,0.002372479240806643
clitoridiana,2,0.002372479240806643
sexualmente,2,0.002372479240806643
comenzar,2,0.002372479240806643
transferir,2,0.002372479240806643
capaz,2,0.002372479240806643
paralelo,2,0.002372479240806643
maduro,2,0.002372479240806643
descubrir,2,0.002372479240806643
dejándola,2,0.002372479240806643
insatisfecho,2,0.002372479240806643
anestesia,2,0.002372479240806643
kelly,2,0.002372479240806643
anatómico,2,0.002372479240806643
caliente,2,0.002372479240806643
tracto,2,0.002372479240806643
semen,2,0.002372479240806643
tocar,2,0.002372479240806643
estimular,2,0.002372479240806643
lubricación,2,0.002372479240806643
vista,2,0.002372479240806643
prescindible,2,0.002372479240806643
tacto,2,0.002372479240806643
grueso,2,0.002372479240806643
rugoso,2,0.002372479240806643
alargar,2,0.002372479240806643
amplitud,2,0.002372479240806643
normalmente,2,0.002372479240806643
vasocongestión,2,0.002372479240806643
involuntario,2,0.002372479240806643
sobretodo,2,0.002372479240806643
periné,2,0.002372479240806643
cérvix,2,0.002372479240806643
ocasión,2,0.002372479240806643
artificial,2,0.002372479240806643
transformación,2,0.002372479240806643
castración,2,0.002372479240806643
penetrar,2,0.002372479240806643
sexualidad,1,0.0011862396204033216
término,1,0.0011862396204033216
área,1,0.0011862396204033216
creación,1,0.0011862396204033216
tratar,1,0.0011862396204033216
intentar,1,0.0011862396204033216
diverso,1,0.0011862396204033216
encontrar,1,0.0011862396204033216
conocimiento,1,0.0011862396204033216
necesario,1,0.0011862396204033216
existir,1,0.0011862396204033216
faltar,1,0.0011862396204033216
propuesta,1,0.0011862396204033216
principalmente,1,0.0011862396204033216
conjunto,1,0.0011862396204033216
caer,1,0.0011862396204033216
organización,1,0.0011862396204033216
salud,1,0.0011862396204033216
relacionar,1,0.0011862396204033216
grupo,1,0.0011862396204033216
central,1,0.0011862396204033216
crear,1,0.0011862396204033216
etapa,1,0.0011862396204033216
necesitar,1,0.0011862396204033216
cualquiera,1,0.0011862396204033216
momento,1,0.0011862396204033216
ayuda,1,0.0011862396204033216
2,1,0.0011862396204033216
objetivo,1,0.0011862396204033216
principal,1,0.0011862396204033216
público,1,0.0011862396204033216
requerir,1,0.0011862396204033216
importante,1,0.0011862396204033216
esencialmente,1,0.0011862396204033216
definir,1,0.0011862396204033216
resultar,1,0.0011862396204033216
tipo,1,0.0011862396204033216
joven,1,0.0011862396204033216
obtener,1,0.0011862396204033216
adicional,1,0.0011862396204033216
papel,1,0.0011862396204033216
casa,1,0.0011862396204033216
adecuar,1,0.0011862396204033216
examinar,1,0.0011862396204033216
camino,1,0.0011862396204033216
llegar,1,0.0011862396204033216
clasificación,1,0.0011862396204033216
idea,1,0.0011862396204033216
implicar,1,0.0011862396204033216
tamaño,1,0.0011862396204033216
localización,1,0.0011862396204033216
asociación,1,0.0011862396204033216
nombre,1,0.0011862396204033216
3,1,0.0011862396204033216
consistir,1,0.0011862396204033216
separar,1,0.0011862396204033216
posterior,1,0.0011862396204033216
derivar,1,0.0011862396204033216
utilizar,1,0.0011862396204033216
pasar,1,0.0011862396204033216
establecer,1,0.0011862396204033216
división,1,0.0011862396204033216
realidad,1,0.0011862396204033216
completo,1,0.0011862396204033216
caso,1,0.0011862396204033216
kinsey,1,0.0011862396204033216
origen,1,0.0011862396204033216
estructura,1,0.0011862396204033216
comprender,1,0.0011862396204033216
dividir,1,0.0011862396204033216
objeto,1,0.0011862396204033216
incluir,1,0.0011862396204033216
estimulación,1,0.0011862396204033216
anal,1,0.0011862396204033216
relación_sexual,1,0.0011862396204033216
femenino,1,0.0011862396204033216
desarrollar,1,0.0011862396204033216
variante,1,0.0011862396204033216
diferencia,1,0.0011862396204033216
