Respuesta,Frecuencia,Asociación
mujer,20,0.016863406408094434
orgasmo,14,0.011804384485666104
sexo,11,0.00927487352445194
hombre,8,0.006745362563237774
cliente,8,0.006745362563237774
sexual,7,0.005902192242833052
1,7,0.005902192242833052
estimulación,7,0.005902192242833052
dolor,7,0.005902192242833052
práctica,6,0.00505902192242833
aceptar,6,0.00505902192242833
sexo_oral,6,0.00505902192242833
estudio,5,0.0042158516020236085
caso,5,0.0042158516020236085
descarga,5,0.0042158516020236085
trabajador_sexual,5,0.0042158516020236085
deber,4,0.003372681281618887
existir,4,0.003372681281618887
incluir,4,0.003372681281618887
relación,4,0.003372681281618887
servicio,4,0.003372681281618887
vagina,4,0.003372681281618887
himen,4,0.003372681281618887
clítoris,4,0.003372681281618887
trabajo,3,0.002529510961214165
área,3,0.002529510961214165
mayoría,3,0.002529510961214165
obtener,3,0.002529510961214165
4,3,0.002529510961214165
consistir,3,0.002529510961214165
actividad_sexual,3,0.002529510961214165
placer,3,0.002529510961214165
relación_sexual,3,0.002529510961214165
referir,3,0.002529510961214165
posición,3,0.002529510961214165
experiencia,3,0.002529510961214165
mito,3,0.002529510961214165
vida,3,0.002529510961214165
infección,3,0.002529510961214165
penetración,3,0.002529510961214165
íntimo,3,0.002529510961214165
personal,3,0.002529510961214165
disfrutar,3,0.002529510961214165
pedir,3,0.002529510961214165
dispareunia,3,0.002529510961214165
200,3,0.002529510961214165
29,3,0.002529510961214165
erección,3,0.002529510961214165
estudiar,2,0.0016863406408094434
explicar,2,0.0016863406408094434
etcétera,2,0.0016863406408094434
tratar,2,0.0016863406408094434
contar,2,0.0016863406408094434
común,2,0.0016863406408094434
organización,2,0.0016863406408094434
grupo,2,0.0016863406408094434
necesitar,2,0.0016863406408094434
resolución,2,0.0016863406408094434
fase,2,0.0016863406408094434
importante,2,0.0016863406408094434
definir,2,0.0016863406408094434
carácter,2,0.0016863406408094434
tipo,2,0.0016863406408094434
joven,2,0.0016863406408094434
manual,2,0.0016863406408094434
descartar,2,0.0016863406408094434
fácil,2,0.0016863406408094434
tomar,2,0.0016863406408094434
mente,2,0.0016863406408094434
comprender,2,0.0016863406408094434
objeto,2,0.0016863406408094434
masturbación,2,0.0016863406408094434
femenino,2,0.0016863406408094434
desarrollar,2,0.0016863406408094434
individuo,2,0.0016863406408094434
edad,2,0.0016863406408094434
alto,2,0.0016863406408094434
centro,2,0.0016863406408094434
persona,2,0.0016863406408094434
eliminar,2,0.0016863406408094434
dejar,2,0.0016863406408094434
frecuente,2,0.0016863406408094434
determinar,2,0.0016863406408094434
definitivo,2,0.0016863406408094434
do,2,0.0016863406408094434
cambio,2,0.0016863406408094434
asociar,2,0.0016863406408094434
coital,2,0.0016863406408094434
clínico,2,0.0016863406408094434
demostrar,2,0.0016863406408094434
observar,2,0.0016863406408094434
utilidad,2,0.0016863406408094434
admitir,2,0.0016863406408094434
mantener,2,0.0016863406408094434
erótico,2,0.0016863406408094434
múltiple,2,0.0016863406408094434
prolongar,2,0.0016863406408094434
