Respuesta,Frecuencia,Asociación
mujer,70,0.018008747105737074
relación,34,0.008747105737072292
hombre,32,0.008232570105479805
sexual,28,0.0072034988422948285
pareja,25,0.006431695394906097
práctica,25,0.006431695394906097
sexualidad,24,0.0061744275791098535
año,23,0.005917159763313609
salud,22,0.005659891947517366
1,21,0.005402624131721122
proceso,20,0.005145356315924878
joven,19,0.004888088500128634
hijo,19,0.004888088500128634
masculino,17,0.004373552868536146
reproducción,16,0.004116285052739903
estudio,15,0.0038590172369436584
género,15,0.0038590172369436584
diverso,14,0.0036017494211474143
relación_sexual,14,0.0036017494211474143
masculinidad,14,0.0036017494211474143
femenino,13,0.0033444816053511705
trabajo,12,0.0030872137895549268
forma,12,0.0030872137895549268
contexto,12,0.0030872137895549268
reproductivo,12,0.0030872137895549268
social,11,0.002829945973758683
edad,11,0.002829945973758683
sexo,11,0.002829945973758683
méxico,10,0.002572678157962439
riesgo,10,0.002572678157962439
tipo,10,0.002572678157962439
existir,9,0.002315410342166195
caso,9,0.002315410342166195
experiencia,9,0.002315410342166195
iniciar,9,0.002315410342166195
vida,9,0.002315410342166195
encontrar,8,0.0020581425263699513
deber,8,0.0020581425263699513
grupo,8,0.0020581425263699513
tiempo,8,0.0020581425263699513
reconocer,8,0.0020581425263699513
persona,8,0.0020581425263699513
generar,8,0.0020581425263699513
familiar,8,0.0020581425263699513
declarar,8,0.0020581425263699513
permitir,7,0.0018008747105737071
investigación,7,0.0018008747105737071
niño,7,0.0018008747105737071
función,7,0.0018008747105737071
do,7,0.0018008747105737071
valor,7,0.0018008747105737071
cambio,7,0.0018008747105737071
adolescente,7,0.0018008747105737071
sida,7,0.0018008747105737071
historia,7,0.0018008747105737071
significado,7,0.0018008747105737071
común,6,0.0015436068947774634
importante,6,0.0015436068947774634
construir,6,0.0015436068947774634
tomar,6,0.0015436068947774634
querer,6,0.0015436068947774634
enfermedad,6,0.0015436068947774634
actividad,6,0.0015436068947774634
posibilidad,6,0.0015436068947774634
alto,6,0.0015436068947774634
_,6,0.0015436068947774634
considerar,6,0.0015436068947774634
padre,6,0.0015436068947774634
parecer,6,0.0015436068947774634
presencia,6,0.0015436068947774634
violencia,6,0.0015436068947774634
paternidad,6,0.0015436068947774634
condón,6,0.0015436068947774634
encuentro,6,0.0015436068947774634
reproducir,6,0.0015436068947774634
preferir,6,0.0015436068947774634
básico,5,0.0012863390789812194
seguir,5,0.0012863390789812194
tratar,5,0.0012863390789812194
general,5,0.0012863390789812194
necesidad,5,0.0012863390789812194
modelo,5,0.0012863390789812194
lugar,5,0.0012863390789812194
papel,5,0.0012863390789812194
nivel,5,0.0012863390789812194
biológico,5,0.0012863390789812194
cuerpo,5,0.0012863390789812194
desarrollar,5,0.0012863390789812194
identificar,5,0.0012863390789812194
capacidad,5,0.0012863390789812194
situación,5,0.0012863390789812194
vivir,5,0.0012863390789812194
14,5,0.0012863390789812194
coital,5,0.0012863390789812194
científico,5,0.0012863390789812194
deseo,5,0.0012863390789812194
latinoamericano,5,0.0012863390789812194
patrón,5,0.0012863390789812194
mantener,5,0.0012863390789812194
expresar,5,0.0012863390789812194
biografía,5,0.0012863390789812194
espacio,5,0.0012863390789812194
especialmente,5,0.0012863390789812194
señalar,5,0.0012863390789812194
atención,5,0.0012863390789812194
testosterona,5,0.0012863390789812194
fecundidad,5,0.0012863390789812194
vida_sexual,5,0.0012863390789812194
ciudad,5,0.0012863390789812194
vivencia,5,0.0012863390789812194
mediano,5,0.0012863390789812194
estudiar,4,0.0010290712631849757
problema,4,0.0010290712631849757
construcción,4,0.0010290712631849757
conocimiento,4,0.0010290712631849757
población,4,0.0010290712631849757
mexicano,4,0.0010290712631849757
interacción,4,0.0010290712631849757
análisis,4,0.0010290712631849757
dirigir,4,0.0010290712631849757
estrategia,4,0.0010290712631849757
búsqueda,4,0.0010290712631849757
autor,4,0.0010290712631849757
hablar,4,0.0010290712631849757
número,4,0.0010290712631849757
trabajar,4,0.0010290712631849757
control,4,0.0010290712631849757
servicio,4,0.0010290712631849757
referir,4,0.0010290712631849757
marcar,4,0.0010290712631849757
frecuente,4,0.0010290712631849757
condición,4,0.0010290712631849757
naturaleza,4,0.0010290712631849757
cualitativo,4,0.0010290712631849757
encuesta,4,0.0010290712631849757
cuestionar,4,0.0010290712631849757
físico,4,0.0010290712631849757
urbano,4,0.0010290712631849757
genital,4,0.0010290712631849757
1997,4,0.0010290712631849757
afectar,4,0.0010290712631849757
frente,4,0.0010290712631849757
100,4,0.0010290712631849757
efecto,4,0.0010290712631849757
atributo,4,0.0010290712631849757
ausencia,4,0.0010290712631849757
colectivo,4,0.0010290712631849757
dificultar,4,0.0010290712631849757
investigador,4,0.0010290712631849757
erección,4,0.0010290712631849757
testículo,4,0.0010290712631849757
anticonceptivo,4,0.0010290712631849757
limitar,4,0.0010290712631849757
emparejamiento,4,0.0010290712631849757
duración,4,0.0010290712631849757
ligue,4,0.0010290712631849757
imaginar,4,0.0010290712631849757
término,3,0.0007718034473887317
proyecto,3,0.0007718034473887317
específico,3,0.0007718034473887317
tema,3,0.0007718034473887317
mayoría,3,0.0007718034473887317
información,3,0.0007718034473887317
educación_sexual,3,0.0007718034473887317
difusión,3,0.0007718034473887317
informar,3,0.0007718034473887317
constituir,3,0.0007718034473887317
relacionar,3,0.0007718034473887317
presentar,3,0.0007718034473887317
crear,3,0.0007718034473887317
2,3,0.0007718034473887317
documentar,3,0.0007718034473887317
objetivo,3,0.0007718034473887317
principal,3,0.0007718034473887317
público,3,0.0007718034473887317
requerir,3,0.0007718034473887317
dato,3,0.0007718034473887317
acceso,3,0.0007718034473887317
juego,3,0.0007718034473887317
casa,3,0.0007718034473887317
histórico,3,0.0007718034473887317
rasgo,3,0.0007718034473887317
reforzar,3,0.0007718034473887317
escribir,3,0.0007718034473887317
pasar,3,0.0007718034473887317
diseñar,3,0.0007718034473887317
expresión,3,0.0007718034473887317
cuestión,3,0.0007718034473887317
incluir,3,0.0007718034473887317
masturbación,3,0.0007718034473887317
placer,3,0.0007718034473887317
identidad,3,0.0007718034473887317
infidelidad,3,0.0007718034473887317
cultura,3,0.0007718034473887317
familia,3,0.0007718034473887317
campo,3,0.0007718034473887317
institucional,3,0.0007718034473887317
determinar,3,0.0007718034473887317
asimismo,3,0.0007718034473887317
costo,3,0.0007718034473887317
embarazo,3,0.0007718034473887317
recibir,3,0.0007718034473887317
conducta,3,0.0007718034473887317
aprender,3,0.0007718034473887317
enfrentar,3,0.0007718034473887317
único,3,0.0007718034473887317
mito,3,0.0007718034473887317
torno,3,0.0007718034473887317
menor,3,0.0007718034473887317
21,3,0.0007718034473887317
entrevista,3,0.0007718034473887317
entender,3,0.0007718034473887317
norma,3,0.0007718034473887317
negar,3,0.0007718034473887317
enfoque,3,0.0007718034473887317
teoría,3,0.0007718034473887317
impulso,3,0.0007718034473887317
demostrar,3,0.0007718034473887317
concreto,3,0.0007718034473887317
aspecto,3,0.0007718034473887317
observar,3,0.0007718034473887317
matrimonio,3,0.0007718034473887317
casar,3,0.0007718034473887317
interpretar,3,0.0007718034473887317
formar,3,0.0007718034473887317
dominación,3,0.0007718034473887317
interesante,3,0.0007718034473887317
subordinación,3,0.0007718034473887317
unir,3,0.0007718034473887317
práctico,3,0.0007718034473887317
núcleo,3,0.0007718034473887317
1996,3,0.0007718034473887317
percibir,3,0.0007718034473887317
lograr,3,0.0007718034473887317
discurso,3,0.0007718034473887317
proporción,3,0.0007718034473887317
afirmar,3,0.0007718034473887317
amigo,3,0.0007718034473887317
competencia,3,0.0007718034473887317
keijzer,3,0.0007718034473887317
verbalizar,3,0.0007718034473887317
transcurrir,3,0.0007718034473887317
figueroa,3,0.0007718034473887317
responsabilidad,3,0.0007718034473887317
entorno,3,0.0007718034473887317
falta,3,0.0007718034473887317
desigualdad,3,0.0007718034473887317
rural,3,0.0007718034473887317
hermano,3,0.0007718034473887317
noviazgo,3,0.0007718034473887317
cromosoma_sexual,3,0.0007718034473887317
decisión,3,0.0007718034473887317
emocional,3,0.0007718034473887317
presionar,3,0.0007718034473887317
personal,3,0.0007718034473887317
elevar,3,0.0007718034473887317
ocasional,3,0.0007718034473887317
reportar,3,0.0007718034473887317
penetrar,3,0.0007718034473887317
externo,3,0.0007718034473887317
historiador,3,0.0007718034473887317
independiente,3,0.0007718034473887317
disminuir,3,0.0007718034473887317
vihsida,3,0.0007718034473887317
consentimiento,3,0.0007718034473887317
cohorte,3,0.0007718034473887317
zona,3,0.0007718034473887317
analítico,3,0.0007718034473887317
ignorar,3,0.0007718034473887317
comentar,3,0.0007718034473887317
sancionar,3,0.0007718034473887317
factible,3,0.0007718034473887317
satisfacer,3,0.0007718034473887317
planear,3,0.0007718034473887317
exhibicionismo,3,0.0007718034473887317
cargo,3,0.0007718034473887317
proponer,2,0.0005145356315924878
explicar,2,0.0005145356315924878
descansar,2,0.0005145356315924878
intentar,2,0.0005145356315924878
palabra,2,0.0005145356315924878
perspectiva,2,0.0005145356315924878
abordar,2,0.0005145356315924878
principio,2,0.0005145356315924878
cantidad,2,0.0005145356315924878
elemento,2,0.0005145356315924878
cultural,2,0.0005145356315924878
país,2,0.0005145356315924878
contar,2,0.0005145356315924878
comunicación,2,0.0005145356315924878
responder,2,0.0005145356315924878
suponer,2,0.0005145356315924878
impacto,2,0.0005145356315924878
propuesta,2,0.0005145356315924878
educación,2,0.0005145356315924878
ventaja,2,0.0005145356315924878
organización,2,0.0005145356315924878
2000,2,0.0005145356315924878
buscar,2,0.0005145356315924878
acción,2,0.0005145356315924878
salud_sexual,2,0.0005145356315924878
caber,2,0.0005145356315924878
mencionar,2,0.0005145356315924878
amplio,2,0.0005145356315924878
esquema,2,0.0005145356315924878
cualquiera,2,0.0005145356315924878
momento,2,0.0005145356315924878
estructuración,2,0.0005145356315924878
esencial,2,0.0005145356315924878
contribuir,2,0.0005145356315924878
abrir,2,0.0005145356315924878
servir,2,0.0005145356315924878
definir,2,0.0005145356315924878
explicación,2,0.0005145356315924878
pensar,2,0.0005145356315924878
obtener,2,0.0005145356315924878
mostrar,2,0.0005145356315924878
llegar,2,0.0005145356315924878
idea,2,0.0005145356315924878
2006,2,0.0005145356315924878
indicar,2,0.0005145356315924878
efectividad,2,0.0005145356315924878
modificar,2,0.0005145356315924878
conformar,2,0.0005145356315924878
establecer,2,0.0005145356315924878
división,2,0.0005145356315924878
condicionar,2,0.0005145356315924878
kinsey,2,0.0005145356315924878
cumplir,2,0.0005145356315924878
diferenciación,2,0.0005145356315924878
estructura,2,0.0005145356315924878
estable,2,0.0005145356315924878
evitar,2,0.0005145356315924878
institución,2,0.0005145356315924878
distinto,2,0.0005145356315924878
estereotipo,2,0.0005145356315924878
identificación,2,0.0005145356315924878
profundo,2,0.0005145356315924878
diferencia,2,0.0005145356315924878
travestismo,2,0.0005145356315924878
