Respuesta,Frecuencia,Asociación
caso,5,0.019157088122605363
femenino,4,0.01532567049808429
esterilización,4,0.01532567049808429
mujer,3,0.011494252873563218
planificación,3,0.011494252873563218
método,2,0.007662835249042145
conocimiento,2,0.007662835249042145
deber,2,0.007662835249042145
general,2,0.007662835249042145
programa,2,0.007662835249042145
nacional,2,0.007662835249042145
cuyo,2,0.007662835249042145
indicar,2,0.007662835249042145
psicológico,2,0.007662835249042145
condición,2,0.007662835249042145
experiencia,2,0.007662835249042145
reproductivo,2,0.007662835249042145
hombre,2,0.007662835249042145
familiar,2,0.007662835249042145
temor,2,0.007662835249042145
contraindicar,2,0.007662835249042145
decisión,2,0.007662835249042145
dudoso,2,0.007662835249042145
inmaduro,2,0.007662835249042145
anticoncepción,2,0.007662835249042145
sexualidad,1,0.0038314176245210726
proponer,1,0.0038314176245210726
trabajo,1,0.0038314176245210726
méxico,1,0.0038314176245210726
pretender,1,0.0038314176245210726
proceso,1,0.0038314176245210726
seguir,1,0.0038314176245210726
etcétera,1,0.0038314176245210726
específico,1,0.0038314176245210726
perspectiva,1,0.0038314176245210726
barrera,1,0.0038314176245210726
comunicación,1,0.0038314176245210726
población,1,0.0038314176245210726
necesario,1,0.0038314176245210726
sistemático,1,0.0038314176245210726
existir,1,0.0038314176245210726
actual,1,0.0038314176245210726
propuesta,1,0.0038314176245210726
necesidad,1,0.0038314176245210726
particular,1,0.0038314176245210726
forma,1,0.0038314176245210726
factor,1,0.0038314176245210726
informar,1,0.0038314176245210726
ámbito,1,0.0038314176245210726
salud,1,0.0038314176245210726
investigación,1,0.0038314176245210726
año,1,0.0038314176245210726
estudio,1,0.0038314176245210726
análisis,1,0.0038314176245210726
necesitar,1,0.0038314176245210726
cualquiera,1,0.0038314176245210726
documentar,1,0.0038314176245210726
corresponder,1,0.0038314176245210726
lugar,1,0.0038314176245210726
usuario,1,0.0038314176245210726
tipo,1,0.0038314176245210726
b,1,0.0038314176245210726
c,1,0.0038314176245210726
libre,1,0.0038314176245210726
mostrar,1,0.0038314176245210726
autor,1,0.0038314176245210726
utilizar,1,0.0038314176245210726
escribir,1,0.0038314176245210726
número,1,0.0038314176245210726
duda,1,0.0038314176245210726
establecer,1,0.0038314176245210726
trabajar,1,0.0038314176245210726
sección,1,0.0038314176245210726
apartado,1,0.0038314176245210726
biológico,1,0.0038314176245210726
incluir,1,0.0038314176245210726
oral,1,0.0038314176245210726
sujeto,1,0.0038314176245210726
masculino,1,0.0038314176245210726
enfermedad,1,0.0038314176245210726
diferencia,1,0.0038314176245210726
individuo,1,0.0038314176245210726
pareja,1,0.0038314176245210726
función,1,0.0038314176245210726
edad,1,0.0038314176245210726
incorporar,1,0.0038314176245210726
campo,1,0.0038314176245210726
servicio,1,0.0038314176245210726
discusión,1,0.0038314176245210726
característica,1,0.0038314176245210726
persona,1,0.0038314176245210726
eliminar,1,0.0038314176245210726
dejar,1,0.0038314176245210726
reflejar,1,0.0038314176245210726
significativo,1,0.0038314176245210726
definitivo,1,0.0038314176245210726
generalmente,1,0.0038314176245210726
ayudar,1,0.0038314176245210726
apoyo,1,0.0038314176245210726
aumentar,1,0.0038314176245210726
actitud,1,0.0038314176245210726
práctica,1,0.0038314176245210726
método_anticonceptivo,1,0.0038314176245210726
considerar,1,0.0038314176245210726
15,1,0.0038314176245210726
responsable,1,0.0038314176245210726
añadir,1,0.0038314176245210726
aparecer,1,0.0038314176245210726
norma,1,0.0038314176245210726
únicamente,1,0.0038314176245210726
prevenir,1,0.0038314176245210726
ley,1,0.0038314176245210726
nombrar,1,0.0038314176245210726
hijo,1,0.0038314176245210726
diferenciar,1,0.0038314176245210726
historia,1,0.0038314176245210726
esperar,1,0.0038314176245210726
sexualmente,1,0.0038314176245210726
disponer,1,0.0038314176245210726
especial,1,0.0038314176245210726
incidencia,1,0.0038314176245210726
laboral,1,0.0038314176245210726
crianza,1,0.0038314176245210726
transición,1,0.0038314176245210726
reducir,1,0.0038314176245210726
optar,1,0.0038314176245210726
individual,1,0.0038314176245210726
2002,1,0.0038314176245210726
varón,1,0.0038314176245210726
atención,1,0.0038314176245210726
efecto,1,0.0038314176245210726
píldora,1,0.0038314176245210726
señalar,1,0.0038314176245210726
anillo,1,0.0038314176245210726
diu,1,0.0038314176245210726
parche,1,0.0038314176245210726
abstinencia,1,0.0038314176245210726
quirúrgico,1,0.0038314176245210726
ligadura_de_trompa,1,0.0038314176245210726
violencia,1,0.0038314176245210726
relativamente,1,0.0038314176245210726
reciente,1,0.0038314176245210726
curiosamente,1,0.0038314176245210726
integralmente,1,0.0038314176245210726
reduciéndose,1,0.0038314176245210726
impulsar,1,0.0038314176245210726
condón,1,0.0038314176245210726
conferencia,1,0.0038314176245210726
internacional,1,0.0038314176245210726
emerger,1,0.0038314176245210726
49,1,0.0038314176245210726
escala,1,0.0038314176245210726
19,1,0.0038314176245210726
cirugía,1,0.0038314176245210726
demografía,1,0.0038314176245210726
sonoro,1,0.0038314176245210726
reflexión,1,0.0038314176245210726
preferencia,1,0.0038314176245210726
fecundidad,1,0.0038314176245210726
d,1,0.0038314176245210726
transmisiblesse,1,0.0038314176245210726
captar,1,0.0038314176245210726
oclusión,1,0.0038314176245210726
tubario,1,0.0038314176245210726
bilateral,1,0.0038314176245210726
procedimiento,1,0.0038314176245210726
diferir,1,0.0038314176245210726
amidem,1,0.0038314176245210726
1986a,1,0.0038314176245210726
psicológicamente,1,0.0038314176245210726
oposición,1,0.0038314176245210726
anticonceptivo,1,0.0038314176245210726
aceptación,1,0.0038314176245210726
américa,1,0.0038314176245210726
latino,1,0.0038314176245210726
involucrar,1,0.0038314176245210726
recurrir,1,0.0038314176245210726
marital,1,0.0038314176245210726
pobre,1,0.0038314176245210726
vincular,1,0.0038314176245210726
privilegiar,1,0.0038314176245210726
participación,1,0.0038314176245210726
autodestrucción,1,0.0038314176245210726
cobertura,1,0.0038314176245210726
70,1,0.0038314176245210726
promedio,1,0.0038314176245210726
51,1,0.0038314176245210726
mortalidad,1,0.0038314176245210726
materno,1,0.0038314176245210726
48,1,0.0038314176245210726
10000,1,0.0038314176245210726
nacido,1,0.0038314176245210726
vivo,1,0.0038314176245210726
50,1,0.0038314176245210726
suministrar,1,0.0038314176245210726
hormonal,1,0.0038314176245210726
inyectable,1,0.0038314176245210726
subdérmico,1,0.0038314176245210726
dispositivo,1,0.0038314176245210726
intrauterino,1,0.0038314176245210726
espermicidas,1,0.0038314176245210726
reportar,1,0.0038314176245210726
oficial,1,0.0038314176245210726
estrilización,1,0.0038314176245210726
juan,1,0.0038314176245210726
guillermo,1,0.0038314176245210726
figueroa,1,0.0038314176245210726
blanco,1,0.0038314176245210726
margarita,1,0.0038314176245210726
aguilar,1,0.0038314176245210726
ganado,1,0.0038314176245210726
maría,1,0.0038314176245210726
gabriela,1,0.0038314176245210726
hito,1,0.0038314176245210726
antecedente,1,0.0038314176245210726
obstétrico,1,0.0038314176245210726
contraindicación,1,0.0038314176245210726
solicitar,1,0.0038314176245210726
lineamiento,1,0.0038314176245210726
prescripción,1,0.0038314176245210726
consentimiento,1,0.0038314176245210726
esposo,1,0.0038314176245210726
irreversible,1,0.0038314176245210726
preceder,1,0.0038314176245210726
consejería,1,0.0038314176245210726
autorización,1,0.0038314176245210726
representante,1,0.0038314176245210726
