Respuesta,Frecuencia,Asociación
deber,2,0.01639344262295082
sexual,2,0.01639344262295082
tomar,2,0.01639344262295082
relación_sexual,2,0.01639344262295082
enfermedad,2,0.01639344262295082
transmisión,2,0.01639344262295082
llamar,2,0.01639344262295082
siglo,2,0.01639344262295082
uretritis,2,0.01639344262295082
gonocócico,2,0.01639344262295082
problema,1,0.00819672131147541
humano,1,0.00819672131147541
riesgo,1,0.00819672131147541
ámbito,1,0.00819672131147541
caber,1,0.00819672131147541
investigación,1,0.00819672131147541
cabo,1,0.00819672131147541
cuyo,1,0.00819672131147541
público,1,0.00819672131147541
tipo,1,0.00819672131147541
1,1,0.00819672131147541
caso,1,0.00819672131147541
actividad,1,0.00819672131147541
clasificar,1,0.00819672131147541
comportamiento,1,0.00819672131147541
tiempo,1,0.00819672131147541
medida,1,0.00819672131147541
ejemplo,1,0.00819672131147541
importancia,1,0.00819672131147541
especificar,1,0.00819672131147541
vivir,1,0.00819672131147541
aumentar,1,0.00819672131147541
curso,1,0.00819672131147541
producir,1,0.00819672131147541
único,1,0.00819672131147541
asociar,1,0.00819672131147541
considerar,1,0.00819672131147541
aparecer,1,0.00819672131147541
xix,1,0.00819672131147541
médico,1,0.00819672131147541
mujer,1,0.00819672131147541
predominantemente,1,0.00819672131147541
infección,1,0.00819672131147541
genital,1,0.00819672131147541
comportar,1,0.00819672131147541
especial,1,0.00819672131147541
cambiar,1,0.00819672131147541
obstante,1,0.00819672131147541
panorama,1,0.00819672131147541
laboratorio,1,0.00819672131147541
exceso,1,0.00819672131147541
europa,1,0.00819672131147541
protección,1,0.00819672131147541
indicio,1,0.00819672131147541
frecuencia,1,0.00819672131147541
paciente,1,0.00819672131147541
prostituta,1,0.00819672131147541
n,1,0.00819672131147541
xvii,1,0.00819672131147541
research,1,0.00819672131147541
lesión,1,0.00819672131147541
prototipo,1,0.00819672131147541
xv,1,0.00819672131147541
propagación,1,0.00819672131147541
prostitución,1,0.00819672131147541
tradicionalmente,1,0.00819672131147541
aclarar,1,0.00819672131147541
asintomático,1,0.00819672131147541
circunscribir,1,0.00819672131147541
oscilar,1,0.00819672131147541
virus,1,0.00819672131147541
huésped,1,0.00819672131147541
padecimiento,1,0.00819672131147541
castigo,1,0.00819672131147541
puritanismo,1,0.00819672131147541
demandar,1,0.00819672131147541
especificación,1,0.00819672131147541
tropismo,1,0.00819672131147541
mucosa,1,0.00819672131147541
disease,1,0.00819672131147541
3224,1,0.00819672131147541
vb,1,0.00819672131147541
vaginosis_bacteriano,1,0.00819672131147541
3225,1,0.00819672131147541
vdrl,1,0.00819672131147541
veneral,1,0.00819672131147541
laboratory,1,0.00819672131147541
3226,1,0.00819672131147541
vha,1,0.00819672131147541
hepatitis,1,0.00819672131147541
3227,1,0.00819672131147541
vhb,1,0.00819672131147541
herpes_simple,1,0.00819672131147541
a61,1,0.00819672131147541
a62,1,0.00819672131147541
verruga,1,0.00819672131147541
anogenitales,1,0.00819672131147541
a63,1,0.00819672131147541
a64,1,0.00819672131147541
tempranamente,1,0.00819672131147541
gonorrea,1,0.00819672131147541
sífilis,1,0.00819672131147541
chancroide,1,0.00819672131147541
úlcera,1,0.00819672131147541
ureaplasma,1,0.00819672131147541
urealyticum,1,0.00819672131147541
myclopasma,1,0.00819672131147541
genitalium,1,0.00819672131147541
gonorrhoeae,1,0.00819672131147541
sádico,1,0.00819672131147541
masoquista,1,0.00819672131147541
celestial,1,0.00819672131147541
