Respuesta,Frecuencia,Asociación
riesgo,2,0.0111731843575419
considerar,2,0.0111731843575419
mujer,2,0.0111731843575419
internacional,2,0.0111731843575419
sádico,2,0.0111731843575419
masoquista,2,0.0111731843575419
durango,2,0.0111731843575419
sexualidad,1,0.00558659217877095
término,1,0.00558659217877095
sentar,1,0.00558659217877095
basar,1,0.00558659217877095
problema,1,0.00558659217877095
humano,1,0.00558659217877095
encontrar,1,0.00558659217877095
permitir,1,0.00558659217877095
común,1,0.00558659217877095
deber,1,0.00558659217877095
población,1,0.00558659217877095
necesario,1,0.00558659217877095
existir,1,0.00558659217877095
ejercicio,1,0.00558659217877095
necesidad,1,0.00558659217877095
educación,1,0.00558659217877095
impartir,1,0.00558659217877095
sexual,1,0.00558659217877095
salud,1,0.00558659217877095
buscar,1,0.00558659217877095
año,1,0.00558659217877095
estudio,1,0.00558659217877095
público,1,0.00558659217877095
resultar,1,0.00558659217877095
joven,1,0.00558659217877095
adulto,1,0.00558659217877095
casa,1,0.00558659217877095
camino,1,0.00558659217877095
límite,1,0.00558659217877095
exponer,1,0.00558659217877095
estructura,1,0.00558659217877095
cuestión,1,0.00558659217877095
orgasmo,1,0.00558659217877095
sujeto,1,0.00558659217877095
orientación_sexual,1,0.00558659217877095
heterosexualidad,1,0.00558659217877095
actividad,1,0.00558659217877095
individuo,1,0.00558659217877095
pareja,1,0.00558659217877095
abuso,1,0.00558659217877095
escuela,1,0.00558659217877095
privar,1,0.00558659217877095
persona,1,0.00558659217877095
cosa,1,0.00558659217877095
acercamiento,1,0.00558659217877095
porcentaje,1,0.00558659217877095
do,1,0.00558659217877095
discriminación,1,0.00558659217877095
autónomo,1,0.00558659217877095
aplicar,1,0.00558659217877095
adolescente,1,0.00558659217877095
creer,1,0.00558659217877095
salir,1,0.00558659217877095
perpetuar,1,0.00558659217877095
mito,1,0.00558659217877095
correr,1,0.00558659217877095
abortar,1,0.00558659217877095
entrevista,1,0.00558659217877095
notificar,1,0.00558659217877095
peligro,1,0.00558659217877095
científico,1,0.00558659217877095
tabú,1,0.00558659217877095
norma,1,0.00558659217877095
enfoque,1,0.00558659217877095
derecho,1,0.00558659217877095
sufrir,1,0.00558659217877095
niñez,1,0.00558659217877095
homosexual,1,0.00558659217877095
padre,1,0.00558659217877095
sida,1,0.00558659217877095
interpretar,1,0.00558659217877095
actuar,1,0.00558659217877095
unir,1,0.00558659217877095
permanecer,1,0.00558659217877095
autonomía,1,0.00558659217877095
frontera,1,0.00558659217877095
afirmar,1,0.00558659217877095
acto,1,0.00558659217877095
amigo,1,0.00558659217877095
acompañar,1,0.00558659217877095
sorprender,1,0.00558659217877095
acudir,1,0.00558659217877095
combinación,1,0.00558659217877095
probable,1,0.00558659217877095
favor,1,0.00558659217877095
probabilidad,1,0.00558659217877095
alcanzar,1,0.00558659217877095
obligar,1,0.00558659217877095
alemán,1,0.00558659217877095
tribunal,1,0.00558659217877095
sentencia,1,0.00558659217877095
reproducir,1,0.00558659217877095
latino,1,0.00558659217877095
amparar,1,0.00558659217877095
supremo,1,0.00558659217877095
1992,1,0.00558659217877095
constitución,1,0.00558659217877095
preñar,1,0.00558659217877095
juez,1,0.00558659217877095
viajar,1,0.00558659217877095
inglaterra,1,0.00558659217877095
parir,1,0.00558659217877095
caminar,1,0.00558659217877095
frecuencia,1,0.00558659217877095
peligroso,1,0.00558659217877095
deficiente,1,0.00558659217877095
rural,1,0.00558659217877095
indígena,1,0.00558659217877095
exclusión,1,0.00558659217877095
arriesgar,1,0.00558659217877095
vida_sexual,1,0.00558659217877095
antro,1,0.00558659217877095
mañana,1,0.00558659217877095
7,1,0.00558659217877095
seguro,1,0.00558659217877095
religioso,1,0.00558659217877095
retroalimentación,1,0.00558659217877095
mutuo,1,0.00558659217877095
interpretación,1,0.00558659217877095
conectar,1,0.00558659217877095
atávico,1,0.00558659217877095
liminar,1,0.00558659217877095
divino,1,0.00558659217877095
hibris,1,0.00558659217877095
griego,1,0.00558659217877095
comité,1,0.00558659217877095
nación,1,0.00558659217877095
estándar,1,0.00558659217877095
entidad,1,0.00558659217877095
amnistía,1,0.00558659217877095
ubicar,1,0.00558659217877095
evidenciar,1,0.00558659217877095
psicoterapéutico,1,0.00558659217877095
corregir,1,0.00558659217877095
enunciar,1,0.00558659217877095
foucault,1,0.00558659217877095
universalidad,1,0.00558659217877095
amenazar,1,0.00558659217877095
valórica,1,0.00558659217877095
psiquiatría,1,0.00558659217877095
beneﬁcencia,1,0.00558659217877095
básicamente,1,0.00558659217877095
moralmente,1,0.00558659217877095
reprobable,1,0.00558659217877095
beneﬁcioso,1,0.00558659217877095
naturalmente,1,0.00558659217877095
negro,1,0.00558659217877095
asiático,1,0.00558659217877095
atrapar,1,0.00558659217877095
aterrorizar,1,0.00558659217877095
consentir,1,0.00558659217877095
específicamente,1,0.00558659217877095
anuncio,1,0.00558659217877095
satisfacer,1,0.00558659217877095
ocurrir,1,0.00558659217877095
ciudad,1,0.00558659217877095
yéssica,1,0.00558659217877095
yadira,1,0.00558659217877095
díaz,1,0.00558659217877095
19,1,0.00558659217877095
denunciar,1,0.00558659217877095
agencia,1,0.00558659217877095
ministerio,1,0.00558659217877095
levantar,1,0.00558659217877095
denuncia,1,0.00558659217877095
