Respuesta,Frecuencia,Asociación
mujer,59,0.016694963214487834
sexual,56,0.01584606677985286
niñez,50,0.014148273910582909
físico,46,0.013016411997736276
vida,40,0.011318619128466326
estudio,29,0.008205998868138087
variable,29,0.008205998868138087
violación,26,0.007357102433503113
edad,25,0.007074136955291454
víctima,25,0.007074136955291454
pareja,24,0.006791171477079796
abuso,23,0.006508205998868138
caso,22,0.00622524052065648
salud,20,0.005659309564233163
doméstico,19,0.005376344086021506
adulto,18,0.0050933786078098476
experiencia,18,0.0050933786078098476
sufrir,17,0.004810413129598189
muerte,16,0.004527447651386531
encontrar,14,0.003961516694963215
social,14,0.003961516694963215
tipo,14,0.003961516694963215
persona,14,0.003961516694963215
considerar,14,0.003961516694963215
hombre,13,0.0036785512167515563
experimentar,13,0.0036785512167515563
revictimización,13,0.0036785512167515563
sexualidad,12,0.003395585738539898
deber,12,0.003395585738539898
obtener,12,0.003395585738539898
1,12,0.003395585738539898
familiar,12,0.003395585738539898
existir,11,0.00311262026032824
derecho,11,0.00311262026032824
0,11,0.00311262026032824
trabajo,10,0.0028296547821165816
asociación,10,0.0028296547821165816
posibilidad,10,0.0028296547821165816
problema,9,0.0025466893039049238
población,9,0.0025466893039049238
información,9,0.0025466893039049238
presentar,9,0.0025466893039049238
año,9,0.0025466893039049238
discriminación,9,0.0025466893039049238
ley,9,0.0025466893039049238
mexicano,8,0.0022637238256932655
análisis,8,0.0022637238256932655
2,8,0.0022637238256932655
niño,8,0.0022637238256932655
incluir,8,0.0022637238256932655
fenómeno,8,0.0022637238256932655
general,7,0.0019807583474816073
forma,7,0.0019807583474816073
factor,7,0.0019807583474816073
riesgo,7,0.0019807583474816073
investigación,7,0.0019807583474816073
b,7,0.0019807583474816073
género,7,0.0019807583474816073
indicar,7,0.0019807583474816073
masculino,7,0.0019807583474816073
relación,7,0.0019807583474816073
adolescente,7,0.0019807583474816073
práctica,7,0.0019807583474816073
15,7,0.0019807583474816073
efecto,7,0.0019807583474816073
civil,7,0.0019807583474816073
morir,7,0.0019807583474816073
emocional,7,0.0019807583474816073
delito,7,0.0019807583474816073
dicotómico,7,0.0019807583474816073
diverso,6,0.001697792869269949
ejercicio,6,0.001697792869269949
mostrar,6,0.001697792869269949
evaluar,6,0.001697792869269949
establecer,6,0.001697792869269949
psicológico,6,0.001697792869269949
enfermedad,6,0.001697792869269949
servicio,6,0.001697792869269949
do,6,0.001697792869269949
resultado,6,0.001697792869269949
asociar,6,0.001697792869269949
simbólico,6,0.001697792869269949
varón,6,0.001697792869269949
erotismo,6,0.001697792869269949
categoría,6,0.001697792869269949
hogar,6,0.001697792869269949
esposo,6,0.001697792869269949
mes,6,0.001697792869269949
proteger,6,0.001697792869269949
regresión,6,0.001697792869269949
logístico,6,0.001697792869269949
reactivo,6,0.001697792869269949
en_cuatro,6,0.001697792869269949
artículo,5,0.0014148273910582908
específico,5,0.0014148273910582908
ámbito,5,0.0014148273910582908
constituir,5,0.0014148273910582908
mundial,5,0.0014148273910582908
grupo,5,0.0014148273910582908
desarrollo,5,0.0014148273910582908
etapa,5,0.0014148273910582908
público,5,0.0014148273910582908
presente,5,0.0014148273910582908
libre,5,0.0014148273910582908
autor,5,0.0014148273910582908
construir,5,0.0014148273910582908
cuerpo,5,0.0014148273910582908
familia,5,0.0014148273910582908
sociedad,5,0.0014148273910582908
ejemplo,5,0.0014148273910582908
consecuencia,5,0.0014148273910582908
recibir,5,0.0014148273910582908
convertir,5,0.0014148273910582908
enfrentar,5,0.0014148273910582908
menor,5,0.0014148273910582908
médico,5,0.0014148273910582908
observar,5,0.0014148273910582908
múltiple,5,0.0014148273910582908
autonomía,5,0.0014148273910582908
acto,5,0.0014148273910582908
atención,5,0.0014148273910582908
corte,5,0.0014148273910582908
12,5,0.0014148273910582908
procedimiento,5,0.0014148273910582908
masculinidad,5,0.0014148273910582908
sancionar,5,0.0014148273910582908
golpe,5,0.0014148273910582908
frecuencia,5,0.0014148273910582908
metodología,4,0.0011318619128466328
estudiar,4,0.0011318619128466328
proceso,4,0.0011318619128466328
tratar,4,0.0011318619128466328
existente,4,0.0011318619128466328
actual,4,0.0011318619128466328
atender,4,0.0011318619128466328
buscar,4,0.0011318619128466328
acción,4,0.0011318619128466328
modelo,4,0.0011318619128466328
joven,4,0.0011318619128466328
3,4,0.0011318619128466328
exponer,4,0.0011318619128466328
realidad,4,0.0011318619128466328
distinto,4,0.0011318619128466328
placer,4,0.0011318619128466328
relación_sexual,4,0.0011318619128466328
femenino,4,0.0011318619128466328
transmisión,4,0.0011318619128466328
individuo,4,0.0011318619128466328
referir,4,0.0011318619128466328
analizar,4,0.0011318619128466328
asimismo,4,0.0011318619128466328
cambio,4,0.0011318619128466328
vivir,4,0.0011318619128466328
entender,4,0.0011318619128466328
positivo,4,0.0011318619128466328
prevenir,4,0.0011318619128466328
infección,4,0.0011318619128466328
patrón,4,0.0011318619128466328
afectar,4,0.0011318619128466328
generar,4,0.0011318619128466328
media,4,0.0011318619128466328
grado,4,0.0011318619128466328
310,4,0.0011318619128466328
vivencia,4,0.0011318619128466328
2003,4,0.0011318619128466328
padecer,4,0.0011318619128466328
favorecer,4,0.0011318619128466328
seguro,4,0.0011318619128466328
ocurrir,4,0.0011318619128466328
vulnerabilidad,4,0.0011318619128466328
clandestino,4,0.0011318619128466328
pobreza,4,0.0011318619128466328
interdicto,4,0.0011318619128466328
migrante,4,0.0011318619128466328
vihsida,4,0.0011318619128466328
miembro,4,0.0011318619128466328
intrafamiliar,4,0.0011318619128466328
penal,4,0.0011318619128466328
ic95,4,0.0011318619128466328
escolaridad,4,0.0011318619128466328
medir,4,0.0011318619128466328
gravedad,4,0.0011318619128466328
distrito,4,0.0011318619128466328
méxico,3,0.0008488964346349745
tema,3,0.0008488964346349745
humano,3,0.0008488964346349745
aunar,3,0.0008488964346349745
elemento,3,0.0008488964346349745
necesario,3,0.0008488964346349745
necesidad,3,0.0008488964346349745
programa,3,0.0008488964346349745
relacionar,3,0.0008488964346349745
fuente,3,0.0008488964346349745
dato,3,0.0008488964346349745
contexto,3,0.0008488964346349745
punto,3,0.0008488964346349745
llegar,3,0.0008488964346349745
histórico,3,0.0008488964346349745
técnica,3,0.0008488964346349745
efectivo,3,0.0008488964346349745
posterior,3,0.0008488964346349745
utilizar,3,0.0008488964346349745
conformar,3,0.0008488964346349745
trabajar,3,0.0008488964346349745
actualmente,3,0.0008488964346349745
razón,3,0.0008488964346349745
vía,3,0.0008488964346349745
actividad,3,0.0008488964346349745
limitación,3,0.0008488964346349745
reconocimiento,3,0.0008488964346349745
medida,3,0.0008488964346349745
característica,3,0.0008488964346349745
convención,3,0.0008488964346349745
determinar,3,0.0008488964346349745
condición,3,0.0008488964346349745
importancia,3,0.0008488964346349745
sistema,3,0.0008488964346349745
conclusión,3,0.0008488964346349745
sentir,3,0.0008488964346349745
manejo,3,0.0008488964346349745
conducta,3,0.0008488964346349745
clase,3,0.0008488964346349745
preguntar,3,0.0008488964346349745
existencia,3,0.0008488964346349745
deseo,3,0.0008488964346349745
repercusión,3,0.0008488964346349745
fuerza,3,0.0008488964346349745
gobierno,3,0.0008488964346349745
matrimonio,3,0.0008488964346349745
causa,3,0.0008488964346349745
movimiento,3,0.0008488964346349745
mantener,3,0.0008488964346349745
proporción,3,0.0008488964346349745
frente,3,0.0008488964346349745
sentimiento,3,0.0008488964346349745
personal,3,0.0008488964346349745
surgir,3,0.0008488964346349745
extremo,3,0.0008488964346349745
libertad,3,0.0008488964346349745
repetición,3,0.0008488964346349745
dinámica,3,0.0008488964346349745
imponer,3,0.0008488964346349745
justicia,3,0.0008488964346349745
económico,3,0.0008488964346349745
juez,3,0.0008488964346349745
equiparar,3,0.0008488964346349745
reciente,3,0.0008488964346349745
salida,3,0.0008488964346349745
exceso,3,0.0008488964346349745
lesión,3,0.0008488964346349745
violento,3,0.0008488964346349745
conferencia,3,0.0008488964346349745
muerto,3,0.0008488964346349745
fiesta,3,0.0008488964346349745
bastar,3,0.0008488964346349745
sacrificio,3,0.0008488964346349745
transgresión,3,0.0008488964346349745
vihit,3,0.0008488964346349745
estructural,3,0.0008488964346349745
protección,3,0.0008488964346349745
sometimiento,3,0.0008488964346349745
entidad,3,0.0008488964346349745
soler,3,0.0008488964346349745
