Respuesta,Frecuencia,Asociación
mujer,5,0.017857142857142856
matrimonio,4,0.014285714285714285
cosa,3,0.010714285714285714
considerar,3,0.010714285714285714
culto,3,0.010714285714285714
encontrar,2,0.007142857142857143
público,2,0.007142857142857143
casa,2,0.007142857142857143
relación_sexual,2,0.007142857142857143
cambio,2,0.007142857142857143
iglesia,2,0.007142857142857143
hijo,2,0.007142857142857143
admitir,2,0.007142857142857143
expectativa,2,0.007142857142857143
mantener,2,0.007142857142857143
alfombra,2,0.007142857142857143
católico,2,0.007142857142857143
matar,2,0.007142857142857143
contraer,2,0.007142857142857143
its,2,0.007142857142857143
vihsida,2,0.007142857142857143
tacto,2,0.007142857142857143
capitana,2,0.007142857142857143
visita,2,0.007142857142857143
misionero,2,0.007142857142857143
lograr,2,0.007142857142857143
cacique,2,0.007142857142857143
capitán,2,0.007142857142857143
probablemente,2,0.007142857142857143
impropio,2,0.007142857142857143
víctima,2,0.007142857142857143
delito,2,0.007142857142857143
rapto,2,0.007142857142857143
sexualidad,1,0.0035714285714285713
méxico,1,0.0035714285714285713
sentar,1,0.0035714285714285713
humano,1,0.0035714285714285713
social,1,0.0035714285714285713
país,1,0.0035714285714285713
existir,1,0.0035714285714285713
mayoría,1,0.0035714285714285713
responder,1,0.0035714285714285713
necesidad,1,0.0035714285714285713
particular,1,0.0035714285714285713
mexicano,1,0.0035714285714285713
educación_sexual,1,0.0035714285714285713
riesgo,1,0.0035714285714285713
organización,1,0.0035714285714285713
año,1,0.0035714285714285713
principal,1,0.0035714285714285713
importante,1,0.0035714285714285713
depender,1,0.0035714285714285713
lugar,1,0.0035714285714285713
mostrar,1,0.0035714285714285713
llegar,1,0.0035714285714285713
delimitar,1,0.0035714285714285713
1,1,0.0035714285714285713
exponer,1,0.0035714285714285713
abarcar,1,0.0035714285714285713
caso,1,0.0035714285714285713
origen,1,0.0035714285714285713
objeto,1,0.0035714285714285713
razón,1,0.0035714285714285713
placer,1,0.0035714285714285713
dedicar,1,0.0035714285714285713
pareja,1,0.0035714285714285713
edad,1,0.0035714285714285713
facilidad,1,0.0035714285714285713
porcentaje,1,0.0035714285714285713
do,1,0.0035714285714285713
relativo,1,0.0035714285714285713
desear,1,0.0035714285714285713
imagen,1,0.0035714285714285713
creer,1,0.0035714285714285713
aprender,1,0.0035714285714285713
convertir,1,0.0035714285714285713
salir,1,0.0035714285714285713
2001,1,0.0035714285714285713
cerca,1,0.0035714285714285713
gestación,1,0.0035714285714285713
físico,1,0.0035714285714285713
entrevista,1,0.0035714285714285713
18,1,0.0035714285714285713
regular,1,0.0035714285714285713
extender,1,0.0035714285714285713
liberal,1,0.0035714285714285713
escuchar,1,0.0035714285714285713
sexo,1,0.0035714285714285713
existencia,1,0.0035714285714285713
deseo,1,0.0035714285714285713
vida,1,0.0035714285714285713
nacer,1,0.0035714285714285713
45,1,0.0035714285714285713
excepción,1,0.0035714285714285713
ley,1,0.0035714285714285713
aspecto,1,0.0035714285714285713
rol_de_género,1,0.0035714285714285713
latinoamericano,1,0.0035714285714285713
sida,1,0.0035714285714285713
exigir,1,0.0035714285714285713
violación,1,0.0035714285714285713
hombre,1,0.0035714285714285713
música,1,0.0035714285714285713
script,1,0.0035714285714285713
letra,1,0.0035714285714285713
amoroso,1,0.0035714285714285713
rigidizan,1,0.0035714285714285713
gato,1,0.0035714285714285713
quitar,1,0.0035714285714285713
velo,1,0.0035714285714285713
doler,1,0.0035714285714285713
portar,1,0.0035714285714285713
látigo,1,0.0035714285714285713
lanzar,1,0.0035714285714285713
útero,1,0.0035714285714285713
materno,1,0.0035714285714285713
emprender,1,0.0035714285714285713
viaje,1,0.0035714285714285713
iniciático,1,0.0035714285714285713
deidad,1,0.0035714285714285713
negro,1,0.0035714285714285713
soler,1,0.0035714285714285713
enclave,1,0.0035714285714285713
sostener,1,0.0035714285714285713
antiguo,1,0.0035714285714285713
milagroso,1,0.0035714285714285713
tradición,1,0.0035714285714285713
sima,1,0.0035714285714285713
vió,1,0.0035714285714285713
erección,1,0.0035714285714285713
empezar,1,0.0035714285714285713
masturbar,1,0.0035714285714285713
imposible,1,0.0035714285714285713
amor,1,0.0035714285714285713
cadáver,1,0.0035714285714285713
estabamos,1,0.0035714285714285713
contento,1,0.0035714285714285713
justo,1,0.0035714285714285713
daño,1,0.0035714285714285713
levantar,1,0.0035714285714285713
