Respuesta,Frecuencia,Asociación
mujer,12,0.016506189821182942
valor,8,0.011004126547455296
femenino,6,0.008253094910591471
virtud,6,0.008253094910591471
material,5,0.0068775790921595595
joven,5,0.0068775790921595595
objeto,5,0.0068775790921595595
relación,5,0.0068775790921595595
importancia,5,0.0068775790921595595
hombre,5,0.0068775790921595595
moral,5,0.0068775790921595595
flor,5,0.0068775790921595595
himen,5,0.0068775790921595595
social,4,0.005502063273727648
sexual,4,0.005502063273727648
consistir,4,0.005502063273727648
fidelidad,4,0.005502063273727648
creer,4,0.005502063273727648
real,4,0.005502063273727648
gozar,4,0.005502063273727648
especie,4,0.005502063273727648
preocupar,4,0.005502063273727648
locura,4,0.005502063273727648
sexualidad,3,0.0041265474552957355
existir,3,0.0041265474552957355
necesidad,3,0.0041265474552957355
estudio,3,0.0041265474552957355
género,3,0.0041265474552957355
cuerpo,3,0.0041265474552957355
relación_sexual,3,0.0041265474552957355
sociedad,3,0.0041265474552957355
importar,3,0.0041265474552957355
cambio,3,0.0041265474552957355
revisión,3,0.0041265474552957355
médico,3,0.0041265474552957355
hijo,3,0.0041265474552957355
formar,3,0.0041265474552957355
anticonceptivo,3,0.0041265474552957355
dolor,3,0.0041265474552957355
corazón,3,0.0041265474552957355
castidad,3,0.0041265474552957355
estudiar,2,0.002751031636863824
tender,2,0.002751031636863824
buscar,2,0.002751031636863824
nacional,2,0.002751031636863824
central,2,0.002751031636863824
importante,2,0.002751031636863824
1,2,0.002751031636863824
rasgo,2,0.002751031636863824
pareja,2,0.002751031636863824
condición,2,0.002751031636863824
do,2,0.002751031636863824
consecuencia,2,0.002751031636863824
embarazo,2,0.002751031636863824
experiencia,2,0.002751031636863824
defender,2,0.002751031636863824
encuesta,2,0.002751031636863824
iniciar,2,0.002751031636863824
mito,2,0.002751031636863824
considerar,2,0.002751031636863824
vigilancia,2,0.002751031636863824
ley,2,0.002751031636863824
exigir,2,0.002751031636863824
admitir,2,0.002751031636863824
interpretar,2,0.002751031636863824
mundo,2,0.002751031636863824
generar,2,0.002751031636863824
disposición,2,0.002751031636863824
mantener,2,0.002751031636863824
afirmar,2,0.002751031636863824
varón,2,0.002751031636863824
evidencia,2,0.002751031636863824
legislación,2,0.002751031636863824
ejercer,2,0.002751031636863824
ciento,2,0.002751031636863824
religión,2,0.002751031636863824
cola,2,0.002751031636863824
favorable,2,0.002751031636863824
perder,2,0.002751031636863824
persistir,2,0.002751031636863824
pérdida,2,0.002751031636863824
24,2,0.002751031636863824
sangrado,2,0.002751031636863824
vigilar,2,0.002751031636863824
ocasión,2,0.002751031636863824
ideal,2,0.002751031636863824
pureza,2,0.002751031636863824
conservar,2,0.002751031636863824
fertilidad,2,0.002751031636863824
demostración,2,0.002751031636863824
primacía,2,0.002751031636863824
soltero,2,0.002751031636863824
primicia,2,0.002751031636863824
troncoso,2,0.002751031636863824
exclusivo,2,0.002751031636863824
civilizar,2,0.002751031636863824
1885,2,0.002751031636863824
bello,2,0.002751031636863824
buffon,2,0.002751031636863824
naturalista,2,0.002751031636863824
esposo,2,0.002751031636863824
sacralización,2,0.002751031636863824
honor,2,0.002751031636863824
pertenencia,2,0.002751031636863824
área,1,0.001375515818431912
méxico,1,0.001375515818431912
texto,1,0.001375515818431912
proceso,1,0.001375515818431912
tratar,1,0.001375515818431912
diverso,1,0.001375515818431912
abordar,1,0.001375515818431912
tema,1,0.001375515818431912
humano,1,0.001375515818431912
reto,1,0.001375515818431912
cantidad,1,0.001375515818431912
cultural,1,0.001375515818431912
conocimiento,1,0.001375515818431912
acercar,1,0.001375515818431912
país,1,0.001375515818431912
facilitar,1,0.001375515818431912
concepto,1,0.001375515818431912
comunicación,1,0.001375515818431912
población,1,0.001375515818431912
general,1,0.001375515818431912
mayoría,1,0.001375515818431912
criterio,1,0.001375515818431912
información,1,0.001375515818431912
sexología,1,0.001375515818431912
propuesta,1,0.001375515818431912
principalmente,1,0.001375515818431912
conjunto,1,0.001375515818431912
mexicano,1,0.001375515818431912
atender,1,0.001375515818431912
educación_sexual,1,0.001375515818431912
forma,1,0.001375515818431912
constituir,1,0.001375515818431912
salud,1,0.001375515818431912
2000,1,0.001375515818431912
relacionar,1,0.001375515818431912
avance,1,0.001375515818431912
investigación,1,0.001375515818431912
presentar,1,0.001375515818431912
grupo,1,0.001375515818431912
año,1,0.001375515818431912
finalidad,1,0.001375515818431912
crear,1,0.001375515818431912
amplio,1,0.001375515818431912
principal,1,0.001375515818431912
requerir,1,0.001375515818431912
depender,1,0.001375515818431912
esencialmente,1,0.001375515818431912
abrir,1,0.001375515818431912
servir,1,0.001375515818431912
acceso,1,0.001375515818431912
énfasis,1,0.001375515818431912
contener,1,0.001375515818431912
niño,1,0.001375515818431912
b,1,0.001375515818431912
c,1,0.001375515818431912
adulto,1,0.001375515818431912
adicional,1,0.001375515818431912
papel,1,0.001375515818431912
adecuar,1,0.001375515818431912
mostrar,1,0.001375515818431912
llegar,1,0.001375515818431912
idea,1,0.001375515818431912
nombre,1,0.001375515818431912
integrar,1,0.001375515818431912
construir,1,0.001375515818431912
derivar,1,0.001375515818431912
escribir,1,0.001375515818431912
hablar,1,0.001375515818431912
conformar,1,0.001375515818431912
número,1,0.001375515818431912
registro,1,0.001375515818431912
pasar,1,0.001375515818431912
establecer,1,0.001375515818431912
realidad,1,0.001375515818431912
tomar,1,0.001375515818431912
caso,1,0.001375515818431912
instituto,1,0.001375515818431912
describir,1,0.001375515818431912
querer,1,0.001375515818431912
otorgar,1,0.001375515818431912
representar,1,0.001375515818431912
distinto,1,0.001375515818431912
anatomía,1,0.001375515818431912
control,1,0.001375515818431912
razón,1,0.001375515818431912
incluir,1,0.001375515818431912
comportamiento_sexual,1,0.001375515818431912
actividad_sexual,1,0.001375515818431912
coito,1,0.001375515818431912
