Respuesta,Frecuencia,Asociación
masculinidad,2,0.10526315789473684
cultural,1,0.05263157894736842
contexto,1,0.05263157894736842
papel,1,0.05263157894736842
construir,1,0.05263157894736842
identificación,1,0.05263157894736842
significar,1,0.05263157894736842
do,1,0.05263157894736842
activo,1,0.05263157894736842
protagonista,1,0.05263157894736842
pasivo,1,0.05263157894736842
negación,1,0.05263157894736842
agresión,1,0.05263157894736842
acto_sexual,1,0.05263157894736842
implicación,1,0.05263157894736842
figurar,1,0.05263157894736842
fálico,1,0.05263157894736842
albur,1,0.05263157894736842
