Respuesta,Frecuencia,Asociación
mujer,5,0.02512562814070352
hombre,4,0.020100502512562814
penetrar,3,0.01507537688442211
sexualidad,2,0.010050251256281407
existir,2,0.010050251256281407
autor,2,0.010050251256281407
caso,2,0.010050251256281407
placer,2,0.010050251256281407
masculino,2,0.010050251256281407
ofensa,2,0.010050251256281407
prueba,2,0.010050251256281407
experiencia,2,0.010050251256281407
hijo,2,0.010050251256281407
varón,2,0.010050251256281407
atentado,2,0.010050251256281407
inmaduro,2,0.010050251256281407
implicación,2,0.010050251256281407
feminismo,2,0.010050251256281407
atentatorio,2,0.010050251256281407
lenguaje,1,0.005025125628140704
encontrar,1,0.005025125628140704
cantidad,1,0.005025125628140704
social,1,0.005025125628140704
cultural,1,0.005025125628140704
suponer,1,0.005025125628140704
propuesta,1,0.005025125628140704
factor,1,0.005025125628140704
constituir,1,0.005025125628140704
salud,1,0.005025125628140704
acción,1,0.005025125628140704
presentar,1,0.005025125628140704
año,1,0.005025125628140704
momento,1,0.005025125628140704
meta,1,0.005025125628140704
contribuir,1,0.005025125628140704
resultar,1,0.005025125628140704
obtener,1,0.005025125628140704
juego,1,0.005025125628140704
papel,1,0.005025125628140704
asegurar,1,0.005025125628140704
mostrar,1,0.005025125628140704
1,1,0.005025125628140704
implicar,1,0.005025125628140704
utilizar,1,0.005025125628140704
duda,1,0.005025125628140704
establecer,1,0.005025125628140704
biológico,1,0.005025125628140704
expresión,1,0.005025125628140704
psicológico,1,0.005025125628140704
identidad,1,0.005025125628140704
femenino,1,0.005025125628140704
relación,1,0.005025125628140704
pareja,1,0.005025125628140704
conquista,1,0.005025125628140704
familia,1,0.005025125628140704
referencia,1,0.005025125628140704
persona,1,0.005025125628140704
referir,1,0.005025125628140704
apoyar,1,0.005025125628140704
significar,1,0.005025125628140704
condición,1,0.005025125628140704
do,1,0.005025125628140704
valor,1,0.005025125628140704
consecuencia,1,0.005025125628140704
analizar,1,0.005025125628140704
activo,1,0.005025125628140704
manejo,1,0.005025125628140704
adolescente,1,0.005025125628140704
embarazo,1,0.005025125628140704
resultado,1,0.005025125628140704
creer,1,0.005025125628140704
cuestionar,1,0.005025125628140704
creencia,1,0.005025125628140704
método_anticonceptivo,1,0.005025125628140704
considerar,1,0.005025125628140704
preservativo,1,0.005025125628140704
comunidad,1,0.005025125628140704
entender,1,0.005025125628140704
ideológico,1,0.005025125628140704
vigilancia,1,0.005025125628140704
negar,1,0.005025125628140704
vida,1,0.005025125628140704
oponer,1,0.005025125628140704
demostrar,1,0.005025125628140704
argumentar,1,0.005025125628140704
obligación,1,0.005025125628140704
perseguir,1,0.005025125628140704
interpretar,1,0.005025125628140704
motivo,1,0.005025125628140704
movimiento,1,0.005025125628140704
pasivo,1,0.005025125628140704
sexualmente,1,0.005025125628140704
disponer,1,0.005025125628140704
especial,1,0.005025125628140704
cambiar,1,0.005025125628140704
unir,1,0.005025125628140704
cotidiano,1,0.005025125628140704
frente,1,0.005025125628140704
compromiso,1,0.005025125628140704
atención,1,0.005025125628140704
hermano,1,0.005025125628140704
vergüenza,1,0.005025125628140704
efecto,1,0.005025125628140704
unión,1,0.005025125628140704
reproducción,1,0.005025125628140704
alcanzar,1,0.005025125628140704
resistencia,1,0.005025125628140704
permanente,1,0.005025125628140704
madre,1,0.005025125628140704
cuidado,1,0.005025125628140704
decisión,1,0.005025125628140704
maternidad,1,0.005025125628140704
consentimiento,1,0.005025125628140704
agresión,1,0.005025125628140704
violencia,1,0.005025125628140704
temor,1,0.005025125628140704
emocional,1,0.005025125628140704
símbolo,1,0.005025125628140704
operación,1,0.005025125628140704
enfermo,1,0.005025125628140704
pérdida,1,0.005025125628140704
paz,1,0.005025125628140704
acto_sexual,1,0.005025125628140704
restar,1,0.005025125628140704
masculinidad,1,0.005025125628140704
maestría,1,0.005025125628140704
octavio,1,0.005025125628140704
dominio,1,0.005025125628140704
paternidad,1,0.005025125628140704
juicio,1,0.005025125628140704
despreciar,1,0.005025125628140704
soledad,1,0.005025125628140704
echar,1,0.005025125628140704
puro,1,0.005025125628140704
psicológicamente,1,0.005025125628140704
sustituir,1,0.005025125628140704
don_juan,1,0.005025125628140704
sonar,1,0.005025125628140704
superioridad,1,0.005025125628140704
inconsiderado,1,0.005025125628140704
fantasma,1,0.005025125628140704
pureza,1,0.005025125628140704
violentar,1,0.005025125628140704
perdedor,1,0.005025125628140704
ultraje,1,0.005025125628140704
humillación,1,0.005025125628140704
figurar,1,0.005025125628140704
adultez,1,0.005025125628140704
hirsch,1,0.005025125628140704
basándose,1,0.005025125628140704
alarde,1,0.005025125628140704
acoso_sexual,1,0.005025125628140704
fiel,1,0.005025125628140704
sentimentalismo,1,0.005025125628140704
denominación,1,0.005025125628140704
rescate,1,0.005025125628140704
restablecimiento,1,0.005025125628140704
línes,1,0.005025125628140704
mitopoéticos,1,0.005025125628140704
hombría,1,0.005025125628140704
combatir,1,0.005025125628140704
interiorizada,1,0.005025125628140704
cumplimiento,1,0.005025125628140704
tríada,1,0.005025125628140704
constitutivo,1,0.005025125628140704
correspondencia,1,0.005025125628140704
imaginario,1,0.005025125628140704
sociocultural,1,0.005025125628140704
esposo,1,0.005025125628140704
cuídate,1,0.005025125628140704
decirmujer,1,0.005025125628140704
innecesario,1,0.005025125628140704
dudoso,1,0.005025125628140704
contraindicación,1,0.005025125628140704
