Respuesta,Frecuencia,Asociación
abrir,2,0.05263157894736842
carácter,1,0.02631578947368421
cuerpo,1,0.02631578947368421
diferencia,1,0.02631578947368421
dejar,1,0.02631578947368421
do,1,0.02631578947368421
imagen,1,0.02631578947368421
luz,1,0.02631578947368421
victoriano,1,0.02631578947368421
posteriormente,1,0.02631578947368421
erótico,1,0.02631578947368421
aproximación,1,0.02631578947368421
preferir,1,0.02631578947368421
mirada,1,0.02631578947368421
procedimiento,1,0.02631578947368421
colocar,1,0.02631578947368421
herida,1,0.02631578947368421
oculto,1,0.02631578947368421
x,1,0.02631578947368421
ojo,1,0.02631578947368421
pornográfico,1,0.02631578947368421
atravesar,1,0.02631578947368421
captar,1,0.02631578947368421
juntar,1,0.02631578947368421
típico,1,0.02631578947368421
focalización,1,0.02631578947368421
foto,1,0.02631578947368421
calor,1,0.02631578947368421
microscopio,1,0.02631578947368421
espiar,1,0.02631578947368421
microscópico,1,0.02631578947368421
visor,1,0.02631578947368421
perfeccionamiento,1,0.02631578947368421
voyeurista,1,0.02631578947368421
cerradura,1,0.02631578947368421
corporalidad,1,0.02631578947368421
rayo,1,0.02631578947368421
