Respuesta,Frecuencia,Asociación
videoclip,2,0.05405405405405406
espacio,2,0.05405405405405406
sexualidad,1,0.02702702702702703
permitir,1,0.02702702702702703
deber,1,0.02702702702702703
existir,1,0.02702702702702703
actual,1,0.02702702702702703
modelo,1,0.02702702702702703
público,1,0.02702702702702703
superar,1,0.02702702702702703
contener,1,0.02702702702702703
relación,1,0.02702702702702703
privar,1,0.02702702702702703
guardar,1,0.02702702702702703
vivir,1,0.02702702702702703
experiencia,1,0.02702702702702703
adolescencia,1,0.02702702702702703
afectivosexuales,1,0.02702702702702703
menor,1,0.02702702702702703
influenciar,1,0.02702702702702703
movimiento,1,0.02702702702702703
expresar,1,0.02702702702702703
moral,1,0.02702702702702703
aceleración,1,0.02702702702702703
desordenar,1,0.02702702702702703
inmediatez,1,0.02702702702702703
acorde,1,0.02702702702702703
tele,1,0.02702702702702703
ídolo,1,0.02702702702702703
musical,1,0.02702702702702703
doble,1,0.02702702702702703
recubrir,1,0.02702702702702703
migrante,1,0.02702702702702703
disco,1,0.02702702702702703
ocurrir,1,0.02702702702702703
