Respuesta,Frecuencia,Asociación
humano,8,0.03686635944700461
espermatozoide,7,0.03225806451612903
célula,5,0.02304147465437788
gameto,4,0.018433179723502304
somático,4,0.018433179723502304
x,4,0.018433179723502304
unir,3,0.013824884792626729
cromosómico,3,0.013824884792626729
material,2,0.009216589861751152
diverso,2,0.009216589861751152
existir,2,0.009216589861751152
salud,2,0.009216589861751152
caso,2,0.009216589861751152
nivel,2,0.009216589861751152
biológico,2,0.009216589861751152
cuerpo,2,0.009216589861751152
femenino,2,0.009216589861751152
diferencia,2,0.009216589861751152
individuo,2,0.009216589861751152
posibilidad,2,0.009216589861751152
producir,2,0.009216589861751152
inicio,2,0.009216589861751152
sexo,2,0.009216589861751152
embrión,2,0.009216589861751152
tumor,2,0.009216589861751152
44,2,0.009216589861751152
vacuna,2,0.009216589861751152
cigoto,2,0.009216589861751152
mola,2,0.009216589861751152
originar,2,0.009216589861751152
cromosoma,2,0.009216589861751152
cromosoma_sexual,2,0.009216589861751152
proceso,1,0.004608294930875576
tratar,1,0.004608294930875576
perspectiva,1,0.004608294930875576
abordar,1,0.004608294930875576
tema,1,0.004608294930875576
indispensable,1,0.004608294930875576
necesidad,1,0.004608294930875576
atender,1,0.004608294930875576
organización,1,0.004608294930875576
mundial,1,0.004608294930875576
2000,1,0.004608294930875576
investigación,1,0.004608294930875576
desarrollo,1,0.004608294930875576
crear,1,0.004608294930875576
momento,1,0.004608294930875576
producto,1,0.004608294930875576
definir,1,0.004608294930875576
lugar,1,0.004608294930875576
contener,1,0.004608294930875576
tipo,1,0.004608294930875576
punto,1,0.004608294930875576
obtener,1,0.004608294930875576
esencia,1,0.004608294930875576
llegar,1,0.004608294930875576
3,1,0.004608294930875576
realidad,1,0.004608294930875576
sección,1,0.004608294930875576
distinto,1,0.004608294930875576
incluir,1,0.004608294930875576
introducir,1,0.004608294930875576
reconocer,1,0.004608294930875576
discusión,1,0.004608294930875576
persona,1,0.004608294930875576
ejemplo,1,0.004608294930875576
suficiente,1,0.004608294930875576
índice,1,0.004608294930875576
condición,1,0.004608294930875576
implementar,1,0.004608294930875576
éxito,1,0.004608294930875576
resultado,1,0.004608294930875576
concepción,1,0.004608294930875576
considerar,1,0.004608294930875576
22,1,0.004608294930875576
oms,1,0.004608294930875576
mujer,1,0.004608294930875576
infancia,1,0.004608294930875576
nacer,1,0.004608294930875576
patológico,1,0.004608294930875576
genital,1,0.004608294930875576
reproductivo,1,0.004608294930875576
iglesia,1,0.004608294930875576
perseguir,1,0.004608294930875576
hombre,1,0.004608294930875576
vagina,1,0.004608294930875576
núcleo,1,0.004608294930875576
1996,1,0.004608294930875576
dificultad,1,0.004608294930875576
chocar,1,0.004608294930875576
quedar,1,0.004608294930875576
combinar,1,0.004608294930875576
afirmar,1,0.004608294930875576
pene,1,0.004608294930875576
vista,1,0.004608294930875576
evidencia,1,0.004608294930875576
rutina,1,0.004608294930875576
d,1,0.004608294930875576
reacción,1,0.004608294930875576
reforma,1,0.004608294930875576
terapéutico,1,0.004608294930875576
prenatal,1,0.004608294930875576
crucial,1,0.004608294930875576
católico,1,0.004608294930875576
penalizar,1,0.004608294930875576
aprobar,1,0.004608294930875576
provocar,1,0.004608294930875576
embrionario,1,0.004608294930875576
fecundación,1,0.004608294930875576
evaluación,1,0.004608294930875576
inyección,1,0.004608294930875576
inmunológico,1,0.004608294930875576
hormona,1,0.004608294930875576
duplicar,1,0.004608294930875576
conducir,1,0.004608294930875576
masivo,1,0.004608294930875576
salvadoreño,1,0.004608294930875576
causar,1,0.004608294930875576
intramuscular,1,0.004608294930875576
espermia,1,0.004608294930875576
nidación,1,0.004608294930875576
fecundar,1,0.004608294930875576
antiembarazo,1,0.004608294930875576
disimular,1,0.004608294930875576
tétanos,1,0.004608294930875576
prescindir,1,0.004608294930875576
liderar,1,0.004608294930875576
constitucional,1,0.004608294930875576
tipificación,1,0.004608294930875576
penal,1,0.004608294930875576
lesión,1,0.004608294930875576
singamia,1,0.004608294930875576
evidentemente,1,0.004608294930875576
estadio,1,0.004608294930875576
adultez,1,0.004608294930875576
vejez,1,0.004608294930875576
estatus,1,0.004608294930875576
objetivismo,1,0.004608294930875576
subjetivismo,1,0.004608294930875576
modalidad,1,0.004608294930875576
ocasión,1,0.004608294930875576
evanescencia,1,0.004608294930875576
filosófico,1,0.004608294930875576
ficción,1,0.004608294930875576
transferir,1,0.004608294930875576
bovino,1,0.004608294930875576
enuclear,1,0.004608294930875576
unicidad,1,0.004608294930875576
replantear,1,0.004608294930875576
entidad,1,0.004608294930875576
transferencia,1,0.004608294930875576
nuclear,1,0.004608294930875576
desdiferenciar,1,0.004608294930875576
totipotencia,1,0.004608294930875576
infertilidad,1,0.004608294930875576
molécula,1,0.004608294930875576
adn,1,0.004608294930875576
íntegro,1,0.004608294930875576
intacto,1,0.004608294930875576
exacto,1,0.004608294930875576
panamericano,1,0.004608294930875576
opsorganización,1,0.004608294930875576
warren,1,0.004608294930875576
