Respuesta,Frecuencia,Asociación
consistir,4,0.00819672131147541
mujer,4,0.00819672131147541
momento,3,0.006147540983606557
vagina,3,0.006147540983606557
quedar,3,0.006147540983606557
resto,3,0.006147540983606557
regla,3,0.006147540983606557
cuello,3,0.006147540983606557
proceso,2,0.004098360655737705
seguir,2,0.004098360655737705
problema,2,0.004098360655737705
humano,2,0.004098360655737705
encontrar,2,0.004098360655737705
existir,2,0.004098360655737705
superior,2,0.004098360655737705
forma,2,0.004098360655737705
grupo,2,0.004098360655737705
central,2,0.004098360655737705
llegar,2,0.004098360655737705
tamaño,2,0.004098360655737705
conformar,2,0.004098360655737705
origen,2,0.004098360655737705
evitar,2,0.004098360655737705
orgasmo,2,0.004098360655737705
coito,2,0.004098360655737705
desarrollar,2,0.004098360655737705
medida,2,0.004098360655737705
do,2,0.004098360655737705
producir,2,0.004098360655737705
chico,2,0.004098360655737705
posteriormente,2,0.004098360655737705
órgano,2,0.004098360655737705
situar,2,0.004098360655737705
embarazar,2,0.004098360655737705
madre,2,0.004098360655737705
interrumpir,2,0.004098360655737705
semana,2,0.004098360655737705
crecer,2,0.004098360655737705
feto,2,0.004098360655737705
contracción,2,0.004098360655737705
venta,2,0.004098360655737705
amenorrea,2,0.004098360655737705
ausencia,2,0.004098360655737705
inyectar,2,0.004098360655737705
tercio,2,0.004098360655737705
irradiación,2,0.004098360655737705
569,2,0.004098360655737705
567,2,0.004098360655737705
quince,2,0.004098360655737705
284,2,0.004098360655737705
blastómero,2,0.004098360655737705
fusión,2,0.004098360655737705
lateral,2,0.004098360655737705
didelfo,2,0.004098360655737705
doble,2,0.004098360655737705
grueso,2,0.004098360655737705
ovario,2,0.004098360655737705
tumoración,2,0.004098360655737705
trabajo,1,0.0020491803278688526
tecnología,1,0.0020491803278688526
extraer,1,0.0020491803278688526
método,1,0.0020491803278688526
creación,1,0.0020491803278688526
palabra,1,0.0020491803278688526
reto,1,0.0020491803278688526
común,1,0.0020491803278688526
deber,1,0.0020491803278688526
necesario,1,0.0020491803278688526
información,1,0.0020491803278688526
factor,1,0.0020491803278688526
informar,1,0.0020491803278688526
sexual,1,0.0020491803278688526
totalidad,1,0.0020491803278688526
salud,1,0.0020491803278688526
creciente,1,0.0020491803278688526
año,1,0.0020491803278688526
análisis,1,0.0020491803278688526
necesitar,1,0.0020491803278688526
principal,1,0.0020491803278688526
